"country","outcome","rep","fold","pick_mse","pick_rank","pick_wrank","pick_burden","w_mse_idx","w_rank_idx","w_wrank_idx","w_burden_idx"
"Gambia","child_vitA",1,4,"rf","domain_index","domain_index","mean",0.290043359422243,0.95884465876101,0.484389722694509,0.00331841113082662
"Gambia","child_vitA",1,2,"rf","domain_index","domain_index","domain_index",0.481564671266793,0.901327690364859,0.516319307944703,0.999429404004563
"Gambia","child_vitA",1,3,"rf","domain_index","domain_index","domain_index",0.210435477131378,0.908433780907863,0.628377393637385,0.00331841113082662
"Gambia","child_vitA",1,5,"rf","domain_index","domain_index","rf",0.15584632644049,0.895186170761534,0.763018447908988,0.00246045559766148
"Gambia","child_vitA",1,1,"rf","domain_index","domain_index","mean",0.334534692479878,0.838115365358771,0.706200854928277,0.00246045559766148
"Gambia","child_vitA",2,3,"rf","domain_index","domain_index","rf",0.0143896259356725,1,0.762647548184888,0.00246045559766148
"Gambia","child_vitA",2,5,"rf","domain_index","domain_index","rf",0.0714629937213682,0.7577853529437,0.570666515952609,0.00246045559766148
"Gambia","child_vitA",2,1,"rf","domain_index","domain_index","mean",0.18077419712539,0.778458703807314,0.718132473229522,0.00246045559766148
"Gambia","child_vitA",2,4,"rf","domain_index","domain_index","rf",0.134244825757449,0.803597593606864,0.693274505751807,0.39459049783938
"Gambia","child_vitA",2,2,"rf","domain_index","domain_index","enet",0.280419120156575,0.897568136574313,0.733076213877315,0.00246045559766148
"Gambia","child_vitA",3,5,"rf","domain_index","domain_index","domain_index",0,0.992897562589399,0.533771867196444,0.992618633207016
"Gambia","child_vitA",3,1,"rf","rf","domain_index","rf",0.127231691978231,0.21758625037563,0.321023012914651,0.00246045559766148
"Gambia","child_vitA",3,3,"rf","domain_index","domain_index","mean",0.418403230325605,0.865619418392136,0.65883678870777,0.00246045559766148
"Gambia","child_vitA",3,2,"rf","domain_index","domain_index","mean",0.37581421499561,0.945113520097928,0.677641334493071,0.00246045559766148
"Gambia","child_vitA",3,4,"rf","domain_index","domain_index","mean",0,0.703074573808305,0.384818520001424,0.00246045559766148
"Gambia","child_vitA",4,2,"rf","rf","domain_index","mean",0.177230591095806,0.0848192514123975,0.135012538527193,0.00246045559766148
"Gambia","child_vitA",4,4,"rf","domain_index","domain_index","mean",0.417632401493364,0.83542769662563,0.527923740100584,0.00246045559766148
"Gambia","child_vitA",4,5,"rf","domain_index","domain_index","mean",0.175026430257297,0.965001411233418,0.597694652756313,0.00246045559766148
"Gambia","child_vitA",4,1,"rf","domain_index","domain_index","rf",0.216300151646789,0.885542432689792,0.258089869979065,0.00246045559766148
"Gambia","child_vitA",4,3,"rf","domain_index","domain_index","mean",0.253579470877686,0.896143988316359,0.765360117070514,0.00568340705080093
"Gambia","child_vitA",5,5,"rf","domain_index","domain_index","enet",0.107791677219391,0.66924872676946,0.541137587214565,0.00246045559766148
"Gambia","child_vitA",5,3,"rf","domain_index","domain_index","enet",0.206796030755075,0.90165398898024,0.41312052633518,0.00246045559766148
"Gambia","child_vitA",5,4,"rf","domain_index","domain_index","enet",0.203562643295951,0.693730439678969,0.686000953109397,0.00245833942942938
"Gambia","child_vitA",5,1,"rf","domain_index","domain_index","enet",0,0.52315174440204,0.20589130483343,0.00246045559766148
"Gambia","child_vitA",5,2,"mean","domain_index","domain_index","domain_index",0.346919123100905,1,0.744318258606209,0.992618633207016
"Gambia","women_vitA",1,4,"rf","domain_index","domain_index","rf",0.540779491800783,0.860003190810466,0.576774448693375,0.00246045559766148
"Gambia","women_vitA",1,2,"rf","rf","domain_index","domain_index",0.690587044157385,0.38707736645106,0.522632631672516,0.991764910010315
"Gambia","women_vitA",1,3,"enet","enet","domain_index","domain_index",0.290166268442623,0.445609900033008,0.59801160150025,0.992618633207016
"Gambia","women_vitA",1,5,"mean","domain_index","domain_index","domain_index",0.211947576522509,0.642721271866887,0.0800079212922275,0.992618633207016
"Gambia","women_vitA",1,1,"rf","domain_index","domain_index","domain_index",0.493657841985467,0.894338842975206,0.645041930900749,0.992618633207016
"Gambia","women_vitA",2,3,"rf","domain_index","rf","domain_index",0.518130724684594,0.687288290870139,0.519277821315941,0.992618633207016
"Gambia","women_vitA",2,5,"rf","domain_index","domain_index","enet",0.509188494611259,0.604130718038196,0.554048507253965,0.0035798667352039
"Gambia","women_vitA",2,1,"rf","domain_index","enet","domain_index",0.629189781191702,0.659443293701359,0.0451115596792965,0.992618633207016
"Gambia","women_vitA",2,4,"rf","domain_index","rf","mean",0.409125637476204,0.688405330586493,0.376634196196313,0.00245833942942938
"Gambia","women_vitA",2,2,"rf","domain_index","domain_index","mean",0.574190378644641,0.769388132658768,0.591345667298584,0.00245947626872162
"Gambia","women_vitA",3,5,"rf","domain_index","rf","domain_index",0.44502485179301,0.802287602334771,0.0357971569565833,0.992618633207016
"Gambia","women_vitA",3,1,"rf","domain_index","domain_index","rf",0.570999138306042,0.725212654115467,0.882266632442317,0.00246045559766148
"Gambia","women_vitA",3,3,"rf","domain_index","domain_index","domain_index",0.569341142849873,0.960925115674406,0.484838594119751,0.992618633207016
"Gambia","women_vitA",3,2,"rf","domain_index","domain_index","rf",0.530731161836233,0.902677544536714,0.564599958168468,0.994521267536697
"Gambia","women_vitA",3,4,"enet","domain_index","domain_index","enet",0.230040696409708,0.753969215852624,0.422781957890486,0.00246045559766148
"Gambia","women_vitA",4,2,"rf","rf","rf","domain_index",0.26627357076129,0.16296573529646,0.194439041120794,0.992618633207016
"Gambia","women_vitA",4,4,"domain_index","domain_index","domain_index","rf",0.6585752100298,0.759600035499808,0.485066715746508,0.00331841113082662
