"country","outcome","fraction","rep","n_areas","arm","mae","rho"
"Gambia","child_vitA",0.15,1,30,"survey",10.9763120549463,0.41714037457985
"Gambia","child_vitA",0.15,1,30,"aug_sp",12.807460237039,0.15903787410499
"Gambia","child_vitA",0.15,1,30,"alone_sp",9.88108753668601,0.514534298574968
"Gambia","child_vitA",0.15,1,30,"aug_idx",12.6200962221806,0.194899355520821
"Gambia","child_vitA",0.15,1,30,"alone_idx",11.8327610874938,0.613877284360438
"Gambia","child_vitA",0.15,2,30,"survey",10.1803516933727,0.394830816354364
"Gambia","child_vitA",0.15,2,30,"aug_sp",11.4568643784208,0.269740708040817
"Gambia","child_vitA",0.15,2,30,"alone_sp",9.88108753668601,0.514534298574968
"Gambia","child_vitA",0.15,2,30,"aug_idx",12.2233455444142,0.270186192282007
"Gambia","child_vitA",0.15,2,30,"alone_idx",11.8327610874938,0.613877284360438
"Gambia","child_vitA",0.15,3,30,"survey",10.8663607961619,0.550925017276855
"Gambia","child_vitA",0.15,3,30,"aug_sp",12.4280677086217,0.393808069212356
"Gambia","child_vitA",0.15,3,30,"alone_sp",9.88108753668601,0.514534298574968
"Gambia","child_vitA",0.15,3,30,"aug_idx",12.1794062565616,0.420537123683783
"Gambia","child_vitA",0.15,3,30,"alone_idx",11.8327610874938,0.613877284360438
"Gambia","child_vitA",0.15,4,30,"survey",9.99115700175889,0.49693532734479
"Gambia","child_vitA",0.15,4,30,"aug_sp",11.3982123144834,0.37264756775581
"Gambia","child_vitA",0.15,4,30,"alone_sp",9.88108753668601,0.514534298574968
"Gambia","child_vitA",0.15,4,30,"aug_idx",11.6742179213244,0.455953120858424
"Gambia","child_vitA",0.15,4,30,"alone_idx",11.8327610874938,0.613877284360438
"Gambia","child_vitA",0.15,5,30,"survey",12.7221055234814,0.362031714844782
"Gambia","child_vitA",0.15,5,30,"aug_sp",14.3173722185699,0.308943321265576
"Gambia","child_vitA",0.15,5,30,"alone_sp",9.88108753668601,0.514534298574968
"Gambia","child_vitA",0.15,5,30,"aug_idx",13.5217326492584,0.381779994700214
"Gambia","child_vitA",0.15,5,30,"alone_idx",11.8327610874938,0.613877284360438
"Gambia","child_vitA",0.15,6,30,"survey",12.9568489335025,0.256967676398541
"Gambia","child_vitA",0.15,6,30,"aug_sp",15.5006759142294,0.0403163238277356
"Gambia","child_vitA",0.15,6,30,"alone_sp",9.88108753668601,0.514534298574968
"Gambia","child_vitA",0.15,6,30,"aug_idx",15.5633128461811,0.128522203583444
