"target","outcome","representation","learner","country","n_areas","n_predictors","spearman","topk"
"prev","women_vitA","pc12","enet","Ghana",75,36,0.176251499792159,0.210526315789474
"prev","women_vitA","pc12","enet","Malawi",87,36,-0.00860201288780378,0.272727272727273
"prev","women_vitA","pc12","enet","SierraLeone",14,36,-0.194441329620463,0.25
"prev","women_vitA","pc12","index","Gambia",30,36,0.495608085840842,0.5
"prev","women_vitA","pc12","index","Ghana",75,36,0.190916837028279,0.315789473684211
"prev","women_vitA","pc12","index","Malawi",87,36,0.112236538798482,0.227272727272727
"prev","women_vitA","pc12","index","SierraLeone",14,36,-0.217316780164047,0
"prev","women_vitA","pc123","enet","Gambia",30,54,NA,0.125
"prev","women_vitA","pc123","enet","Ghana",75,54,0.205002692853854,0.263157894736842
"prev","women_vitA","pc123","enet","Malawi",87,54,0.000394587747146963,0.272727272727273
"prev","women_vitA","pc123","enet","SierraLeone",14,54,-0.208166599946613,0.25
"prev","women_vitA","pc123","index","Gambia",30,54,0.34612780616252,0.375
"prev","women_vitA","pc123","index","Ghana",75,54,0.201258351431865,0.315789473684211
"prev","women_vitA","pc123","index","Malawi",87,54,0.0878983665544574,0.272727272727273
"prev","women_vitA","pc123","index","SierraLeone",14,54,-0.224179415327122,0
"prev","women_vitA","pcvar","enet","Gambia",30,115,NA,0.125
"prev","women_vitA","pcvar","enet","Ghana",75,115,0.00641887100912262,0.263157894736842
"prev","women_vitA","pcvar","enet","Malawi",87,115,-0.0117744983748654,0.0454545454545455
"prev","women_vitA","pcvar","enet","SierraLeone",14,115,NA,0.25
"prev","women_vitA","pcvar","index","Gambia",30,115,0.429667805480389,0.375
"prev","women_vitA","pcvar","index","Ghana",75,115,0.243159314963638,0.315789473684211
"prev","women_vitA","pcvar","index","Malawi",87,115,0.0851993863639722,0.272727272727273
"prev","women_vitA","pcvar","index","SierraLeone",14,115,-0.0937893472286939,0.25
"prev","women_vitA","sup1","enet","Gambia",30,18,-0.122259381024185,0.125
"prev","women_vitA","sup1","enet","Ghana",75,18,0.184319664046681,0.368421052631579
"prev","women_vitA","sup1","enet","Malawi",87,18,0.140804691691922,0.272727272727273
"prev","women_vitA","sup1","enet","SierraLeone",14,18,0.189866239511746,0.25
"prev","women_vitA","sup1","index","Gambia",30,18,0.231142975640734,0.25
"prev","women_vitA","sup1","index","Ghana",75,18,0.188064005468669,0.263157894736842
"prev","women_vitA","sup1","index","Malawi",87,18,0.129472131593861,0.272727272727273
"prev","women_vitA","sup1","index","SierraLeone",14,18,-0.196728874674821,0.25
"prev","women_vitA","raw","enet","Gambia",30,382,NA,0.125
"prev","women_vitA","raw","enet","Ghana",75,382,NA,0.421052631578947
"prev","women_vitA","raw","enet","Malawi",87,382,-0.0126425914185887,0.272727272727273
"prev","women_vitA","raw","enet","SierraLeone",14,382,-0.295093312012232,0
"prev","child_iron","mean1","enet","Gambia",30,19,0.511069087599007,0.5
"prev","child_iron","mean1","enet","Ghana",75,19,0.506217851846383,0.631578947368421
"prev","child_iron","mean1","enet","Malawi",87,19,-0.045001019803601,0.272727272727273
"prev","child_iron","mean1","enet","SierraLeone",14,19,0.186813186813187,0.25
"prev","child_iron","mean1","index","Gambia",30,19,0.590277008881221,0.375
"prev","child_iron","mean1","index","Ghana",75,19,0.26489521380076,0.368421052631579
"prev","child_iron","mean1","index","Malawi",87,19,-0.222834397211508,0.227272727272727
"prev","child_iron","mean1","index","SierraLeone",14,19,0.265934065934066,0.25
"prev","child_iron","pc1","enet","Gambia",30,18,0.519968854035211,0.5
"prev","child_iron","pc1","enet","Ghana",75,18,0.408243887684209,0.473684210526316
"prev","child_iron","pc1","enet","Malawi",87,18,-0.119498046507252,0.318181818181818
"prev","child_iron","pc1","enet","SierraLeone",14,18,0.191208791208791,0.25
"prev","child_iron","pc1","index","Gambia",30,18,0.583379689893163,0.5
"prev","child_iron","pc1","index","Ghana",75,18,0.480132390971377,0.578947368421053
"prev","child_iron","pc1","index","Malawi",87,18,-0.193785299506913,0.227272727272727
"prev","child_iron","pc1","index","SierraLeone",14,18,0.349450549450549,0.25
"prev","child_iron","pc12","enet","Gambia",30,36,0.555345425619121,0.375
"prev","child_iron","pc12","enet","Ghana",75,36,0.485400883069285,0.526315789473684
"prev","child_iron","pc12","enet","Malawi",87,36,-0.115795084602051,0.318181818181818
"prev","child_iron","pc12","enet","SierraLeone",14,36,0.186813186813187,0.25
"prev","child_iron","pc12","index","Gambia",30,36,0.64434308998116,0.5
"prev","child_iron","pc12","index","Ghana",75,36,0.512228787275161,0.578947368421053
"prev","child_iron","pc12","index","Malawi",87,36,-0.180113526364311,0.181818181818182
"prev","child_iron","pc12","index","SierraLeone",14,36,0.27032967032967,0.25
"prev","child_iron","pc123","enet","Gambia",30,54,0.531093562080465,0.25
"prev","child_iron","pc123","enet","Ghana",75,54,0.539042413724675,0.578947368421053
"prev","child_iron","pc123","enet","Malawi",87,54,-0.182612569620531,0.272727272727273
"prev","child_iron","pc123","enet","SierraLeone",14,54,-0.0637362637362637,0.25
"prev","child_iron","pc123","index","Gambia",30,54,0.643675607498444,0.375
"prev","child_iron","pc123","index","Ghana",75,54,0.516640613991295,0.578947368421053
"prev","child_iron","pc123","index","Malawi",87,54,-0.143968605107386,0.227272727272727
"prev","child_iron","pc123","index","SierraLeone",14,54,0.221978021978022,0.25
