"outcome","held_out","variant","anchor","n_test","r_max","pearson","spearman","rmse_pp","pattern_rmse_pp","level_bias_pp","calib"
"child_vitA","ghana","centered_own ridge_all","oracle_national",75,0.03,0.388,0.308,37.98,33.66,17.58,0.12
"child_vitA","ghana","centered_own decorr20","train_mean",75,0.03,-0.177,-0.142,12.29,11.95,-2.91,-1.06
"child_vitA","ghana","centered_own decorr20","oracle_national",75,0.03,-0.176,-0.142,12.65,12.26,3.14,-0.73
"child_vitA","ghana","centered_own d40s12","train_mean",75,0.03,0.261,0.246,11.38,11.13,-2.39,0.71
"child_vitA","ghana","centered_own d40s12","oracle_national",75,0.03,0.257,0.246,12.12,11.52,3.77,0.48
"child_vitA","ghana","centered_own curated16","train_mean",75,0.03,0.259,0.315,13.57,13.56,0.5,0.27
"child_vitA","ghana","centered_own curated16","oracle_national",75,0.03,0.275,0.315,17.07,15.52,7.11,0.22
"child_vitA","ghana","curated16 uncentered","train_mean",75,0.03,0.261,0.276,12.02,11.94,-1.39,0.4
"child_vitA","ghana","curated16 uncentered","oracle_national",75,0.03,0.263,0.276,13.96,13.28,4.31,0.29
"child_vitA","sierraleone","PROD enet30","train_mean",14,0,0.155,0.253,7.54,6.48,-3.85,0.21
"child_vitA","sierraleone","PROD enet30","oracle_national",14,0,0.159,0.253,8.26,8.03,1.94,0.13
"child_vitA","sierraleone","PROD ridge_all","train_mean",14,0,0.144,0.178,12.79,11.57,-5.47,0.07
"child_vitA","sierraleone","PROD ridge_all","oracle_national",14,0,0.119,0.178,25.03,23.96,7.24,0.03
"child_vitA","sierraleone","centered_train enet30","train_mean",14,0,0.128,0.191,9.19,5.58,-7.3,1.07
"child_vitA","sierraleone","centered_train enet30","oracle_national",14,0,0.127,0.191,7.97,5.59,-5.69,0.77
"child_vitA","sierraleone","centered_own enet30","train_mean",14,0,0.127,0.191,5.76,5.66,-1.11,0.44
"child_vitA","sierraleone","centered_own enet30","oracle_national",14,0,0.126,0.191,6.35,5.76,2.67,0.33
"child_vitA","sierraleone","centered_own ridge_all","train_mean",14,0,0.16,0.279,8.72,8.72,0.11,0.12
"child_vitA","sierraleone","centered_own ridge_all","oracle_national",14,0,0.163,0.279,10.9,10.15,3.99,0.1
"child_vitA","sierraleone","centered_own decorr20","train_mean",14,0,0.015,0.011,5.93,5.8,-1.22,0.06
"child_vitA","sierraleone","centered_own decorr20","oracle_national",14,0,0.015,0.011,6.45,5.93,2.54,0.04
"child_vitA","sierraleone","centered_own d40s12","train_mean",14,0,0.133,0.305,5.78,5.67,-1.1,0.42
"child_vitA","sierraleone","centered_own d40s12","oracle_national",14,0,0.132,0.305,6.4,5.81,2.69,0.32
"child_vitA","sierraleone","centered_own curated16","train_mean",14,0,0.12,0.011,6.97,6.96,-0.27,0.14
"child_vitA","sierraleone","centered_own curated16","oracle_national",14,0,0.123,0.011,8.69,7.88,3.66,0.11
"child_vitA","sierraleone","curated16 uncentered","train_mean",14,0,-0.229,-0.169,11.7,5.71,-10.22,-3.99
"child_vitA","sierraleone","curated16 uncentered","oracle_national",14,0,-0.225,-0.169,7.58,7.42,1.56,-0.34
"child_vitA","malawi","PROD enet30","train_mean",97,0,0.078,0.072,91.12,10.67,90.49,0.39
"child_vitA","malawi","PROD enet30","oracle_national",97,0,0.109,0.072,25.68,24.25,8.45,0.05
"child_vitA","malawi","PROD ridge_all","train_mean",97,0,0.241,0.056,26.1,12.66,22.83,0.26
"child_vitA","malawi","PROD ridge_all","oracle_national",97,0,0.253,0.056,10.37,10.36,0.36,0.66
"child_vitA","malawi","centered_train enet30","train_mean",97,0,0.018,-0.027,69.24,16.87,67.15,0.01
