"outcome","held_out","variant","anchor","n_test","r_max","pearson","spearman","rmse_pp","pattern_rmse_pp","level_bias_pp","calib"
"women_folate","ghana","centered_own curated16","train_mean",75,0.627,-0.02,-0.029,39.06,34.64,-18.05,-0.03
"women_folate","ghana","centered_own curated16","oracle_national",75,0.627,0.028,-0.029,43.58,39.76,17.84,0.03
"women_folate","ghana","curated16 uncentered","train_mean",75,0.627,-0.343,-0.234,45.2,43.3,-12.98,-0.43
"women_folate","ghana","curated16 uncentered","oracle_national",75,0.627,-0.317,-0.234,42.92,42.91,-0.69,-0.39
"women_folate","sierraleone","PROD enet30","train_mean",14,0.773,0.056,0.011,56.91,12.53,-55.52,0.07
"women_folate","sierraleone","PROD enet30","oracle_national",14,0.773,0.068,0.011,14.13,13.88,-2.66,0.07
"women_folate","sierraleone","PROD ridge_all","train_mean",14,0.773,0.125,0.319,74.77,10.71,-74,0.27
"women_folate","sierraleone","PROD ridge_all","oracle_national",14,0.773,0.294,0.319,19.49,18.79,-5.17,0.16
"women_folate","sierraleone","centered_train enet30","train_mean",14,0.773,-0.353,-0.165,75.47,12.94,-74.35,-0.7
"women_folate","sierraleone","centered_train enet30","oracle_national",14,0.773,-0.164,-0.165,47.8,25.95,-40.15,-0.08
"women_folate","sierraleone","centered_own enet30","train_mean",14,0.773,-0.231,-0.165,55.66,23.16,-50.61,-0.13
"women_folate","sierraleone","centered_own enet30","oracle_national",14,0.773,0.087,-0.165,25.43,24.86,-5.38,0.04
"women_folate","sierraleone","centered_own ridge_all","train_mean",14,0.773,-0.048,-0.042,51.37,27.01,-43.69,-0.02
"women_folate","sierraleone","centered_own ridge_all","oracle_national",14,0.773,0.174,-0.042,29.9,29.36,-5.68,0.06
"women_folate","sierraleone","centered_own decorr20","train_mean",14,0.773,0.39,0.341,57.11,9.55,-56.31,0.71
"women_folate","sierraleone","centered_own decorr20","oracle_national",14,0.773,0.304,0.341,9.85,9.84,-0.21,0.68
"women_folate","sierraleone","centered_own d40s12","train_mean",14,0.773,-0.019,0.024,49.81,25.5,-42.78,-0.01
"women_folate","sierraleone","centered_own d40s12","oracle_national",14,0.773,0.13,0.024,27.3,27.14,-2.91,0.05
"women_folate","sierraleone","centered_own curated16","train_mean",14,0.773,0.398,0.385,56.43,15.78,-54.18,0.24
"women_folate","sierraleone","centered_own curated16","oracle_national",14,0.773,0.382,0.385,15.27,14.67,-4.27,0.26
"women_folate","sierraleone","curated16 uncentered","train_mean",14,0.773,0.407,0.363,80.57,9.91,-79.96,5.09
"women_folate","sierraleone","curated16 uncentered","oracle_national",14,0.773,0.373,0.363,16.5,15.59,-5.4,0.24
"women_folate","malawi","PROD enet30","train_mean",97,0.6,0.294,0.264,80.85,20.56,78.19,7.36
"women_folate","malawi","PROD enet30","oracle_national",97,0.6,0.117,0.264,41.99,40.67,10.45,0.06
"women_folate","malawi","PROD ridge_all","train_mean",97,0.6,-0.097,-0.113,44.01,22.71,37.69,-0.28
"women_folate","malawi","PROD ridge_all","oracle_national",97,0.6,-0.101,-0.113,21.93,21.86,1.69,-0.42
"women_folate","malawi","centered_train enet30","train_mean",97,0.6,0.436,0.501,21.23,21.21,0.82,0.48
"women_folate","malawi","centered_train enet30","oracle_national",97,0.6,0.372,0.501,23.99,19.35,-14.18,0.84
"women_folate","malawi","centered_own enet30","train_mean",97,0.6,0.477,0.501,40.66,21.07,34.77,0.49
"women_folate","malawi","centered_own enet30","oracle_national",97,0.6,0.448,0.501,22.08,21.57,4.71,0.46
"women_folate","malawi","centered_own ridge_all","train_mean",97,0.6,0.131,0.179,43.58,23.38,36.78,0.2
"women_folate","malawi","centered_own ridge_all","oracle_national",97,0.6,0.14,0.179,22.26,22.12,2.46,0.26
"women_folate","malawi","centered_own decorr20","train_mean",97,0.6,NA,NA,42.2,20.79,36.72,NA
"women_folate","malawi","centered_own decorr20","oracle_national",97,0.6,NA,NA,20.8,20.79,0.4,NA
"women_folate","malawi","centered_own d40s12","train_mean",97,0.6,0.16,0.107,43.79,22.3,37.69,0.28
"women_folate","malawi","centered_own d40s12","oracle_national",97,0.6,0.207,0.107,21.45,21.25,2.94,0.41
"women_folate","malawi","centered_own curated16","train_mean",97,0.6,0.421,0.443,45.04,30.77,32.89,0.26
"women_folate","malawi","centered_own curated16","oracle_national",97,0.6,0.444,0.443,29.91,27.83,10.94,0.31
"women_folate","malawi","curated16 uncentered","train_mean",97,0.6,0.257,0.435,27.18,21.23,-16.98,0.44
"women_folate","malawi","curated16 uncentered","oracle_national",97,0.6,0.429,0.435,34.3,31.51,13.54,0.26
