"n","n_pred","reliability","r_max","pearson_sd","pearson","spearman","pearson_w","r_share","rmse_pp","mae_pp","calib","outcome","country","model","hygiene","eval","n_test","pattern_rmse_pp","level_bias_pp"
30,237,0.487,0.698,0.093,0.35,0.402,0.069,0.501,12.84,10.3,0.68,"child_vitA","gambia","enet_screen30","off","within",NA,NA,NA
30,185,0.487,0.698,0.089,0.313,0.382,0.061,0.448,13.25,10.76,0.56,"child_vitA","gambia","enet_screen30","on","within",NA,NA,NA
30,237,0.487,0.698,0.05,0.425,0.446,0.087,0.61,12.41,9.63,0.89,"child_vitA","gambia","ridge_all","off","within",NA,NA,NA
30,185,0.487,0.698,0.039,0.462,0.474,0.114,0.662,12.19,9.48,0.97,"child_vitA","gambia","ridge_all","on","within",NA,NA,NA
30,237,0.487,0.698,0.115,0.195,0.258,0.026,0.28,14.18,11.41,0.42,"child_vitA","gambia","decorr20_enet","off","within",NA,NA,NA
30,185,0.487,0.698,0.085,0.303,0.327,0.046,0.435,13.26,10.44,0.71,"child_vitA","gambia","decorr20_enet","on","within",NA,NA,NA
75,237,0.106,0.326,0.075,0.113,0.156,-0.002,0.348,12.5,10,0.26,"child_vitA","ghana","enet_screen30","off","within",NA,NA,NA
75,185,0.106,0.326,0.056,0.095,0.128,-0.002,0.29,12.59,10.05,0.21,"child_vitA","ghana","enet_screen30","on","within",NA,NA,NA
75,237,0.106,0.326,0.066,0.029,-0.002,-0.001,0.088,12.19,9.83,0.07,"child_vitA","ghana","ridge_all","off","within",NA,NA,NA
75,185,0.106,0.326,0.072,0.036,0.003,-0.001,0.11,12.17,9.81,0.08,"child_vitA","ghana","ridge_all","on","within",NA,NA,NA
75,237,0.106,0.326,0.109,0.073,0.154,-0.003,0.224,12.51,10.14,0.19,"child_vitA","ghana","decorr20_enet","off","within",NA,NA,NA
75,185,0.106,0.326,0.091,0.053,0.075,-0.003,0.163,12.47,10.23,0.18,"child_vitA","ghana","decorr20_enet","on","within",NA,NA,NA
97,237,0.184,0.429,0.081,0.032,0.063,-0.003,0.074,11.56,7.82,0.18,"child_vitA","malawi","enet_screen30","off","within",NA,NA,NA
97,185,0.184,0.429,0.114,0.075,0.092,-0.002,0.175,11.49,7.74,0.49,"child_vitA","malawi","enet_screen30","on","within",NA,NA,NA
97,237,0.184,0.429,0.052,-0.013,-0.029,-0.003,-0.029,11.62,7.87,-0.14,"child_vitA","malawi","ridge_all","off","within",NA,NA,NA
97,185,0.184,0.429,0.103,0.002,-0.014,-0.004,0.005,11.62,7.84,0.31,"child_vitA","malawi","ridge_all","on","within",NA,NA,NA
97,237,0.184,0.429,0.074,-0.002,0.002,-0.001,-0.004,11.8,7.89,0.06,"child_vitA","malawi","decorr20_enet","off","within",NA,NA,NA
97,185,0.184,0.429,0.054,-0.019,-0.079,-0.003,-0.045,11.65,7.83,-0.17,"child_vitA","malawi","decorr20_enet","on","within",NA,NA,NA
167,237,0.617,0.785,0.085,-0.085,-0.035,-0.005,-0.109,19.32,14.33,-0.15,"child_vitA","tanzania","enet_screen30","off","within",NA,NA,NA
167,185,0.617,0.785,0.081,-0.081,-0.032,-0.002,-0.103,19.39,14.42,-0.14,"child_vitA","tanzania","enet_screen30","on","within",NA,NA,NA
167,237,0.617,0.785,0.064,-0.157,-0.163,-0.008,-0.2,17.61,13.42,-0.56,"child_vitA","tanzania","ridge_all","off","within",NA,NA,NA
167,185,0.617,0.785,0.064,-0.156,-0.158,-0.009,-0.198,17.49,13.36,-0.6,"child_vitA","tanzania","ridge_all","on","within",NA,NA,NA
167,237,0.617,0.785,0.053,-0.076,-0.08,0,-0.097,17.29,13.21,-0.25,"child_vitA","tanzania","decorr20_enet","off","within",NA,NA,NA
167,185,0.617,0.785,0.097,-0.11,-0.099,-0.005,-0.139,17.52,13.36,-0.31,"child_vitA","tanzania","decorr20_enet","on","within",NA,NA,NA
NA,NA,NA,0.698,NA,0.606,0.616,NA,NA,15.27,NA,4.67,"child_vitA","gambia","enet_screen30","off","loco",30,12.29,-9.06
NA,NA,NA,0.698,NA,0.606,0.616,NA,NA,15.27,NA,4.68,"child_vitA","gambia","enet_screen30","on","loco",30,12.29,-9.06
