"outcome","Admin2","Admin1","pred_prev","ci_lo","ci_hi","country","adm1_paper","mpi","vitA_pct","folate_pct","b12_pct","iron_pct","zinc_pct"
"child_vitA","Abidjan","Abidjan",0.0978768180113504,0,0.519602466726933,"Cote dIvoire","Autonome d'Abidjan",0.72,74,88,38,80,84
"child_vitA","Gbôkle","Bas-Sassandra",0.106574685865131,0,0.528300334580714,"Cote dIvoire","Gbokle",0.6,72,72,38,51,72
"child_vitA","Nawa","Bas-Sassandra",0.0937900994225866,0,0.51551574813817,"Cote dIvoire","Nawa",0.6,70,69,38,55,72
"child_vitA","San-Pédro","Bas-Sassandra",0.119105156759834,0,0.540830805475418,"Cote dIvoire","San Pedro",0.7,78,83,44,64,79
"child_vitA","Indénié-Djuablin","Comoé",0.131002954983289,0,0.552728603698872,"Cote dIvoire","Indenie-Djuablin",0.71,86,83,36,69,81
"child_vitA","Sud Comoé","Comoé",0.113578273453009,0,0.535303922168592,"Cote dIvoire","Sud-Comoe",0.74,78,92,41,74,89
"child_vitA","Folon","Denguélé",0.143766319022362,0,0.565491967737945,"Cote dIvoire","Folon",0.7,87,80,43,72,76
"child_vitA","Kabadougou","Denguélé",0.136568260731096,0,0.558293909446679,"Cote dIvoire","Kabadougou",0.6,62,75,33,62,68
"child_vitA","Gôh","Gôh-Djiboua",0.100347576337743,0,0.522073225053327,"Cote dIvoire","Goh",0.65,79,76,37,60,78
"child_vitA","Lôh-Djiboua","Gôh-Djiboua",0.111361506513923,0,0.533087155229506,"Cote dIvoire","Loh-Djiboua",0.7,74,82,40,68,87
"child_vitA","Bélier","Lacs",0.123548233501095,0,0.545273882216678,"Cote dIvoire","Belier",0.62,76,79,27,54,75
"child_vitA","Iffou","Lacs",0.14643068377311,0,0.568156332488693,"Cote dIvoire","Iffou",0.65,87,73,39,53,67
"child_vitA","Moronou","Lacs",0.142449476913527,0,0.56417512562911,"Cote dIvoire","Moronou",0.66,81,84,30,64,78
"child_vitA","N'zi","Lacs",0.138679609089409,0,0.560405257804992,"Cote dIvoire","N'Zi",0.61,75,75,35,54,67
"child_vitA","Agnéby-Tiassa","Lagunes",0.113605571879208,0,0.535331220594791,"Cote dIvoire","Agneby-Tiassa",0.74,76,93,43,78,89
"child_vitA","Grands Ponts","Lagunes",0.115785898472216,0,0.537511547187799,"Cote dIvoire","Grands-Ponts",0.74,69,92,38,82,87
"child_vitA","La Mé","Lagunes",0.12078131114251,0,0.542506959858093,"Cote dIvoire","La Me",0.74,75,87,40,79,85
"child_vitA","Cavally","Montagnes",0.126027947704253,0,0.547753596419836,"Cote dIvoire","Cavally",0.61,74,71,39,53,75
"child_vitA","Guémon","Montagnes",0.0930603960163544,0,0.514786044731937,"Cote dIvoire","Guemon",0.54,64,63,38,48,67
"child_vitA","Tonkpi","Montagnes",0.116326498033154,0,0.538052146748737,"Cote dIvoire","Tonkpi",0.58,47,77,31,64,75
"child_vitA","Haut-Sassandra","Sassandra-Marahoué",0.0942216406162909,0,0.515947289331874,"Cote dIvoire","Haut-Sassandra",0.67,78,76,54,57,80
"child_vitA","Marahoué","Sassandra-Marahoué",0.103787975418202,0,0.525513624133785,"Cote dIvoire","Marahoue",0.74,87,82,51,68,86
"child_vitA","Bagoué","Savanes",0.160499009545843,0,0.582224658261427,"Cote dIvoire","Bagoue",0.71,82,81,39,74,84
"child_vitA","Poro","Savanes",0.146402890443915,0,0.568128539159499,"Cote dIvoire","Poro",0.74,85,85,46,76,85
"child_vitA","Tchologo","Savanes",0.16491128112456,0,0.586636929840143,"Cote dIvoire","Tchologo",0.76,89,85,48,76,86
"child_vitA","Gbeke","Vallée du Bandama",0.102260371300291,0,0.523986020015874,"Cote dIvoire","Gbeke",0.68,79,83,35,66,80
"child_vitA","Hambol","Vallée du Bandama",0.134473062245024,0,0.556198710960607,"Cote dIvoire","Hambol",0.54,74,67,27,46,63
"child_vitA","Bafing","Woroba",0.132870954710706,0,0.554596603426289,"Cote dIvoire","Bafing",0.63,45,87,35,73,80
"child_vitA","Béré","Woroba",0.132936752546296,0,0.554662401261879,"Cote dIvoire","Bere",0.6,52,69,39,60,77
"child_vitA","Worodougou","Woroba",0.138280493379383,0,0.560006142094966,"Cote dIvoire","Worodougou",0.62,50,74,44,67,78
"child_vitA","Yamoussoukro","Yamoussoukro",0.121351857312974,0,0.543077506028557,"Cote dIvoire","Yamoussoukro",0.7,72,88,35,73,90
"child_vitA","Bounkani","Zanzan",0.170284236497106,0,0.592009885212689,"Cote dIvoire","Bounkani",0.73,89,80,51,64,79
"child_vitA","Gontougo","Zanzan",0.160003057442681,0,0.581728706158264,"Cote dIvoire","Gontougo",0.74,93,88,39,69,85
"women_vitA","Abidjan","Abidjan",0.0123899673609692,0,0.241776491315776,"Cote dIvoire","Autonome d'Abidjan",0.72,74,88,38,80,84
"women_vitA","Gbôkle","Bas-Sassandra",0.0137407009284786,0,0.243127224883286,"Cote dIvoire","Gbokle",0.6,72,72,38,51,72
"women_vitA","Nawa","Bas-Sassandra",0.0103650974116753,0,0.239751621366482,"Cote dIvoire","Nawa",0.6,70,69,38,55,72
"women_vitA","San-Pédro","Bas-Sassandra",0.00834813640549161,0,0.237734660360299,"Cote dIvoire","San Pedro",0.7,78,83,44,64,79
"women_vitA","Indénié-Djuablin","Comoé",0.0151714356869239,0,0.244557959641731,"Cote dIvoire","Indenie-Djuablin",0.71,86,83,36,69,81
"women_vitA","Sud Comoé","Comoé",0.0114254376172059,0,0.240811961572013,"Cote dIvoire","Sud-Comoe",0.74,78,92,41,74,89
"women_vitA","Folon","Denguélé",0.0157142816356007,0,0.245100805590408,"Cote dIvoire","Folon",0.7,87,80,43,72,76
"women_vitA","Kabadougou","Denguélé",0.0158236597627646,0,0.245210183717572,"Cote dIvoire","Kabadougou",0.6,62,75,33,62,68
"women_vitA","Gôh","Gôh-Djiboua",0.0134230210272061,0,0.242809544982013,"Cote dIvoire","Goh",0.65,79,76,37,60,78
"women_vitA","Lôh-Djiboua","Gôh-Djiboua",0.0133877392656585,0,0.242774263220465,"Cote dIvoire","Loh-Djiboua",0.7,74,82,40,68,87
"women_vitA","Bélier","Lacs",0.0168578853723355,0,0.246244409327142,"Cote dIvoire","Belier",0.62,76,79,27,54,75
"women_vitA","Iffou","Lacs",0.0187334132823358,0,0.248119937237143,"Cote dIvoire","Iffou",0.65,87,73,39,53,67
"women_vitA","Moronou","Lacs",0.0156904932817965,0,0.245077017236603,"Cote dIvoire","Moronou",0.66,81,84,30,64,78
"women_vitA","N'zi","Lacs",0.0178660077254665,0,0.247252531680273,"Cote dIvoire","N'Zi",0.61,75,75,35,54,67
"women_vitA","Agnéby-Tiassa","Lagunes",0.0132263375019916,0,0.242612861456798,"Cote dIvoire","Agneby-Tiassa",0.74,76,93,43,78,89
"women_vitA","Grands Ponts","Lagunes",0.0131888893555148,0,0.242575413310322,"Cote dIvoire","Grands-Ponts",0.74,69,92,38,82,87
"women_vitA","La Mé","Lagunes",0.012242891989192,0,0.241629415943999,"Cote dIvoire","La Me",0.74,75,87,40,79,85
"women_vitA","Cavally","Montagnes",0.00981072535831879,0,0.239197249313126,"Cote dIvoire","Cavally",0.61,74,71,39,53,75
"women_vitA","Guémon","Montagnes",0.0128023158660849,0,0.242188839820892,"Cote dIvoire","Guemon",0.54,64,63,38,48,67
"women_vitA","Tonkpi","Montagnes",0.0128131332245612,0,0.242199657179368,"Cote dIvoire","Tonkpi",0.58,47,77,31,64,75
"women_vitA","Haut-Sassandra","Sassandra-Marahoué",0.0149539426244078,0,0.244340466579215,"Cote dIvoire","Haut-Sassandra",0.67,78,76,54,57,80
"women_vitA","Marahoué","Sassandra-Marahoué",0.0163434820298872,0,0.245730005984694,"Cote dIvoire","Marahoue",0.74,87,82,51,68,86
"women_vitA","Bagoué","Savanes",0.0169262081481353,0,0.246312732102942,"Cote dIvoire","Bagoue",0.71,82,81,39,74,84
"women_vitA","Poro","Savanes",0.0174134461293548,0,0.246799970084162,"Cote dIvoire","Poro",0.74,85,85,46,76,85
"women_vitA","Tchologo","Savanes",0.0196138806987746,0,0.249000404653582,"Cote dIvoire","Tchologo",0.76,89,85,48,76,86
"women_vitA","Gbeke","Vallée du Bandama",0.0173896564194934,0,0.2467761803743,"Cote dIvoire","Gbeke",0.68,79,83,35,66,80
"women_vitA","Hambol","Vallée du Bandama",0.0184965846483432,0,0.24788310860315,"Cote dIvoire","Hambol",0.54,74,67,27,46,63
"women_vitA","Bafing","Woroba",0.0143354962250277,0,0.243722020179835,"Cote dIvoire","Bafing",0.63,45,87,35,73,80
"women_vitA","Béré","Woroba",0.0157336243901411,0,0.245120148344948,"Cote dIvoire","Bere",0.6,52,69,39,60,77
"women_vitA","Worodougou","Woroba",0.0150442801266731,0,0.24443080408148,"Cote dIvoire","Worodougou",0.62,50,74,44,67,78
"women_vitA","Yamoussoukro","Yamoussoukro",0.0158020718546267,0,0.245188595809434,"Cote dIvoire","Yamoussoukro",0.7,72,88,35,73,90
"women_vitA","Bounkani","Zanzan",0.020812899625608,0,0.250199423580415,"Cote dIvoire","Bounkani",0.73,89,80,51,64,79
"women_vitA","Gontougo","Zanzan",0.0174260783573873,0,0.246812602312194,"Cote dIvoire","Gontougo",0.74,93,88,39,69,85
"child_iron","Abidjan","Abidjan",0.182960849956196,0,0.691430208310789,"Cote dIvoire","Autonome d'Abidjan",0.72,74,88,38,80,84
"child_iron","Gbôkle","Bas-Sassandra",0.207974607639371,0,0.716443965993964,"Cote dIvoire","Gbokle",0.6,72,72,38,51,72
