"frozen_path","source_path","group","why","md5","bytes","source_mtime","frozen_date"
"results/tables/frozen_2026-09b/anchor_controls.csv","results/tables/anchor_controls.csv","ws2","anchoring arms; WS-B1 adds a jackknifed flat-region arm","fcee3892d1780e8f90639aafd27fd6ae",16628,"2026-08-31 08:23:44","2026-08-31"
"results/tables/frozen_2026-09b/reliability_empirical.csv","results/tables/reliability_empirical.csv","ws1","empirical ceilings; WS-A disattenuates with these","3c2112a3bc8daad294ab2728d9979e13",5475,"2026-08-31 08:08:48","2026-08-31"
"results/tables/frozen_2026-09b/reliability_simulation.csv","results/tables/reliability_simulation.csv","ws1","estimator bias; WS-B2 extends the simulator","b6c02cf6124ca053e5fcbab3d9b78eb5",1420,"2026-08-31 08:13:20","2026-08-31"
"results/tables/frozen_2026-09b/reliability_analytic_vs_empirical.csv","results/tables/reliability_analytic_vs_empirical.csv","ws1","analytic against empirical ceiling","5f299dba0055295933e090d6366b4e11",1443,"2026-08-31 08:08:48","2026-08-31"
"results/tables/frozen_2026-09b/reliability_skill_curve.csv","results/tables/reliability_skill_curve.csv","ws4b","skill curve; WS-E2 adds decomposition columns","62896b4ffd3f5ec665c2efeea82b451d",7942,"2026-08-31 08:44:02","2026-08-31"
"results/tables/frozen_2026-09b/positive_control_targets.csv","results/tables/positive_control_targets.csv","ws4b","education and the other pseudo-targets","b7bbfc1b0ac5b160fd9a4bb95b3986b8",1507,"2026-08-31 08:51:54","2026-08-31"
"results/tables/frozen_2026-09b/individual_arms_2026-09_PARITY.csv","results/tables/individual_arms_2026-09_PARITY.csv","ws3","four-cell arms; WS-C1 extends to sixteen","6a57a9bdd6374ac25d3a3d2b129db0d7",3579,"2026-08-31 09:40:25","2026-08-31"
"results/tables/frozen_2026-09b/anchor_implied_shifts.csv","results/tables/anchor_implied_shifts.csv","ws2","implied shifts; WS-D reuses for the calibration gate","cad402a570963260a1ca6b967937beb5",44843,"2026-08-31 08:23:46","2026-08-31"
"results/tables/frozen_2026-09b/anchoring_design_curve.csv","results/tables/anchoring_design_curve.csv","ws5","anchoring budget replicates","b879b08831a89df07d1f761970b5c7ad",604937,"2026-08-31 08:48:33","2026-08-31"
"results/tables/frozen_2026-09b/resolution_sweep.csv","results/tables/resolution_sweep.csv","ws4a","resolution sweep","8920fd38fa2a95631dc1cab6ab555314",6463,"2026-08-31 10:05:49","2026-08-31"
"results/tables/frozen_2026-09b/r_share_revised.csv","results/tables/r_share_revised.csv","ws1","r_share under both ceilings","a245a8f9f03e7ebf8907d863632f7cfd",10164,"2026-08-31 08:10:47","2026-08-31"
"results/tables/frozen_2026-09b/leakage_report_summary.csv","results/tables/leakage_report_summary.csv","ws7a","leakage report; regenerated when predictors change","8e426de8cac70ffba3b4024235544ea6",4186,"2026-08-31 07:57:07","2026-08-31"
"results/tables/frozen_2026-09b/assay_guard_label_comparison.csv","results/tables/assay_guard_label_comparison.csv","ws7b","label-derived guard comparison","c249dc2693fdd10ec059f5ee0b60d01f",296729,"2026-08-31 08:43:19","2026-08-31"
