country,outcome,arm,protocol,unit,n_units,n_pred,r,mae_pp
Gambia,women_iron,proxy,region_loro,district,30,1195,0.4542,11.37
Gambia,women_iron,proxy,region_loro,cluster,68,1195,0.48,11.66
Gambia,women_iron,proxy,cluster_kfold,district,30,1195,0.6376,8.65
Gambia,women_iron,proxy,cluster_kfold,cluster,68,1195,0.4395,11.63
Gambia,women_iron,questionnaire,region_loro,district,30,1563,0.4657,11.04
Gambia,women_iron,questionnaire,region_loro,cluster,68,1563,0.5052,11.37
Gambia,women_iron,questionnaire,cluster_kfold,district,30,1563,0.7167,8.2
Gambia,women_iron,questionnaire,cluster_kfold,cluster,68,1563,0.5627,10.5
Gambia,women_iron,questionnaire_hb,region_loro,district,30,1570,0.8483,6.39
Gambia,women_iron,questionnaire_hb,region_loro,cluster,68,1570,0.8381,6.61
Gambia,women_iron,questionnaire_hb,cluster_kfold,district,30,1570,0.8537,6.23
Gambia,women_iron,questionnaire_hb,cluster_kfold,cluster,68,1570,0.8355,6.85
Ghana,child_iron,proxy,region_loro,district,71,1872,0.3984,13.02
Ghana,child_iron,proxy,region_loro,cluster,83,1872,0.3933,13.31
Ghana,child_iron,proxy,cluster_kfold,district,71,1872,0.61,11.31
Ghana,child_iron,proxy,cluster_kfold,cluster,83,1872,0.5819,11.91
Ghana,child_iron,questionnaire,region_loro,district,71,2085,0.4104,12.91
Ghana,child_iron,questionnaire,region_loro,cluster,83,2085,0.4027,13.18
Ghana,child_iron,questionnaire,cluster_kfold,district,71,2085,0.6096,10.95
Ghana,child_iron,questionnaire,cluster_kfold,cluster,83,2085,0.5777,11.55
Ghana,child_iron,questionnaire_hb,region_loro,district,71,2097,0.4254,12.83
Ghana,child_iron,questionnaire_hb,region_loro,cluster,83,2097,0.414,13.13
Ghana,child_iron,questionnaire_hb,cluster_kfold,district,71,2097,0.6127,11.2
Ghana,child_iron,questionnaire_hb,cluster_kfold,cluster,83,2097,0.5878,11.67
Sierra Leone,women_iron,proxy,region_loro,district,14,1165,0.1661,7.5
Sierra Leone,women_iron,proxy,region_loro,cluster,58,1165,0.0841,11.53
Sierra Leone,women_iron,proxy,cluster_kfold,district,14,1165,0.8937,2.43
Sierra Leone,women_iron,proxy,cluster_kfold,cluster,58,1165,-0.0019,8.92
Sierra Leone,women_iron,questionnaire,region_loro,district,14,1349,0.0887,13.43
Sierra Leone,women_iron,questionnaire,region_loro,cluster,58,1349,0.0728,19.33
Sierra Leone,women_iron,questionnaire,cluster_kfold,district,14,1349,0.8759,2.66
Sierra Leone,women_iron,questionnaire,cluster_kfold,cluster,58,1349,0.054,9.13
Sierra Leone,women_iron,questionnaire_hb,region_loro,district,14,1351,0.016,52.06
Sierra Leone,women_iron,questionnaire_hb,region_loro,cluster,58,1351,0.0108,92.87
Sierra Leone,women_iron,questionnaire_hb,cluster_kfold,district,14,1351,0.8111,2.94
Sierra Leone,women_iron,questionnaire_hb,cluster_kfold,cluster,58,1351,0.1063,8.85
Malawi,child_vitA,proxy,region_loro,district,83,1147,0.0789,8.57
Malawi,child_vitA,proxy,region_loro,cluster,97,1147,0.0783,9.16
Malawi,child_vitA,proxy,cluster_kfold,district,83,1147,0.2342,7.59
Malawi,child_vitA,proxy,cluster_kfold,cluster,97,1147,0.2035,7.76
Malawi,child_vitA,questionnaire,region_loro,district,83,1147,0.0789,8.57
Malawi,child_vitA,questionnaire,region_loro,cluster,97,1147,0.0783,9.16
Malawi,child_vitA,questionnaire,cluster_kfold,district,83,1147,0.2342,7.59
Malawi,child_vitA,questionnaire,cluster_kfold,cluster,97,1147,0.2035,7.76
Malawi,child_vitA,questionnaire_hb,region_loro,district,83,1147,0.0789,8.57
Malawi,child_vitA,questionnaire_hb,region_loro,cluster,97,1147,0.0783,9.16
Malawi,child_vitA,questionnaire_hb,cluster_kfold,district,83,1147,0.2342,7.59
Malawi,child_vitA,questionnaire_hb,cluster_kfold,cluster,97,1147,0.2035,7.76
