country,outcome,replicate,n_regions_total,n_regions_anchored,fraction_clusters,clusters_retained,n_retained,pct_survey_used,mae_admin2_pp,bias_admin2_pp,mae_admin1_pp,bias_admin1_pp
Gambia,child_vitA,1,6,2,0.25,7,75,7.4,16.788,-16.357,16.107,-16.107
Gambia,child_vitA,2,6,2,0.25,9,123,12.1,9.676,-0.913,4.57,-2.173
Gambia,child_vitA,3,6,2,0.25,6,132,12.9,11.515,4.902,7.023,5.134
Gambia,child_vitA,4,6,2,0.25,4,76,7.5,11.588,-6.542,5.874,-5.785
Gambia,child_vitA,5,6,2,0.25,7,55,5.4,11.221,1.062,5.704,0.943
Gambia,child_vitA,6,6,2,0.25,4,89,8.7,11.318,-7.569,7.713,-6.498
Gambia,child_vitA,7,6,2,0.25,4,84,8.2,12.061,6.358,7.546,6.577
Gambia,child_vitA,8,6,2,0.25,6,145,14.2,16.425,11.231,12.007,11.608
Gambia,child_vitA,9,6,2,0.25,9,97,9.5,9.781,-3.696,5.898,-5.898
Gambia,child_vitA,10,6,2,0.25,6,130,12.7,12.307,7.026,8.451,6.623
Gambia,child_vitA,11,6,2,0.25,4,118,11.6,12.878,8.438,9.148,8.843
Gambia,child_vitA,12,6,2,0.25,6,101,9.9,10.177,3.45,8.227,3.218
Gambia,child_vitA,13,6,2,0.25,4,67,6.6,10.812,-1.194,5.609,-0.613
Gambia,child_vitA,14,6,2,0.25,7,53,5.2,15.343,-12.822,12.957,-12.957
Gambia,child_vitA,15,6,2,0.25,7,50,4.9,13.103,-10.855,10.518,-9.412
Gambia,child_vitA,16,6,2,0.25,4,69,6.8,12.629,-9.627,8.869,-8.869
Gambia,child_vitA,17,6,2,0.25,4,48,4.7,11.259,-5.806,5.447,-4.933
Gambia,child_vitA,18,6,2,0.25,4,76,7.5,11.827,3.288,6.642,3.512
Gambia,child_vitA,19,6,2,0.25,4,47,4.6,11.437,-7.043,6.343,-6.343
Gambia,child_vitA,20,6,2,0.25,4,55,5.4,11.525,-2.422,7.104,-2.581
Gambia,child_vitA,21,6,2,0.25,4,82,8,11.104,0.527,6.277,1.081
Gambia,child_vitA,22,6,2,0.25,7,66,6.5,13.079,-9.777,10.151,-10.151
Gambia,child_vitA,23,6,2,0.25,6,100,9.8,12.222,7.38,7.424,7.424
Gambia,child_vitA,24,6,2,0.25,4,44,4.3,13.677,-11.414,11.09,-11.09
Gambia,child_vitA,25,6,2,0.25,6,130,12.7,10.332,3.01,6.234,2.285
Gambia,child_vitA,1,6,2,0.5,8,124,12.2,13.808,8.057,9.202,8.979
Gambia,child_vitA,2,6,2,0.5,12,210,20.6,10.252,-0.428,4.267,-0.382
Gambia,child_vitA,3,6,2,0.5,12,181,17.7,13.221,8.442,8.638,8.638
Gambia,child_vitA,4,6,2,0.5,18,214,21,9.345,1.766,4.486,-0.434
Gambia,child_vitA,5,6,2,0.5,12,178,17.5,15.857,10.796,11.242,11.242
Gambia,child_vitA,6,6,2,0.5,12,175,17.2,11.915,4.684,6.606,5.124
Gambia,child_vitA,7,6,2,0.5,18,199,19.5,10.035,2.206,4.473,1.127
Gambia,child_vitA,8,6,2,0.5,14,150,14.7,11.56,1.104,6.914,2.033
Gambia,child_vitA,9,6,2,0.5,14,128,12.5,10.678,-0.933,4.695,-1.512
Gambia,child_vitA,10,6,2,0.5,9,149,14.6,10.702,-2.778,4.774,-1.964
Gambia,child_vitA,11,6,2,0.5,8,104,10.2,11.071,0.741,4.55,1.362
Gambia,child_vitA,12,6,2,0.5,12,199,19.5,10.353,3.489,4.456,3.246
Gambia,child_vitA,13,6,2,0.5,15,142,13.9,14.286,-12.526,11.977,-11.977
Gambia,child_vitA,14,6,2,0.5,15,162,15.9,10.662,0.499,6.055,1.172
Gambia,child_vitA,15,6,2,0.5,14,144,14.1,11.65,-1.715,7.151,-0.821
Gambia,child_vitA,16,6,2,0.5,14,179,17.5,13.628,8.23,8.437,7.788
Gambia,child_vitA,17,6,2,0.5,14,147,14.4,13.796,-11.283,11.358,-11.358
Gambia,child_vitA,18,6,2,0.5,8,149,14.6,10.947,-0.301,5.928,0.108
Gambia,child_vitA,19,6,2,0.5,18,227,22.3,10.678,5.063,4.853,4.102
Gambia,child_vitA,20,6,2,0.5,14,158,15.5,11.407,-6.247,5.757,-5.757
Gambia,child_vitA,21,6,2,0.5,8,95,9.3,11.001,-2.945,4.9,-2.306
Gambia,child_vitA,22,6,2,0.5,8,159,15.6,11.283,3.32,6.21,3.802
Gambia,child_vitA,23,6,2,0.5,9,165,16.2,11.102,-3.239,5.13,-2.607
Gambia,child_vitA,24,6,2,0.5,14,141,13.8,12.294,5.282,6.996,5.477
Gambia,child_vitA,25,6,2,0.5,14,162,15.9,10.794,-2.7,4.875,-2.367
Gambia,child_vitA,1,6,2,0.75,11,243,23.8,11.791,4.764,6.603,5.004
Gambia,child_vitA,2,6,2,0.75,12,177,17.4,10.597,-1.823,4.499,-1.16
Gambia,child_vitA,3,6,2,0.75,14,266,26.1,10.202,-1.234,3.966,-0.44
Gambia,child_vitA,4,6,2,0.75,14,219,21.5,10.502,-0.344,4.368,0.43
Gambia,child_vitA,5,6,2,0.75,13,229,22.5,10.869,-3.743,5.058,-3.164
Gambia,child_vitA,6,6,2,0.75,22,206,20.2,12.826,-8.948,9.092,-9.092
Gambia,child_vitA,7,6,2,0.75,11,235,23,11.536,3.678,6.271,4.003
Gambia,child_vitA,8,6,2,0.75,22,260,25.5,10.303,-1.061,4.819,-1.457
Gambia,child_vitA,9,6,2,0.75,11,150,14.7,11.648,-5.676,5.462,-5.231
Gambia,child_vitA,10,6,2,0.75,18,299,29.3,11.465,5.445,5.768,5.505
Gambia,child_vitA,11,6,2,0.75,20,370,36.3,9.347,-0.337,3.376,-0.889
Gambia,child_vitA,12,6,2,0.75,22,199,19.5,11.585,-5.537,6.004,-4.784
Gambia,child_vitA,13,6,2,0.75,14,179,17.5,11.565,-4.323,5.479,-3.887
Gambia,child_vitA,14,6,2,0.75,22,259,25.4,10.706,2.135,4.672,2.153
Gambia,child_vitA,15,6,2,0.75,22,194,19,11.599,-6.558,7.099,-5.415
Gambia,child_vitA,16,6,2,0.75,13,216,21.2,11.405,-6.835,6.322,-6.08
Gambia,child_vitA,17,6,2,0.75,18,303,29.7,10.801,3.909,4.794,3.978
Gambia,child_vitA,18,6,2,0.75,14,271,26.6,10.199,0.266,4.286,1.008
Gambia,child_vitA,19,6,2,0.75,21,236,23.1,10.61,-1.381,5.514,-0.8
Gambia,child_vitA,20,6,2,0.75,14,263,25.8,10.613,-2.461,4.659,-1.672
Gambia,child_vitA,21,6,2,0.75,14,200,19.6,11.478,-4.705,6.046,-4.387
Gambia,child_vitA,22,6,2,0.75,21,224,22,11.145,-4.496,5.087,-3.86
Gambia,child_vitA,23,6,2,0.75,21,237,23.2,10.667,-3.46,4.927,-2.995
Gambia,child_vitA,24,6,2,0.75,14,193,18.9,11.361,-4.492,5.734,-4.109
Gambia,child_vitA,25,6,2,0.75,21,234,22.9,10.735,-2.369,5.157,-1.833
