"zone","model_rank","n_regions","survey_b12_pct"
"North",2.33333333333333,3,48.6
"North East",5,1,40.4
"North West",5.5,2,36.4
"West",15.6,5,29.8
"Central",13.2857142857143,7,20
"Central West",13.6666666666667,3,11.5
"South East",24.6666666666667,3,7
"South",27.5,8,6.2
"Abidjan",32,1,0
