"Admin1","Admin2","lon","lat"
"Abidjan","Abidjan",-4.06496299509008,5.4202955501176
"Bas-Sassandra","Gbôkle",-5.97296093265745,5.27133027758857
"Bas-Sassandra","Nawa",-6.66293089754615,5.85732386453657
"Bas-Sassandra","San-Pédro",-7.03161113986406,5.02482100817646
"Comoé","Indénié-Djuablin",-3.42260684724859,6.70080358845961
"Comoé","Sud Comoé",-3.20153375180296,5.49433843307177
"Denguélé","Folon",-7.39972510299708,10.1028914325173
"Denguélé","Kabadougou",-7.38799194557359,9.41115759163305
"Gôh-Djiboua","Gôh",-5.86385031152748,6.22131686935807
"Gôh-Djiboua","Lôh-Djiboua",-5.4056570616767,5.7436451988339
"Lacs","Bélier",-5.03203675406156,6.91761073363442
"Lacs","Iffou",-4.05952902060987,7.47714163988494
"Lacs","Moronou",-4.23537470230855,6.5983934330998
"Lacs","N'zi",-4.55608844229826,6.97400022828471
"Lagunes","Agnéby-Tiassa",-4.52850101067219,5.93558196282034
"Lagunes","Grands Ponts",-4.75317245232095,5.36621159887182
"Lagunes","La Mé",-3.7632040148881,6.02890425746431
"Montagnes","Cavally",-7.6819007454496,6.33392515561725
"Montagnes","Guémon",-7.31833138356608,7.00917721427451
"Montagnes","Tonkpi",-7.82263041852371,7.46481407218917
"Sassandra-Marahoué","Haut-Sassandra",-6.60252900290212,7.0221747768545
"Sassandra-Marahoué","Marahoué",-5.89324879409477,7.10977152253777
"Savanes","Bagoué",-6.47272342210211,9.8609094948036
"Savanes","Poro",-5.83302657720027,9.41199511688502
"Savanes","Tchologo",-4.8186671280953,9.5048615881263
"Vallée du Bandama","Gbeke",-5.18706325680781,7.69441136576435
"Vallée du Bandama","Hambol",-4.83788640018133,8.52504467205098
"Woroba","Bafing",-7.6213351739537,8.38211197206523
"Woroba","Béré",-6.03589981771038,8.362724581839
"Woroba","Worodougou",-6.76022388354915,8.37195475990274
"Yamoussoukro","Yamoussoukro",-5.26873576467848,6.8623201978346
"Zanzan","Bounkani",-3.44650268855016,9.17154017659988
"Zanzan","Gontougo",-3.21707056288706,7.99550314221291
