"Admin1","Admin2","lon","lat","Intercept","local_R2","residual","beta_wfp_sorghum","t_wfp_sorghum","pval_wfp_sorghum","beta_wfp_carrots","t_wfp_carrots","pval_wfp_carrots","beta_wfp_beans_dry","t_wfp_beans_dry","pval_wfp_beans_dry","beta_mics_floor","t_mics_floor","pval_mics_floor","beta_dhs2019_CH_VACC_C_MSL_adm2","t_dhs2019_CH_VACC_C_MSL_adm2","pval_dhs2019_CH_VACC_C_MSL_adm2","beta_mics_hh56","t_mics_hh56","pval_mics_hh56","padj_wfp_sorghum","padj_wfp_carrots","padj_wfp_beans_dry","padj_mics_floor","padj_dhs2019_CH_VACC_C_MSL_adm2","padj_mics_hh56"
"Banjul","Banjul",-16.589395834911,13.4536996449697,1.82732330766498,0.534737000002171,0.0239312340594584,-0.681852342400523,-0.750942486739436,0.452687269338411,-0.0646529347036144,-0.250136390122567,0.802481875008998,0.201647013584006,0.139436110706838,0.889105538844948,0.243101088739909,0.485085466137784,0.627615721221943,-1.3345545170888,-0.158577437133634,0.874001806390081,-0.0267084496294245,-0.043600021396663,0.965223234643301,0.467569241667925,0.839682300060555,0.931184965490309,0.629538365537798,0.875428666569787,0.993836171485997
"Upper River","Fulladu East",-14.2354934533246,13.3182363632641,2.88242584932811,0.454290019657225,0.0194418389313258,-0.660090122016236,-0.727017360558029,0.46721532087057,-0.0526865924698647,-0.203096078252511,0.839059936956135,0.209896017879402,0.145164177580993,0.88458124844592,0.30264834336998,0.603105734612476,0.546438351747984,-2.61894916516314,-0.309201718157045,0.757168087001318,0.0178121557325426,0.0290233117990661,0.976845998296814,0.467569241667925,0.839682300060555,0.931184965490309,0.629538365537798,0.875428666569787,0.993836171485997
"Maccarthy Island","Fulladu West",-14.7562643675747,13.467795043403,2.86272443119014,0.474868651636583,0.0439995512909096,-0.663180786843142,-0.730503252988817,0.465082625297864,-0.0544770756281014,-0.209830856404451,0.833799689207702,0.187261867613472,0.129517691046514,0.89694802741985,0.30514324266764,0.607763160559162,0.54334456581107,-2.57052986523956,-0.30295492616529,0.761924211971256,0.0106410513213859,0.0173280038863626,0.986174945084185,0.467569241667925,0.839682300060555,0.931184965490309,0.629538365537798,0.875428666569787,0.993836171485997
"Lower River","Jarra East",-15.2671491908351,13.4536376516007,2.73153570045145,0.49193497565046,0.123675529319809,-0.673581239522143,-0.74215068306737,0.457996044841013,-0.0603370787167394,-0.232382872539228,0.816240650583865,0.134721221422488,0.0932089106117457,0.925737595564993,0.304615433026022,0.606312754587938,0.544307090606597,-2.35227292727984,-0.277062844578073,0.781731851113583,-0.00998017241269622,-0.016245058847473,0.987038888435849,0.467569241667925,0.839682300060555,0.931184965490309,0.629538365537798,0.875428666569787,0.993836171485997
"Lower River","Jarra West",-15.5463883060931,13.4339240908637,2.42877885337487,0.500701351985476,-0.165225062118363,-0.681184704203179,-0.750501160414562,0.45295292516424,-0.0645340891343258,-0.249431959396137,0.803026666184692,0.129565708605945,0.0896791925125282,0.928542151275546,0.286676123497831,0.571325448944506,0.567779053938062,-1.97923980715643,-0.234571792857629,0.814541104776681,-0.0234826208458401,-0.0382984383435997,0.969449735895697,0.467569241667925,0.839682300060555,0.931184965490309,0.629538365537798,0.875428666569787,0.993836171485997
"Banjul","Kanifing",-16.6588384740507,13.4487567899327,1.81768039776296,0.537185209229159,-0.0357761788276326,-0.681755056743121,-0.750836209530048,0.452751234725092,-0.0645878863254488,-0.24986609099735,0.802690907051014,0.203535443199694,0.140739956730866,0.888075378333853,0.242322891122004,0.483526848285868,0.628721701176976,-1.32504773831636,-0.157426669733604,0.874908596101278,-0.0265578297964311,-0.0433524978042785,0.965420543332473,0.467569241667925,0.839682300060555,0.931184965490309,0.629538365537798,0.875428666569787,0.993836171485997
"Lower River","Kiang East",-15.6480209891201,13.4099377902529,2.296979040103,0.503777472923438,0.0372172891221422,-0.681925364569835,-0.751290408591583,0.452477900268798,-0.0648774986492624,-0.251046150942297,0.801778428138443,0.142915350263859,0.0989228087988195,0.921199558925082,0.277269671350368,0.552965759730509,0.580286856546283,-1.83486146545101,-0.217959362946386,0.827460773873869,-0.0249489234507934,-0.040722737723482,0.96751693454671,0.467569241667925,0.839682300060555,0.931184965490309,0.629538365537798,0.875428666569787,0.993836171485997
"Western","Kombo Central",-16.6432318209986,13.2452233341056,1.82359945132816,0.536035706399319,-0.00755485208659554,-0.682058241082029,-0.751189184411406,0.452538808339764,-0.064654006194423,-0.250126265655557,0.802489704369058,0.20299372324482,0.140369939321421,0.888367707617941,0.242688807703029,0.484270738613864,0.628193739751142,-1.33103928425214,-0.15811622198942,0.87436521810917,-0.0267733722725438,-0.0437023365564063,0.96514167669536,0.467569241667925,0.839682300060555,0.931184965490309,0.629538365537798,0.875428666569787,0.993836171485997
"Western","Kombo East",-16.5078261829041,13.2275471544327,1.84567870457067,0.531159544504009,-0.0634128271562924,-0.682307791425615,-0.751470828142927,0.45236935066901,-0.0647879445250479,-0.250683691684037,0.802058670306369,0.199080305644378,0.137670096343687,0.890501153978392,0.244412155017667,0.487728176181404,0.625742391308484,-1.35313058630106,-0.160781552553149,0.872265455124528,-0.0270789409334924,-0.0442044028242897,0.964741472539628,0.467569241667925,0.839682300060555,0.931184965490309,0.629538365537798,0.875428666569787,0.993836171485997
"Western","Kombo Saint Mary",-16.6800419458649,13.3775392113327,1.81586088760037,0.537732675847263,0.0956647870287688,-0.68183214890114,-0.750926586620828,0.452696838866348,-0.0645923278781966,-0.249877253670605,0.802682274274442,0.204005140431056,0.141064954441263,0.88781862905773,0.242149160858936,0.483181446681378,0.628966907707855,-1.32320043161587,-0.157191339359892,0.875094053640376,-0.026597277543587,-0.0434155058518315,0.965370317473224,0.467569241667925,0.839682300060555,0.931184965490309,0.629538365537798,0.875428666569787,0.993836171485997
"Western","Kombo South",-16.7400629217769,13.238285514068,1.81208330198513,0.539561068573557,-0.00142456893125054,-0.68189560448563,-0.751011931171023,0.452645475365085,-0.0645581735270944,-0.249732835405972,0.802793963592541,0.205398500055912,0.142031347502963,0.887055244953834,0.241743811273036,0.482376706166417,0.629538365537798,-1.31989479042875,-0.156766765068082,0.875428666569787,-0.0265274853536965,-0.0432990673884494,0.965463134642996,0.467569241667925,0.839682300060555,0.931184965490309,0.629538365537798,0.875428666569787,0.993836171485997
"Maccarthy Island","Lower Saloum",-15.3820179914332,13.6944713628102,2.61900882568978,0.496801669225872,0.0154166226690805,-0.676150433742094,-0.744912821738032,0.45632442347693,-0.0622552107350502,-0.240029688976561,0.810307240805208,0.124782127419287,0.0863540597136121,0.931184965490309,0.299116969990234,0.595244506539421,0.551680044140754,-2.20691000419265,-0.25996053461258,0.794894216039829,-0.0159164746781641,-0.0259048718755814,0.979333214157184,0.467569241667925,0.839682300060555,0.931184965490309,0.629538365537798,0.875428666569787,0.993836171485997
"Maccarthy Island","Niamina Dankunku",-15.3256184761736,13.6148257917593,2.67106249365509,0.494629815669542,-0.0798611379689962,-0.674668759351086,-0.743321660720501,0.457286960561055,-0.0612449222559954,-0.23601802948518,0.813418679835773,0.130241410383114,0.0901248481856542,0.928188003570142,0.301592084843859,0.600226270271908,0.548355448094272,-2.27542095244462,-0.267980478224233,0.788714345451323,-0.0127642541509374,-0.0207747327542952,0.983425353729725,0.467569241667925,0.839682300060555,0.931184965490309,0.629538365537798,0.875428666569787,0.993836171485997
"Upper River","Sandu",-14.3738884247173,13.4218996190382,2.88085838263521,0.460415472541586,-0.236211148111318,-0.660491231663006,-0.727468421792749,0.466939053083679,-0.0529547987618599,-0.204086167556126,0.838286163544988,0.205581617705505,0.14218007397626,0.886937770546593,0.303276986122127,0.604273744036136,0.545661659501992,-2.61262560431396,-0.30828136928855,0.757868241307439,0.0166693288039141,0.0271558634239631,0.97833541859627,0.467569241667925,0.839682300060555,0.931184965490309,0.629538365537798,0.875428666569787,0.993836171485997
"North Bank","Upper Baddibu",-15.5717954122155,13.5365462422476,2.38784394169602,0.502012838490279,0.0188001695921988,-0.680879479900867,-0.75013010562342,0.453176349230264,-0.0645326700111539,-0.249517564126727,0.802960456260484,0.13342753536692,0.0923567047390597,0.926414636966157,0.283863891560131,0.56576081199385,0.571556389461912,-1.93501857155275,-0.229399890313914,0.818558121406145,-0.0234830765132727,-0.0383033367452989,0.969445830402257,0.467569241667925,0.839682300060555,0.931184965490309,0.629538365537798,0.875428666569787,0.993836171485997
"Maccarthy Island","Upper Saloum",-15.2016497013537,13.7373491431044,2.70606913026529,0.49122695757345,0.0276578374787575,-0.670289786672296,-0.738499425526395,0.460211016134455,-0.0588625675948524,-0.226862769756684,0.820530452698702,0.151564097021605,0.104885493189645,0.916466670228585,0.301077432623773,0.599411725784619,0.548898359560027,-2.34286345050975,-0.275935977977291,0.782597239819202,-0.00474574543395079,-0.00772529025692891,0.993836171485997,0.467569241667925,0.839682300060555,0.931184965490309,0.629538365537798,0.875428666569787,0.993836171485997
"Upper River","Wuli",-14.0722310687965,13.4703449632665,2.86724063550128,0.448352306464982,0.194808053542794,-0.659560869107228,-0.726439731611868,0.467569241667925,-0.0524625846030169,-0.202299871967649,0.839682300060555,0.214429280747396,0.148309475573205,0.882098537633702,0.301010246803969,0.599917160717061,0.548561445046451,-2.60607902820868,-0.307778619668228,0.758250791425587,0.018866887381364,0.0307451787920164,0.975472760711228,0.467569241667925,0.839682300060555,0.931184965490309,0.629538365537798,0.875428666569787,0.993836171485997
