"Admin1","Admin2","lon","lat","Intercept","local_R2","residual","beta_zinc_def","t_zinc_def","pval_zinc_def","beta_zn_gdl","t_zn_gdl","pval_zn_gdl","beta_gee_trmm_Feb_50km","t_gee_trmm_Feb_50km","pval_gee_trmm_Feb_50km","beta_gee_built_surface_10km","t_gee_built_surface_10km","pval_gee_built_surface_10km","beta_height","t_height","pval_height","beta_dhs2015_c_zinc_diarrhea_adm2","t_dhs2015_c_zinc_diarrhea_adm2","pval_dhs2015_c_zinc_diarrhea_adm2","padj_zinc_def","padj_zn_gdl","padj_gee_trmm_Feb_50km","padj_gee_built_surface_10km","padj_height","padj_dhs2015_c_zinc_diarrhea_adm2"
"Blantyre","Blantyre City",35.0489106806016,-15.7894822720538,0.289202767628897,0.721571721599433,0.0443587756313643,0.870143646572299,6.61793512984706,3.64250790698723e-11,4.56697118096892e-05,0.0151389143220708,0.987921355374369,0.25359678396458,0.524680542016333,0.599805286055019,0.000397824553666167,1.96783436563973,0.0490870986718125,-0.00238249342603287,-1.00162671115802,0.316523915207971,-0.129527119851983,-1.22113565573753,0.222034661537306,3.89807278739905e-11,0.990186899779223,0.988527079354945,0.0614335186395352,0.480367866742389,0.281181300798445
"Chitipa","Chitipa Boma",33.2652412989401,-9.69731043030818,0.206479912476442,0.740231900088665,0.327056692434935,0.922104862057395,6.98866550239489,2.77513176823455e-12,3.99082139397842e-05,0.0131843817261842,0.989480690136124,0.0177747233694581,0.036592097712392,0.970810244424223,0.000403664792785666,1.98779079176627,0.046834832563972,-0.00135794091716797,-0.56918141599871,0.569233031052239,-0.116658976185825,-1.09107351757722,0.275240534578188,1.36563305563966e-11,0.990186899779223,0.988527079354945,0.0614335186395352,0.569687742236685,0.281181300798445
"Karonga","Karonga Town",33.9107947718176,-9.94716522918374,0.207773280075728,0.737835159160138,0.202048667073601,0.921273202925788,6.98094845815965,2.9319387262788e-12,3.99078669620443e-05,0.0131811369947057,0.989483278832326,0.017656825092639,0.0363335757153108,0.971016378056895,0.000404705840497072,1.99253273295775,0.0463126374152959,-0.00137091256529747,-0.574443032527746,0.565668039923126,-0.115646634710215,-1.08090792090191,0.279738074858309,1.36563305563966e-11,0.990186899779223,0.988527079354945,0.0614335186395352,0.569687742236685,0.281181300798445
"Lilongwe","Lilongwe City",33.7709248450569,-13.9237601011592,0.312874243404813,0.726813478035339,0.00333328520337406,0.886448166941285,6.73813143946849,1.60436408445016e-11,9.45844103163156e-05,0.0313332605285473,0.975003765357176,0.167386402452884,0.347534823247571,0.728189561693011,0.000386426411917217,1.90870148594752,0.0563006113774574,-0.00253635984688706,-1.0662266292744,0.286321207221223,-0.133699610254533,-1.2582847263746,0.208288802877448,2.92729710986901e-11,0.990186899779223,0.988527079354945,0.0614335186395352,0.480367866742389,0.281181300798445
"Mwanza","Majete Game Reserve - Mwanza",34.613728550028,-15.7754328823097,0.290858576810938,0.722580287838001,0.195220826100282,0.871451869145917,6.62865902558784,3.3875005279793e-11,4.86863644626797e-05,0.0161404089838104,0.987122376000187,0.249502115456392,0.516268976718209,0.605666560666416,0.000396250369849862,1.96024531630386,0.0499671241559914,-0.00239567179350171,-1.00723029955715,0.31382411566782,-0.13024820101431,-1.22804887925721,0.219428619626093,3.89807278739905e-11,0.990186899779223,0.988527079354945,0.0614335186395352,0.480367866742389,0.281181300798445
"Mzimba","Mzimba Boma",33.5898966621731,-11.8987883871972,0.243531627514237,0.731844464339642,-0.0959528965359181,0.920558321424716,6.96939966529026,3.1829628113486e-12,0.000109933552443148,0.0362722877340136,0.971065246578333,0.00891111984120418,0.0183355416021788,0.985371174128836,0.000395424088844068,1.9427715633423,0.052043765196779,-0.00173603903842549,-0.727786617365405,0.466744217908851,-0.119891326557917,-1.11891757212601,0.263175305675031,1.36563305563966e-11,0.990186899779223,0.988527079354945,0.0614335186395352,0.569687742236685,0.281181300798445
"Mzimba","Mzuzu City",34.006064215675,-11.435740562316,0.230358839872863,0.732233141717288,0.228659345652714,0.920362544457956,6.96942253296107,3.18244551889537e-12,8.45420803697529e-05,0.0278993904612741,0.977742394596856,0.0104586541742486,0.0215084263200088,0.982840081787465,0.000400184222919253,1.96767116831595,0.0491058852599551,-0.00160137593952148,-0.671146390617669,0.502127276403612,-0.117073088818092,-1.09280762780905,0.274478271845006,1.36563305563966e-11,0.990186899779223,0.988527079354945,0.0614335186395352,0.569687742236685,0.281181300798445
"Nkhotakota","Nkhotakota Boma",34.2866197340969,-12.9242668997501,0.301621064386776,0.727463316735164,-0.34546517226126,0.901814771861071,6.83176834944827,8.38742144131074e-12,0.000135528887551404,0.0447353063908477,0.964318291427206,0.0719381334930642,0.148842291366448,0.881678078621809,0.000389564265336884,1.91523378598366,0.0554626955635264,-0.00235176855759577,-0.986460086994935,0.323907391933409,-0.127128441527264,-1.18697193952398,0.235238689002997,2.31607979913891e-11,0.990186899779223,0.988527079354945,0.0614335186395352,0.480367866742389,0.281181300798445
"Nsanje","Nsanje Boma",35.2544072816027,-16.9239221479532,0.282727009715014,0.720725891821566,0.0083475278205703,0.870202275928138,6.61856677828721,3.62698059974964e-11,3.96780701881188e-05,0.0131517353344859,0.989506735929786,0.257022069733522,0.531582757394024,0.595015009596167,0.000398629986513721,1.97172190858292,0.0486413612184417,-0.00232196960674553,-0.976433985620151,0.328849446657693,-0.128889412325193,-1.21514725636027,0.224309932676767,3.89807278739905e-11,0.990186899779223,0.988527079354945,0.0614335186395352,0.480367866742389,0.281181300798445
"Rumphi","Rumphi Boma",33.8565851493597,-11.0171183153245,0.220793379021518,0.733976308893949,0.0291919372235053,0.92162868345344,6.97914846951288,2.9697451218878e-12,6.99460414343928e-05,0.0230858594869451,0.98158178517617,0.0100263302121881,0.0206164200038288,0.983551641981009,0.000401595120775323,1.97506535874925,0.0482607313932182,-0.0015030462355041,-0.629716867239619,0.528879844876785,-0.116581418395365,-1.08833353715208,0.276447890274789,1.36563305563966e-11,0.990186899779223,0.988527079354945,0.0614335186395352,0.569687742236685,0.281181300798445
"Rumphi","SC Chapinduka",34.1808774238167,-10.959411820007,0.220174599509533,0.733443118522351,0.00864486891602323,0.9204879476712,6.97188970806879,3.12711679058059e-12,6.39892635465097e-05,0.021122563507072,0.983147885833209,0.0130943269613217,0.026928251765842,0.97851696003345,0.000402934117290351,1.98231218725357,0.0474443108444342,-0.00149731445467212,-0.627405925354723,0.530393184654991,-0.115761623872107,-1.080931929703,0.279727394192428,1.36563305563966e-11,0.990186899779223,0.988527079354945,0.0614335186395352,0.569687742236685,0.281181300798445
