"Admin1","Admin2","lon","lat","Intercept","local_R2","residual","beta_dhs2014_CH_VACC_C_NON_adm2","t_dhs2014_CH_VACC_C_NON_adm2","pval_dhs2014_CH_VACC_C_NON_adm2","beta_wfp_plantains_apentu","t_wfp_plantains_apentu","pval_wfp_plantains_apentu","beta_wfp_onions","t_wfp_onions","pval_wfp_onions","beta_dhs2014_ML_NETP_H_IT2_adm2","t_dhs2014_ML_NETP_H_IT2_adm2","pval_dhs2014_ML_NETP_H_IT2_adm2","beta_dhs2014_c_bcg_adm2","t_dhs2014_c_bcg_adm2","pval_dhs2014_c_bcg_adm2","beta_lsms_hh_se.fd_p_cer","t_lsms_hh_se.fd_p_cer","pval_lsms_hh_se.fd_p_cer","padj_dhs2014_CH_VACC_C_NON_adm2","padj_wfp_plantains_apentu","padj_wfp_onions","padj_dhs2014_ML_NETP_H_IT2_adm2","padj_dhs2014_c_bcg_adm2","padj_lsms_hh_se.fd_p_cer"
"Greater Accra","Ablekuma Central",-0.239863381512812,5.55356070640159,-0.149467911370572,0.307922450573223,-0.0188427395147919,3.06154719079309,0.310896210044942,0.755879525753879,0.00358684242428243,1.00319501738872,0.315766776584004,-0.00213172473559903,-0.0968743717869567,0.922826161413074,-0.0402257784973281,-0.769911308524917,0.441352505334377,-0.207380070030965,-1.71369772422704,0.0865842550918275,0.000543430049705989,2.50977395232944,0.0120808467745204,0.833262105983667,0.355311484825259,0.9654678645008,0.515892507052291,0.17722585815575,0.0202111538926207
"Greater Accra","Ablekuma North",-0.248362599377176,5.5813593038486,-0.14766947733705,0.308091940699528,-0.00721866826595603,3.04664150225228,0.309327269990731,0.75707258902338,0.0035795763231598,1.00064208550198,0.316999875832862,-0.00209975954221986,-0.0954056601254998,0.92399262045824,-0.0402397462855468,-0.770073399297151,0.441256354222581,-0.207435815496936,-1.71401738818853,0.0865255324650183,0.000543813459706903,2.51063892007301,0.0120512894124575,0.833262105983667,0.355311484825259,0.9654678645008,0.515892507052291,0.17722585815575,0.0202111538926207
"Eastern","Abuakwa South",-0.49271079182682,6.16088104133986,-0.1070216082629,0.312216427932931,-0.024291737699414,2.70169878389156,0.273483387346643,0.784481660753279,0.00343080483299175,0.947819498925507,0.343221352169733,-0.00141203671348572,-0.0639400997062798,0.949017922639366,-0.0405141498066251,-0.773379438174739,0.439297855171683,-0.207739349967982,-1.71396303539922,0.0865355148631772,0.00055266880817694,2.52997655774463,0.011407014770458,0.833262105983667,0.355311484825259,0.9654678645008,0.515892507052291,0.17722585815575,0.0202111538926207
"Volta","Afadzato South",0.413447611293312,6.90804541137901,-0.0380756647369838,0.325590464353212,0.00229488071658515,2.0498340218753,0.210519663858576,0.833262105983667,0.00433693519342704,1.23807896329653,0.215686783279508,-0.00471033788367387,-0.215872871678191,0.829086843790984,-0.0369521139842585,-0.712577318433588,0.476107351194197,-0.203024330515935,-1.68851714146118,0.0913120012992403,0.000550092553403378,2.58836151369692,0.00964337143558895,0.833262105983667,0.355311484825259,0.9654678645008,0.515892507052291,0.17722585815575,0.0202111538926207
"Central","Agona West",-0.79654036849669,5.61939865446138,-0.182439751601849,0.306729247043304,0.0709399310751218,3.32816999975135,0.338287727923981,0.735146370852454,0.00350057715490377,0.977589868762581,0.328277210111524,-0.00185629749440816,-0.0843813637941893,0.93275322397383,-0.0407406965874804,-0.779631565945472,0.435607770321361,-0.204909285592853,-1.69363044501258,0.0903355290335664,0.000540047694746715,2.49062573433936,0.0127518367330773,0.833262105983667,0.355311484825259,0.9654678645008,0.515892507052291,0.17722585815575,0.0202111538926207
"Volta","Akatsi South",0.78156213578445,6.14731803784299,-0.0698516521512316,0.319851897390155,-0.0124642917503183,2.37340084888371,0.241966827313978,0.808805867508911,0.0040152288662272,1.13505125460208,0.256353843742406,-0.00357307750006719,-0.162817946428809,0.870661777615144,-0.0381659772399551,-0.73250240980517,0.463861972405094,-0.208440036339385,-1.72613999609197,0.084322229861606,0.000549203172929586,2.56177058208263,0.010414008459748,0.833262105983667,0.355311484825259,0.9654678645008,0.515892507052291,0.17722585815575,0.0202111538926207
"Eastern","Akwapem North",-0.163118931429611,5.9559017389635,-0.106380950656648,0.311566675021955,-0.00763784137056766,2.70309968217253,0.27376891624943,0.784262212541294,0.0035342525458391,0.981608632586383,0.326292692985611,-0.00182916368541439,-0.0829199339965838,0.933915203586674,-0.0401349961746584,-0.766699968670901,0.443259922283709,-0.208894268644737,-1.72417923771636,0.0846754910577512,0.000550779298057451,2.53243137798868,0.0113274539267408,0.833262105983667,0.355311484825259,0.9654678645008,0.515892507052291,0.17722585815575,0.0202111538926207
"Ashanti","Asante-Akim South",-1.11877491692492,6.47874588211245,-0.143676843335707,0.314509182428106,-0.0169048862005669,2.97207547442268,0.30209014043292,0.762583348339694,0.00335533513845585,0.924335846485455,0.355311484825259,-0.0010790073642978,-0.0488686732426995,0.961023954152435,-0.0410734073362869,-0.784627938099572,0.432671744666069,-0.201836078659027,-1.66593798607142,0.0957257667230463,0.000549180576803076,2.50778336997597,0.0121491124340163,0.833262105983667,0.355311484825259,0.9654678645008,0.515892507052291,0.17722585815575,0.0202111538926207
"Greater Accra","Ashaiman",-0.0344271471571324,5.70118719816523,-0.125225980642416,0.310035622296887,0.00372330280188625,2.86093054453824,0.29024995949709,0.771625018235474,0.00360695174152389,1.00735861189102,0.313762472957035,-0.00215543095818675,-0.0978725605470551,0.922033488865991,-0.0399969097367613,-0.765111578878842,0.444205105557707,-0.208505865370239,-1.7223189253766,0.0850117612263402,0.000546705983761735,2.52334520604642,0.0116244225687516,0.833262105983667,0.355311484825259,0.9654678645008,0.515892507052291,0.17722585815575,0.0202111538926207
"Central","Asikuma-Odoben-Brakwa",-1.01065490533825,5.63104737618373,-0.199189313355929,0.306550298217627,-0.00417380361481917,3.46216962047016,0.352263994841647,0.724640287677735,0.0034924038446166,0.975994058491272,0.329067408679465,-0.00184795003683222,-0.0840465042945178,0.933019457459449,-0.0408782480297644,-0.782431767899954,0.433960870163497,-0.203577572520354,-1.68314157741489,0.0923476873498676,0.000537778162516544,2.48155429832147,0.0130810778901905,0.833262105983667,0.355311484825259,0.9654678645008,0.515892507052291,0.17722585815575,0.0202111538926207
