"Admin1","Admin2","lon","lat","Intercept","local_R2","residual","beta_iron_def","t_iron_def","pval_iron_def","beta_sf_c2","t_sf_c2","pval_sf_c2","beta_ida","t_ida","pval_ida","beta_mtype","t_mtype","pval_mtype","beta_m115b","t_m115b","pval_m115b","beta_dhs2015_w_delivery_csection_adm2","t_dhs2015_w_delivery_csection_adm2","pval_dhs2015_w_delivery_csection_adm2","padj_iron_def","padj_sf_c2","padj_ida","padj_mtype","padj_m115b","padj_dhs2015_w_delivery_csection_adm2"
"Blantyre","Blantyre City",35.0489106806016,-15.7894822720538,0.182173839486827,0.619385861054616,-0.0994292422723224,1.62198969174004,5.16177875971607,2.44614288006197e-07,0.257830233927968,0.957580296296142,0.338274438761794,-0.710446500760033,-2.07867188930044,0.0376475184193676,0.0762553253325957,1.577623252119,0.114652187315716,-0.174892246383016,-1.4665358130158,0.142502372024849,-0.0779290587285968,-0.357321626698225,0.720851041477226,1.40227214544802e-06,0.348148121805402,0.0412248454582764,0.514900625744254,0.162744775364798,0.82413356877055
"Chitipa","Chitipa Boma",33.2652412989401,-9.69731043030818,0.596621273008693,0.726013428190286,0.0181882578592617,0.795371073590195,2.64852085232158,0.00808448616362605,0.599754842694336,2.24408709582986,0.0248267980648374,-0.69878694884969,-2.12379228035826,0.0336875168038417,-0.0257194921100029,-0.617499075519139,0.536905590863433,-0.282884141244589,-2.35552506235096,0.0184965492699654,0.168828170000095,0.857114794064845,0.391381445880751,0.0113182806290765,0.0609717822279439,0.0412248454582764,0.724392342111285,0.02725807260837,0.748677276256672
"Karonga","Karonga Town",33.9107947718176,-9.94716522918374,0.627553682101602,0.721840034488612,0.0879481989673286,0.779913804454331,2.57921096742322,0.00990262890020914,0.611195009729392,2.27211855727254,0.0230793505588055,-0.702861573298465,-2.12709261221572,0.0334123889939971,-0.0272835730729861,-0.653741058013148,0.513278646296725,-0.296970125229961,-2.44434904524628,0.0145113794426969,0.168705344789867,0.853790658006445,0.393220991599065,0.0132035052002788,0.0609717822279439,0.0412248454582764,0.724392342111285,0.0239010955526773,0.748677276256672
"Lilongwe","Lilongwe City",33.7709248450569,-13.9237601011592,0.561119283813365,0.621360276410436,-0.287564937314801,1.05646980781396,3.49109355835807,0.000481047768541981,0.526603685374079,2.00243241620088,0.0452382450075034,-0.765648400105662,-2.31233326955963,0.02075932462287,0.0334681674141845,0.742094777606391,0.458029913756322,-0.326942582563339,-2.6839456733066,0.00727589281689605,0.16419662866172,0.79780047050016,0.424986288234082,0.00106336875151385,0.079166928763131,0.0412248454582764,0.724392342111285,0.0172802689384208,0.767366213801282
"Mwanza","Majete Game Reserve - Mwanza",34.613728550028,-15.7754328823097,0.185255850934163,0.612022217013952,0.0755419466507525,1.63327062318533,5.09062972782799,3.56876312428472e-07,0.258455748320004,0.949775143851259,0.342226518301884,-0.719058303892995,-2.07260629763176,0.0382089344773114,0.0844859582120242,1.67763805637218,0.0934177787414893,-0.184733156286587,-1.52315484409387,0.12771997037173,-0.0803700840158474,-0.356374991954254,0.72155975513527,1.66542279133287e-06,0.348148121805402,0.0412248454582764,0.514900625744254,0.155485181322106,0.82413356877055
"Mzimba","Mzimba Boma",33.5898966621731,-11.8987883871972,0.893414138070035,0.664358471246242,-0.0125864949286319,0.543340087263967,1.64649643045742,0.0996615943900006,0.800138349005175,2.73033657634194,0.00632696935678599,-0.840102755826503,-2.38511739458655,0.0170736720000132,-0.0307443599919416,-0.720702665023856,0.471092472387565,-0.429910151804938,-3.06824911338249,0.00215317043041033,0.271068429840214,1.3319162022495,0.182887726289038,0.0996615943900006,0.0609717822279439,0.0412248454582764,0.724392342111285,0.015461534378133,0.748677276256672
"Mzimba","Mzuzu City",34.006064215675,-11.435740562316,0.825439842695406,0.681088818976418,0.105029386010623,0.623920586364971,1.94975856139393,0.0512049027437495,0.733369579029841,2.57889408462523,0.00991171717127288,-0.783519299949159,-2.27981912589421,0.0226184181823559,-0.0319191715125847,-0.756190124970315,0.449535212584678,-0.393377839358222,-2.94209577465918,0.00325999085087875,0.221814070938052,1.10145172007217,0.270700106123314,0.0544457193731007,0.0609717822279439,0.0412248454582764,0.724392342111285,0.015461534378133,0.748677276256672
"Nkhotakota","Nkhotakota Boma",34.2866197340969,-12.9242668997501,0.769731453670868,0.647720792027015,0.0221556475706065,0.817889505035302,2.67379239171153,0.007499886482343,0.655727425959144,2.42835312850057,0.0151675670427812,-0.794624472298828,-2.3966355578909,0.0165463717916177,0.000105965112633666,0.00246543564185434,0.998032868958537,-0.399191686225523,-3.11245015683381,0.00185541341821422,0.213978166481489,1.07329454925758,0.283138980043142,0.0108619045606347,0.0609717822279439,0.0412248454582764,0.998032868958537,0.015461534378133,0.748677276256672
"Nsanje","Nsanje Boma",35.2544072816027,-16.9239221479532,0.144432156314737,0.604710115056999,-0.12001903504344,1.57323715952748,5.17160087968954,2.32096913687442e-07,0.254805660490325,0.961146017808996,0.336478754429498,-0.678446090773468,-2.03248128849524,0.0421049561656831,0.0630918989624159,1.39037164175408,0.164416053171925,-0.142106439929213,-1.21606761265834,0.223959166856396,-0.0655063959956999,-0.314559170073045,0.753096384018295,1.40227214544802e-06,0.348148121805402,0.0423574335198479,0.51920583976117,0.226657470071533,0.82413356877055
"Chitipa","Nyika N.P. - Chitipa",33.7532758250627,-10.4334464554054,0.677864238894364,0.708397227533977,-0.0183706408444915,0.731428322033616,2.38110967044629,0.0172605723407544,0.645439378643555,2.363210617164,0.0181173698743465,-0.722839061969943,-2.16334493527024,0.0305146593851169,-0.0292336117293676,-0.69813793500923,0.48509093620957,-0.32068316787818,-2.57868112560748,0.00991782905876601,0.185110595558332,0.931120774494478,0.351791093504879,0.021012870675701,0.0609717822279439,0.0412248454582764,0.724392342111285,0.0189340372940078,0.748677276256672
"Rumphi","Rumphi Boma",33.8565851493597,-11.0171183153245,0.758480858352818,0.692094497695531,-0.0653088590925821,0.667238192803429,2.12190594145578,0.033845637419847,0.694897422934132,2.48658955279063,0.0128974104397444,-0.754492849021393,-2.22180150914794,0.0262967227027222,-0.0314502533555644,-0.747719188721775,0.454629554444838,-0.35958820694052,-2.78060105272508,0.00542583699818285,0.20577496013764,1.02678547801803,0.304521488930698,0.0379071139102286,0.0609717822279439,0.0412248454582764,0.724392342111285,0.015461534378133,0.748677276256672
