"outcome","country","n","pct_coords_missing","moran_cov","moran_out"
"child_iron","gambia",30,0,0.497,0.149
"child_vitA","gambia",30,0,0.497,0.27
"women_iron","gambia",30,0,0.497,0.516
"women_vitA","gambia",30,0,0.497,0.222
"child_iron","ghana",75,0,0.725,0.379
"child_vitA","ghana",75,0,0.725,0.217
"women_b12","ghana",75,0,0.725,0.259
"women_folate","ghana",75,0,0.725,0.151
"women_iron","ghana",75,0,0.725,0.349
"women_vitA","ghana",75,0,0.725,-0.06
"child_iron","malawi",97,0,0.376,0.116
"child_vitA","malawi",97,0,0.376,-0.022
"child_zinc","malawi",97,0,0.376,0.115
"women_b12","malawi",97,0,0.376,0.141
"women_folate","malawi",97,0,0.376,0.179
"women_iron","malawi",97,0,0.376,0.045
"women_vitA","malawi",97,0,0.376,0.036
"women_zinc","malawi",97,0,0.376,0.074
"child_vitA","tanzania",167,0,0.569,0.103
"women_vitA","tanzania",168,0,0.568,0.025
