"country","Admin2","gee_traveltime_city_mean","gee_traveltime_city_median","gee_traveltime_city_logmean","gee_traveltime_city_p90"
"gambia","Banjul",10.0909090909091,6,2.24387150594614,18
"gambia","Kanifing",10.2784810126582,0,1.15257614701328,42
"gambia","Jarra Central",115.21875,113,4.75097496936174,128
"gambia","Jarra East",155.708154506438,148,5.03772195870921,198.4
"gambia","Jarra West",104.028436018957,97,4.63953654795133,135
"gambia","Kiang Central",85.5333333333333,81,4.44484490010322,111.1
"gambia","Kiang East",95.3937007874016,91,4.55634919804629,119.8
"gambia","Kiang West",116.771028037383,120,4.72892598796471,157
"gambia","Fulladu West",197.332271762208,197,5.27853433198854,238
"gambia","Janjanbureh",186.461538461538,187,5.23347409502849,189.6
"gambia","Lower Saloum",162.369230769231,160,5.09165694083353,184.8
"gambia","Niamina Dankunku",191.947368421053,191,5.25954699881747,211.9
"gambia","Niamina East",194.886138613861,194,5.2736175278374,215
"gambia","Niamina West",173.40251572327,171,5.15739873046105,194
"gambia","Niani",191.082332761578,190,5.25156238064901,220.8
"gambia","Nianija",183.626865671642,181,5.2145368374172,207
"gambia","Sami",196.860317460317,196,5.2842916190237,215
"gambia","Upper Saloum",164.983425414365,165,5.10334582991069,194
"gambia","Central Baddibu",135.48427672956,126,4.89880791248672,179.3
"gambia","Jokadu",99.1540697674419,85.5,4.54990038561834,161.7
"gambia","Lower Baddibu",118.939655172414,106,4.75964919689492,167
"gambia","Lower Nuimi",48.6334056399132,47,3.85381423086101,68
"gambia","Upper Baddibu",146.628318584071,141,4.97931196516151,186
"gambia","Upper Nuimi",76.7105831533477,73,4.32006488121852,106
"gambia","Fulladu East",114.511506276151,116,4.71202387637041,143
"gambia","Kantora",120.513661202186,121,4.78720753365856,143
"gambia","Sandu",149.371229698376,147,5.00515713956781,173
"gambia","Wuli",142.449197860963,141,4.95520085213948,166
"gambia","Foni Bintang Karanai",57.8888888888889,48,3.98548826678748,100
"gambia","Foni Bondali",62.1436464088398,60,4.12817923210192,77
"gambia","Foni Brefet",39.8988095238095,34.5,3.62161780537516,63.6
"gambia","Foni Jarrol",70.1634615384615,67.5,4.25214412679108,85.4
"gambia","Foni Kansala",54.8235294117647,51,3.99447238283824,72
"gambia","Kombo Central",9.85123966942149,8,1.94614894111862,19
"gambia","Kombo East",28.1114864864865,20,3.11069273732869,59
"gambia","Kombo Saint Mary",4.56944444444444,0,0.953698653010944,13
"gambia","Kombo South",18.4957020057307,17,2.77150431626346,32
"ghana","Asunafo North",123.988622754491,111,4.74401046830672,195
"ghana","Asunafo South",106.373616236162,94,4.60833980324377,172
"ghana","Asutifi North",102.016245487365,90,4.41880716604186,207
"ghana","Asutifi South",78.0954415954416,74,4.2845765267484,124
"ghana","Tano North",57.4197780020182,51,3.9326830829952,95
"ghana","Tano South",68.839378238342,62,4.18892026534006,104.2
"ghana","Adansi Akrofuom",81.110447761194,66,4.21315850939998,158
"ghana","Adansi Asokwa",65.3632478632479,58.5,4.08458397270699,107
"ghana","Adansi North",28.7350993377483,26,3.2115101834841,50.9
"ghana","Adansi South",81.2042410714286,74,4.34065769001421,125
"ghana","Afigya-Kwabre North",41.2714932126697,40,3.62638055879758,66
"ghana","Afigya-Kwabre South",9.90076335877863,9,1.84167788941292,22
"ghana","Ahafo-Ano North",77.9118065433855,75,4.3363032695818,106
"ghana","Ahafo-Ano South East",56.9305210918114,54,3.99866435074198,82
"ghana","Ahafo-Ano South West",103.610169491525,96,4.58404752337694,157
"ghana","Amansie Central",68.6349047141424,56,4.01557516018325,132.4
"ghana","Amansie South",103.885386819484,96,4.61439655271132,144.3
"ghana","Amansie West",64.2727272727273,59,4.05626416627137,101.3
"ghana","Asante-Akim Central",42.7401129943503,41,3.70477751797212,64
"ghana","Asante-Akim North",103.064345193036,99,4.5767064736791,155
"ghana","Asante-Akim South",77.4303610906411,71,4.27633031595484,118
"ghana","Asokore-Mampong",0,0,0,0
"ghana","Asokwa",0,0,0,0
"ghana","Atwima-Kwanwoma",16.6801346801347,11,1.98951580557982,45
"ghana","Atwima-Mponua",98.3331834532374,90,4.47661264698616,167
"ghana","Atwima-Nwabiagya North",29.2226720647773,28,3.17051532126999,52.4
"ghana","Atwima-Nwabiagya South",19.974358974359,16,2.5477820649271,44.2
"ghana","Bekwai",27.2967032967033,24,3.10972563341367,49
"ghana","Bosome Freho",82.2170658682635,74,4.33513160301854,137
"ghana","Bosomtwe",23.7661290322581,22,2.84108020778643,44
"ghana","Ejisu",19.4731404958678,15,2.54743932979493,45
"ghana","Ejura-Sekyedumase",129.18043202033,129,4.83055788150331,173
"ghana","Juaben",36.1138613861386,31,3.46897682866965,62.8
"ghana","Kumasi",0,0,0,0
"ghana","Kwabre East",9.84353741496599,7,1.74967939410387,24.4
"ghana","Kwadaso",0,0,0,0
"ghana","Mampong",95.0777070063694,85,4.48264106600539,150
"ghana","Obuasi",7.67836257309941,3,1.4421594320467,21
"ghana","Obuasi East",13.8181818181818,11,2.28883353589196,31.3
"ghana","Offinso",46.0014513788099,41,3.62894006688322,84.2
"ghana","Offinso North",80.2703670546106,66,4.19558362490541,155
"ghana","Oforikrom",0.0526315789473684,0,0.0314343766531238,0
"ghana","Old Tafo",0,0,0,0
"ghana","Sekyere Afram Plains North",235.033157135992,217,5.39832140877345,366
"ghana","Sekyere Central",158.722941481098,163,5.00818797153463,221
"ghana","Sekyere East",46.2348754448399,43,3.79748336365277,64
"ghana","Sekyere Kumawu",87.3602941176471,75.5,4.38493440156513,157
