"outcome","country","model","n","n_pred","reliability","r_max","pearson","pearson_sd","spearman","pearson_w","r_share","rmse_pp","mae_pp","calib","secs"
"child_vitA","gambia","null_mean",30,237,0.487,0.698,-0.344,0.075,-0.332,-0.029,-0.493,13.71,11.12,-4,0.8
"child_vitA","gambia","spatial_only",30,237,0.487,0.698,0.435,0.087,0.44,0.146,0.624,12.82,9.95,0.58,2.6
"child_vitA","gambia","PROD enet_screen30",30,237,0.487,0.698,0.35,0.093,0.402,0.069,0.501,12.84,10.3,0.68,4.9
"child_vitA","gambia","PROD ridge_all",30,237,0.487,0.698,0.425,0.05,0.446,0.087,0.61,12.41,9.63,0.89,12.3
"child_vitA","gambia","binom_screen30",30,237,0.487,0.698,0.369,0.112,0.426,0.1,0.529,12.58,9.71,0.68,5
"child_vitA","gambia","binom_ridge_all",30,237,0.487,0.698,0.438,0.059,0.469,0.141,0.628,12,9.38,1,7.5
"child_vitA","gambia","decorr20_enet",30,237,0.487,0.698,0.195,0.115,0.258,0.026,0.28,14.18,11.41,0.42,5.3
"child_vitA","gambia","decorr40screen12_enet",30,237,0.487,0.698,0.241,0.105,0.326,0.05,0.345,13.74,11.14,0.44,4.8
"child_vitA","gambia","decorr40screen12_binom",30,237,0.487,0.698,0.333,0.042,0.392,0.075,0.477,12.99,10.3,0.6,5.4
"child_vitA","gambia","curated16_enet",30,237,0.487,0.698,0.259,0.247,0.272,0.022,0.371,13.39,11.03,0.58,7.3
"child_vitA","gambia","curated16_binom",30,237,0.487,0.698,0.425,0.102,0.445,0.052,0.609,12.1,9.67,0.86,8.1
"child_vitA","gambia","curated16_ridge",30,237,0.487,0.698,0.417,0.12,0.428,0.031,0.597,12.29,10.11,0.93,3.8
"child_vitA","gambia","domainPC1_enet",30,237,0.487,0.698,0.435,0.071,0.43,0.117,0.623,12.49,9.88,0.74,4.5
"child_vitA","gambia","domainPC2_ridge",30,237,0.487,0.698,0.293,0.242,0.368,0.128,0.42,15.13,11.07,0.64,4.2
"child_vitA","gambia","decorr20_rf",30,237,0.487,0.698,0.408,0.098,0.434,0.08,0.585,12.87,9.69,0.81,3.6
"child_vitA","ghana","null_mean",75,237,0.106,0.326,-0.233,0.076,-0.215,-0.008,-0.714,11.64,9.61,-4,1.5
"child_vitA","ghana","spatial_only",75,237,0.106,0.326,0.181,0.101,0.178,0.001,0.556,12.13,9.72,0.45,2.4
"child_vitA","ghana","PROD enet_screen30",75,237,0.106,0.326,0.113,0.075,0.156,-0.002,0.348,12.5,10,0.26,17.7
"child_vitA","ghana","PROD ridge_all",75,237,0.106,0.326,0.029,0.066,-0.002,-0.001,0.088,12.19,9.83,0.07,12.1
"child_vitA","ghana","binom_screen30",75,237,0.106,0.326,0.132,0.076,0.146,0,0.405,11.88,9.79,0.32,23.5
"child_vitA","ghana","binom_ridge_all",75,237,0.106,0.326,0.233,0.092,0.241,0.005,0.713,11.29,9.43,0.91,8.3
"child_vitA","ghana","decorr20_enet",75,237,0.106,0.326,0.073,0.109,0.154,-0.003,0.224,12.51,10.14,0.19,2.2
