"n_test","r_max","pearson","spearman","rmse_pp","pattern_rmse_pp","level_bias_pp","calib","outcome","held_out","variant","anchor"
30,0.698,-0.055,-0.024,15.82,13.4,-8.41,-0.52,"child_vitA","gambia","PROD enet30","train_mean"
30,0.698,-0.058,-0.024,13.65,13.61,1.14,-0.32,"child_vitA","gambia","PROD enet30","oracle_national"
30,0.698,0.457,0.474,15.76,12.86,-9.11,6.61,"child_vitA","gambia","PROD ridge_all","train_mean"
30,0.698,0.454,0.474,12.62,12.58,1.09,3.55,"child_vitA","gambia","PROD ridge_all","oracle_national"
30,0.698,0.473,0.554,13.41,13.15,-2.64,26.51,"child_vitA","gambia","spatial_tps","train_mean"
30,0.698,0.473,0.554,13.17,13.13,1.03,22.58,"child_vitA","gambia","spatial_tps","oracle_national"
30,0.698,0.06,0.133,14.83,13.49,-6.14,0.23,"child_vitA","gambia","spatial + decorr20","train_mean"
30,0.698,0.064,0.133,13.92,13.84,1.43,0.17,"child_vitA","gambia","spatial + decorr20","oracle_national"
30,0.698,0.012,0.07,18.48,13.26,-12.87,0.3,"child_vitA","gambia","centered_own enet30","train_mean"
30,0.698,0.016,0.07,14.32,13.35,5.19,0.12,"child_vitA","gambia","centered_own enet30","oracle_national"
30,0.698,0.281,0.387,18.33,13.03,-12.89,4.08,"child_vitA","gambia","centered_own ridge_all","train_mean"
30,0.698,0.277,0.387,13.71,12.75,5.04,1.2,"child_vitA","gambia","centered_own ridge_all","oracle_national"
30,0.698,0.158,0.167,18.36,13.1,-12.86,1.25,"child_vitA","gambia","centered_own decorr20","train_mean"
30,0.698,0.164,0.167,14.39,13.51,4.94,0.39,"child_vitA","gambia","centered_own decorr20","oracle_national"
30,0.698,0.571,0.678,14.98,10.96,-10.21,0.85,"child_vitA","gambia","zscore ridge_all","train_mean"
30,0.698,0.618,0.678,19.41,17.33,8.75,0.37,"child_vitA","gambia","zscore ridge_all","oracle_national"
30,0.698,0.608,0.619,14.91,10.54,-10.54,0.94,"child_vitA","gambia","zscore screen30","train_mean"
30,0.698,0.619,0.619,18.43,16.59,8.04,0.39,"child_vitA","gambia","zscore screen30","oracle_national"
30,0.698,0.67,0.595,14.64,9.84,-10.84,1.02,"child_vitA","gambia","zscore decorr20","train_mean"
30,0.698,0.657,0.595,16.26,14.3,7.75,0.46,"child_vitA","gambia","zscore decorr20","oracle_national"
30,0.698,0.569,0.656,15.5,11.02,-10.89,1.28,"child_vitA","gambia","zscore curated16","train_mean"
30,0.698,0.572,0.656,18,15.5,9.14,0.41,"child_vitA","gambia","zscore curated16","oracle_national"
75,0.326,0.435,0.43,13.5,10.67,-8.27,2.22,"child_vitA","ghana","PROD enet30","train_mean"
75,0.326,0.44,0.43,10.55,10.32,2.19,0.86,"child_vitA","ghana","PROD enet30","oracle_national"
75,0.326,0.09,0.197,20.78,20.68,2.12,0.06,"child_vitA","ghana","PROD ridge_all","train_mean"
75,0.326,0.082,0.197,20.94,20.91,-1.1,0.05,"child_vitA","ghana","PROD ridge_all","oracle_national"
75,0.326,0.351,0.294,17.26,11.9,12.51,0.44,"child_vitA","ghana","spatial_tps","train_mean"
75,0.326,0.352,0.294,11.26,11,2.37,0.62,"child_vitA","ghana","spatial_tps","oracle_national"
75,0.326,-0.038,0.139,35.27,34.66,6.56,-0.01,"child_vitA","ghana","spatial + decorr20","train_mean"
75,0.326,-0.047,0.139,32.98,32.98,0.59,-0.02,"child_vitA","ghana","spatial + decorr20","oracle_national"
75,0.326,0.266,0.245,13.1,11.04,-7.04,0.92,"child_vitA","ghana","centered_own enet30","train_mean"
75,0.326,0.271,0.245,13.37,12.17,5.54,0.38,"child_vitA","ghana","centered_own enet30","oracle_national"
75,0.326,0.073,0.215,22.5,21.31,-7.22,0.04,"child_vitA","ghana","centered_own ridge_all","train_mean"
75,0.326,0.087,0.215,21.08,21,-1.87,0.05,"child_vitA","ghana","centered_own ridge_all","oracle_national"
75,0.326,0.22,0.211,13.49,11.2,-7.53,1.4,"child_vitA","ghana","centered_own decorr20","train_mean"
75,0.326,0.223,0.211,12.29,11.37,4.66,0.54,"child_vitA","ghana","centered_own decorr20","oracle_national"
75,0.326,0.242,0.185,13.85,12.87,-5.12,0.3,"child_vitA","ghana","zscore ridge_all","train_mean"
75,0.326,0.258,0.185,25.77,23.31,10.98,0.13,"child_vitA","ghana","zscore ridge_all","oracle_national"
75,0.326,-0.005,0.129,15.76,14.96,-4.98,-0.01,"child_vitA","ghana","zscore screen30","train_mean"
75,0.326,0.058,0.129,28.78,26.57,11.07,0.03,"child_vitA","ghana","zscore screen30","oracle_national"
75,0.326,0.162,0.314,17.07,16.38,-4.8,0.14,"child_vitA","ghana","zscore decorr20","train_mean"
75,0.326,0.189,0.314,25.38,24.09,7.96,0.09,"child_vitA","ghana","zscore decorr20","oracle_national"
75,0.326,NA,NA,14.44,11.45,-8.79,NA,"child_vitA","ghana","zscore curated16","train_mean"
75,0.326,NA,NA,11.54,11.45,1.4,NA,"child_vitA","ghana","zscore curated16","oracle_national"
14,0,-0.022,-0.033,6.83,6.03,-3.21,-0.06,"child_vitA","sierraleone","PROD enet30","train_mean"
14,0,-0.024,-0.033,6.6,6.47,1.33,-0.04,"child_vitA","sierraleone","PROD enet30","oracle_national"
14,0,-0.026,0.116,6.5,5.76,-3.01,-0.13,"child_vitA","sierraleone","PROD ridge_all","train_mean"
14,0,-0.024,0.116,5.96,5.87,1.05,-0.09,"child_vitA","sierraleone","PROD ridge_all","oracle_national"
14,0,0.156,0.147,6.45,5.59,-3.22,0.62,"child_vitA","sierraleone","spatial_tps","train_mean"
14,0,0.156,0.147,5.79,5.69,1.11,0.42,"child_vitA","sierraleone","spatial_tps","oracle_national"
14,0,-0.188,-0.248,14.07,10.45,9.43,-0.14,"child_vitA","sierraleone","spatial + decorr20","train_mean"
14,0,-0.188,-0.248,8.82,8.51,2.35,-0.2,"child_vitA","sierraleone","spatial + decorr20","oracle_national"
14,0,0.061,0.011,7.19,5.67,-4.42,0.32,"child_vitA","sierraleone","centered_own enet30","train_mean"
14,0,0.062,0.011,7.42,5.93,4.46,0.16,"child_vitA","sierraleone","centered_own enet30","oracle_national"
14,0,0.004,-0.002,7.38,5.84,-4.51,0.02,"child_vitA","sierraleone","centered_own ridge_all","train_mean"
14,0,-0.002,-0.002,7.83,6.58,4.24,0,"child_vitA","sierraleone","centered_own ridge_all","oracle_national"
14,0,0.073,0.178,7.31,6.03,-4.14,0.16,"child_vitA","sierraleone","centered_own decorr20","train_mean"
14,0,0.061,0.178,9.03,7.6,4.89,0.06,"child_vitA","sierraleone","centered_own decorr20","oracle_national"
14,0,0.009,0.429,19.07,19.06,0.7,0,"child_vitA","sierraleone","zscore ridge_all","train_mean"
14,0,0.131,0.429,10.22,9.83,2.78,0.08,"child_vitA","sierraleone","zscore ridge_all","oracle_national"
14,0,0.058,0.2,12.63,12.63,-0.17,0.03,"child_vitA","sierraleone","zscore screen30","train_mean"
14,0,0.121,0.2,9.09,8.68,2.71,0.09,"child_vitA","sierraleone","zscore screen30","oracle_national"
14,0,-0.036,-0.033,14.19,14.18,-0.61,-0.02,"child_vitA","sierraleone","zscore decorr20","train_mean"
14,0,0.008,-0.033,9.47,9.09,2.64,0.01,"child_vitA","sierraleone","zscore decorr20","oracle_national"
14,0,0.009,-0.081,16.22,16.21,0.57,0,"child_vitA","sierraleone","zscore curated16","train_mean"
14,0,-0.027,-0.081,10.45,10.08,2.77,-0.02,"child_vitA","sierraleone","zscore curated16","oracle_national"
97,0.429,-0.207,-0.017,12.78,11.16,-6.23,-1.17,"child_vitA","malawi","PROD enet30","train_mean"
97,0.429,-0.201,-0.017,21.01,19.44,7.97,-0.15,"child_vitA","malawi","PROD enet30","oracle_national"
97,0.429,-0.126,0.038,11.19,11.17,-0.7,-0.56,"child_vitA","malawi","PROD ridge_all","train_mean"
97,0.429,-0.125,0.038,11.25,11.25,0.12,-0.51,"child_vitA","malawi","PROD ridge_all","oracle_national"
97,0.429,-0.113,-0.023,11.35,11,-2.79,-0.63,"child_vitA","malawi","spatial_tps","train_mean"
97,0.429,-0.112,-0.023,11.29,11.29,0.08,-0.42,"child_vitA","malawi","spatial_tps","oracle_national"
97,0.429,0.011,0.171,12.57,10.73,-6.54,0.07,"child_vitA","malawi","spatial + decorr20","train_mean"
97,0.429,0.045,0.171,14.16,13.9,2.69,0.05,"child_vitA","malawi","spatial + decorr20","oracle_national"
97,0.429,-0.17,0.004,25.38,23.77,8.9,-0.09,"child_vitA","malawi","centered_own enet30","train_mean"
97,0.429,-0.171,0.004,24.84,23.42,8.28,-0.09,"child_vitA","malawi","centered_own enet30","oracle_national"
97,0.429,-0.103,0.057,18.05,16.68,6.91,-0.09,"child_vitA","malawi","centered_own ridge_all","train_mean"
97,0.429,-0.104,0.057,17.49,16.34,6.22,-0.1,"child_vitA","malawi","centered_own ridge_all","oracle_national"
97,0.429,0.218,-0.039,10.72,10.37,2.7,1.24,"child_vitA","malawi","centered_own decorr20","train_mean"
97,0.429,0.219,-0.039,10.59,10.38,2.12,1.3,"child_vitA","malawi","centered_own decorr20","oracle_national"
97,0.429,0.27,0.221,14.81,13.97,4.93,0.23,"child_vitA","malawi","zscore ridge_all","train_mean"
97,0.429,0.265,0.221,18.96,17.54,7.19,0.17,"child_vitA","malawi","zscore ridge_all","oracle_national"
97,0.429,-0.086,0.09,19.63,18.87,5.42,-0.06,"child_vitA","malawi","zscore screen30","train_mean"
97,0.429,-0.091,0.09,24.54,23.25,7.84,-0.05,"child_vitA","malawi","zscore screen30","oracle_national"
97,0.429,0.08,0.188,16.72,16.03,4.74,0.07,"child_vitA","malawi","zscore decorr20","train_mean"
97,0.429,0.094,0.188,19.75,18.56,6.76,0.06,"child_vitA","malawi","zscore decorr20","oracle_national"
97,0.429,-0.15,-0.056,17.63,16.87,5.14,-0.14,"child_vitA","malawi","zscore curated16","train_mean"
97,0.429,-0.157,-0.056,21.94,20.55,7.69,-0.1,"child_vitA","malawi","zscore curated16","oracle_national"
30,0.606,0.539,0.561,44.95,12.93,-43.05,1.17,"child_iron","gambia","PROD enet30","train_mean"
30,0.606,0.546,0.561,13.11,12.94,-2.09,0.82,"child_iron","gambia","PROD enet30","oracle_national"
30,0.606,0.582,0.526,48.89,14.23,-46.77,4.52,"child_iron","gambia","PROD ridge_all","train_mean"
30,0.606,0.572,0.526,13.69,13.59,-1.62,2.5,"child_iron","gambia","PROD ridge_all","oracle_national"
30,0.606,0.57,0.531,46.65,13.77,-44.57,2.85,"child_iron","gambia","spatial_tps","train_mean"
30,0.606,0.575,0.531,13.27,13.17,-1.68,1.88,"child_iron","gambia","spatial_tps","oracle_national"
30,0.606,0.399,0.332,51.97,14.47,-49.91,2.44,"child_iron","gambia","spatial + decorr20","train_mean"
30,0.606,0.412,0.332,14.08,13.98,-1.69,1.22,"child_iron","gambia","spatial + decorr20","oracle_national"
30,0.606,0.534,0.534,51.44,13.51,-49.64,1.93,"child_iron","gambia","centered_own enet30","train_mean"
30,0.606,0.538,0.534,12.96,12.89,1.28,1.04,"child_iron","gambia","centered_own enet30","oracle_national"
30,0.606,0.585,0.52,51.84,13.85,-49.95,3.23,"child_iron","gambia","centered_own ridge_all","train_mean"
30,0.606,0.583,0.52,12.92,12.84,1.44,1.57,"child_iron","gambia","centered_own ridge_all","oracle_national"
30,0.606,0.169,0.096,52.42,15.08,-50.2,1.39,"child_iron","gambia","centered_own decorr20","train_mean"
30,0.606,0.173,0.096,15.14,15.08,1.36,0.75,"child_iron","gambia","centered_own decorr20","oracle_national"
30,0.606,0.546,0.478,47.3,13.97,-45.19,0.6,"child_iron","gambia","zscore ridge_all","train_mean"
30,0.606,0.577,0.478,15.57,15.34,-2.67,0.5,"child_iron","gambia","zscore ridge_all","oracle_national"
30,0.606,0.535,0.459,47.31,15.66,-44.64,0.48,"child_iron","gambia","zscore screen30","train_mean"
30,0.606,0.483,0.459,16.92,16.64,-3.07,0.43,"child_iron","gambia","zscore screen30","oracle_national"
30,0.606,0.343,0.515,49.47,20.29,-45.11,0.27,"child_iron","gambia","zscore decorr20","train_mean"
30,0.606,0.49,0.515,16.3,16,-3.1,0.46,"child_iron","gambia","zscore decorr20","oracle_national"
30,0.606,0.392,0.401,48.55,15.33,-46.07,0.5,"child_iron","gambia","zscore curated16","train_mean"
30,0.606,0.44,0.401,17.19,17.06,-2.1,0.4,"child_iron","gambia","zscore curated16","oracle_national"
75,0.723,0.539,0.509,16.22,16.19,0.97,0.68,"child_iron","ghana","PROD enet30","train_mean"
75,0.723,0.533,0.509,18.26,17.08,6.45,0.58,"child_iron","ghana","PROD enet30","oracle_national"
75,0.723,0.562,0.52,16.81,16.67,2.18,0.61,"child_iron","ghana","PROD ridge_all","train_mean"
75,0.723,0.547,0.52,30.6,20.65,22.58,0.42,"child_iron","ghana","PROD ridge_all","oracle_national"
75,0.723,0.586,0.584,23.13,21.08,9.52,0.42,"child_iron","ghana","spatial_tps","train_mean"
75,0.723,0.584,0.584,22.48,20.85,8.4,0.43,"child_iron","ghana","spatial_tps","oracle_national"
75,0.723,0.194,0.258,28.1,28.01,2.18,0.14,"child_iron","ghana","spatial + decorr20","train_mean"
75,0.723,0.225,0.258,29.19,28.64,5.64,0.16,"child_iron","ghana","spatial + decorr20","oracle_national"
75,0.723,0.555,0.524,15.74,15.7,-1.12,1.5,"child_iron","ghana","centered_own enet30","train_mean"
75,0.723,0.55,0.524,15.96,15.54,3.63,1.27,"child_iron","ghana","centered_own enet30","oracle_national"
75,0.723,0.422,0.444,16.92,16.83,1.74,1.34,"child_iron","ghana","centered_own ridge_all","train_mean"
75,0.723,0.417,0.444,18.17,16.78,6.98,1.15,"child_iron","ghana","centered_own ridge_all","oracle_national"
75,0.723,0.465,0.452,16.51,16.45,-1.37,1.33,"child_iron","ghana","centered_own decorr20","train_mean"
75,0.723,0.461,0.452,16.71,16.37,3.35,1.12,"child_iron","ghana","centered_own decorr20","oracle_national"
75,0.723,0.498,0.484,17.38,17.21,2.41,0.59,"child_iron","ghana","zscore ridge_all","train_mean"
75,0.723,0.492,0.484,26.59,23.76,11.95,0.34,"child_iron","ghana","zscore ridge_all","oracle_national"
75,0.723,0.444,0.405,18.06,17.88,2.6,0.54,"child_iron","ghana","zscore screen30","train_mean"
75,0.723,0.443,0.405,27.99,24.69,13.17,0.31,"child_iron","ghana","zscore screen30","oracle_national"
75,0.723,0.479,0.453,17.3,17.17,2.15,0.61,"child_iron","ghana","zscore decorr20","train_mean"
75,0.723,0.483,0.453,25.87,23.09,11.66,0.35,"child_iron","ghana","zscore decorr20","oracle_national"
75,0.723,0.343,0.32,19.28,19.11,2.52,0.44,"child_iron","ghana","zscore curated16","train_mean"
75,0.723,0.353,0.32,28.72,25.58,13.05,0.26,"child_iron","ghana","zscore curated16","oracle_national"
14,0,-0.031,-0.073,14.24,9.09,10.96,-0.02,"child_iron","sierraleone","PROD enet30","train_mean"
14,0,-0.036,-0.073,5.67,5.67,0.08,-0.05,"child_iron","sierraleone","PROD enet30","oracle_national"
14,0,-0.187,-0.13,12.69,6.11,11.13,-0.27,"child_iron","sierraleone","PROD ridge_all","train_mean"
14,0,-0.19,-0.13,5.04,5.01,-0.59,-0.74,"child_iron","sierraleone","PROD ridge_all","oracle_national"
14,0,0.303,0.332,4.74,4.64,0.98,0.5,"child_iron","sierraleone","spatial_tps","train_mean"
14,0,0.304,0.332,4.53,4.52,-0.26,0.6,"child_iron","sierraleone","spatial_tps","oracle_national"
14,0,0.213,0.367,6.18,5.56,2.7,0.24,"child_iron","sierraleone","spatial + decorr20","train_mean"
14,0,0.208,0.367,4.97,4.97,0.01,0.32,"child_iron","sierraleone","spatial + decorr20","oracle_national"
14,0,0.292,0.156,16.29,7.37,14.53,0.19,"child_iron","sierraleone","centered_own enet30","train_mean"
14,0,0.327,0.156,4.56,4.54,0.34,0.56,"child_iron","sierraleone","centered_own enet30","oracle_national"
14,0,0.36,0.345,14.75,4.81,13.94,0.44,"child_iron","sierraleone","centered_own ridge_all","train_mean"
14,0,0.374,0.345,4.32,4.32,0,1.28,"child_iron","sierraleone","centered_own ridge_all","oracle_national"
14,0,0.189,0.222,14.94,4.63,14.2,0.51,"child_iron","sierraleone","centered_own decorr20","train_mean"
14,0,0.186,0.222,4.57,4.57,0.06,1.45,"child_iron","sierraleone","centered_own decorr20","oracle_national"
14,0,0.218,0.143,28.06,21.73,17.75,0.05,"child_iron","sierraleone","zscore ridge_all","train_mean"
14,0,0.207,0.143,8.84,8.64,1.89,0.12,"child_iron","sierraleone","zscore ridge_all","oracle_national"
14,0,-0.209,0.103,29.99,24.11,17.84,-0.04,"child_iron","sierraleone","zscore screen30","train_mean"
14,0,-0.238,0.103,10.75,10.58,1.94,-0.13,"child_iron","sierraleone","zscore screen30","oracle_national"
14,0,-0.18,-0.103,27.95,21.34,18.05,-0.04,"child_iron","sierraleone","zscore decorr20","train_mean"
14,0,-0.16,-0.103,8.93,8.79,1.57,-0.11,"child_iron","sierraleone","zscore decorr20","oracle_national"
14,0,-0.059,-0.108,28.26,21.8,17.99,-0.01,"child_iron","sierraleone","zscore curated16","train_mean"
