"n_test","r_max","pearson","spearman","rmse_pp","pattern_rmse_pp","level_bias_pp","calib","outcome","held_out","model","scale"
30,0.606,0.584,0.551,34.47,13.15,-31.86,1.95,"child_iron","gambia","ridge_all","continuous"
30,0.606,0.048,0.065,32.35,15.43,-28.44,0.25,"child_iron","gambia","curated16_ridge","continuous"
30,0.606,0.584,0.541,45.65,13.26,-43.68,2.09,"child_iron","gambia","centered_own ridge_all","continuous"
30,0.606,0.34,0.287,46.1,14.77,-43.67,2.86,"child_iron","gambia","centered_own decorr20","continuous"
30,0.606,0.57,0.531,46.65,13.77,-44.57,2.85,"child_iron","gambia","spatial_tps","logit"
30,0.606,0.539,0.561,44.95,12.93,-43.05,1.17,"child_iron","gambia","PROD enet30","logit"
30,0.606,0.582,0.526,48.89,14.23,-46.77,4.52,"child_iron","gambia","ridge_all","logit"
30,0.606,0.176,0.15,37.54,15.09,-34.38,0.72,"child_iron","gambia","curated16_ridge","logit"
30,0.606,0.585,0.52,51.84,13.85,-49.95,3.23,"child_iron","gambia","centered_own ridge_all","logit"
30,0.606,0.169,0.096,52.42,15.08,-50.2,1.39,"child_iron","gambia","centered_own decorr20","logit"
75,0.723,0.6,0.585,18.21,15.1,10.19,0.77,"child_iron","ghana","spatial_tps","continuous"
75,0.723,0.58,0.52,17.09,15.21,7.79,0.81,"child_iron","ghana","PROD enet30","continuous"
75,0.723,0.556,0.533,18.96,16.47,9.39,0.63,"child_iron","ghana","ridge_all","continuous"
75,0.723,0.025,0.123,36.32,28.94,21.94,0.02,"child_iron","ghana","curated16_ridge","continuous"
75,0.723,0.09,0.308,20.91,20.06,5.91,0.17,"child_iron","ghana","centered_own ridge_all","continuous"
75,0.723,0.398,0.413,17.9,16.93,5.83,1.13,"child_iron","ghana","centered_own decorr20","continuous"
75,0.723,0.586,0.584,23.13,21.08,9.52,0.42,"child_iron","ghana","spatial_tps","logit"
75,0.723,0.539,0.509,16.22,16.19,0.97,0.68,"child_iron","ghana","PROD enet30","logit"
75,0.723,0.562,0.52,16.81,16.67,2.18,0.61,"child_iron","ghana","ridge_all","logit"
75,0.723,-0.105,-0.07,41.53,33.55,24.47,-0.07,"child_iron","ghana","curated16_ridge","logit"
75,0.723,0.422,0.444,16.92,16.83,1.74,1.34,"child_iron","ghana","centered_own ridge_all","logit"
75,0.723,0.465,0.452,16.51,16.45,-1.37,1.33,"child_iron","ghana","centered_own decorr20","logit"
14,0,0.3,0.314,10.86,6.3,8.85,0.24,"child_iron","sierraleone","spatial_tps","continuous"
14,0,-0.104,-0.196,16.43,5.71,15.4,-0.17,"child_iron","sierraleone","PROD enet30","continuous"
14,0,-0.19,-0.169,17.46,7.47,15.79,-0.18,"child_iron","sierraleone","ridge_all","continuous"
14,0,-0.038,-0.174,7.73,6.6,4.03,-0.04,"child_iron","sierraleone","curated16_ridge","continuous"
14,0,0.355,0.367,21.85,4.74,21.33,0.46,"child_iron","sierraleone","centered_own ridge_all","continuous"
14,0,0.119,0.134,22.25,4.8,21.73,0.29,"child_iron","sierraleone","centered_own decorr20","continuous"
14,0,0.303,0.332,4.74,4.64,0.98,0.5,"child_iron","sierraleone","spatial_tps","logit"
14,0,-0.031,-0.073,14.24,9.09,10.96,-0.02,"child_iron","sierraleone","PROD enet30","logit"
14,0,-0.187,-0.13,12.69,6.11,11.13,-0.27,"child_iron","sierraleone","ridge_all","logit"
14,0,-0.096,-0.108,5.35,5.21,1.24,-0.23,"child_iron","sierraleone","curated16_ridge","logit"
14,0,0.36,0.345,14.75,4.81,13.94,0.44,"child_iron","sierraleone","centered_own ridge_all","logit"
14,0,0.189,0.222,14.94,4.63,14.2,0.51,"child_iron","sierraleone","centered_own decorr20","logit"
97,0.394,NA,NA,24.75,14.89,-19.77,NA,"child_iron","malawi","spatial_tps","continuous"
97,0.394,0.118,0.111,16.36,15.4,5.53,0.29,"child_iron","malawi","PROD enet30","continuous"
97,0.394,-0.07,-0.023,17.96,17.25,4.99,-0.13,"child_iron","malawi","ridge_all","continuous"
97,0.394,0.029,-0.022,19.73,15.57,-12.12,0.09,"child_iron","malawi","curated16_ridge","continuous"
97,0.394,-0.199,-0.123,32.87,29.71,14.07,-0.13,"child_iron","malawi","centered_own ridge_all","continuous"
97,0.394,0.032,0.089,18.53,15.04,10.81,0.18,"child_iron","malawi","centered_own decorr20","continuous"
97,0.394,0.113,0.006,24.73,14.88,-19.75,58.25,"child_iron","malawi","spatial_tps","logit"
97,0.394,0.122,-0.013,18.46,15.21,-10.45,0.34,"child_iron","malawi","PROD enet30","logit"
97,0.394,-0.059,-0.021,16.48,16.24,-2.82,-0.15,"child_iron","malawi","ridge_all","logit"
97,0.394,0.005,0.056,15.49,15.1,-3.48,0.03,"child_iron","malawi","curated16_ridge","logit"
97,0.394,-0.161,-0.115,26.37,24.8,8.96,-0.14,"child_iron","malawi","centered_own ridge_all","logit"
97,0.394,-0.018,0.052,15.3,15.28,0.77,-0.09,"child_iron","malawi","centered_own decorr20","logit"
30,0.725,0.768,0.773,31.45,15.76,-27.22,19.41,"women_iron","gambia","spatial_tps","continuous"
30,0.725,0.75,0.739,31.75,13.37,-28.8,2.88,"women_iron","gambia","PROD enet30","continuous"
30,0.725,0.762,0.762,27.38,12.69,-24.26,2.34,"women_iron","gambia","ridge_all","continuous"
30,0.725,-0.392,-0.342,37.59,16.35,-33.85,-24.73,"women_iron","gambia","curated16_ridge","continuous"
30,0.725,0.705,0.725,37.9,12.81,-35.67,1.95,"women_iron","gambia","centered_own ridge_all","continuous"
30,0.725,NA,NA,39.17,16.25,-35.64,NA,"women_iron","gambia","centered_own decorr20","continuous"
30,0.725,-0.427,-0.363,31.4,16.4,-26.78,-20.36,"women_iron","gambia","spatial_tps","logit"
30,0.725,0.496,0.528,18.01,14.5,-10.69,0.71,"women_iron","gambia","PROD enet30","logit"
30,0.725,0.255,0.372,43.43,16.23,-40.29,47.67,"women_iron","gambia","ridge_all","logit"
30,0.725,-0.635,-0.702,42.91,16.65,-39.54,-16.49,"women_iron","gambia","curated16_ridge","logit"
30,0.725,0.708,0.737,43.8,13.6,-41.63,2.74,"women_iron","gambia","centered_own ridge_all","logit"
30,0.725,NA,NA,45.05,16.25,-42.01,NA,"women_iron","gambia","centered_own decorr20","logit"
75,0,0.269,0.219,32.6,13.78,29.55,0.29,"women_iron","ghana","spatial_tps","continuous"
75,0,0.505,0.486,18.35,10.22,15.25,0.82,"women_iron","ghana","PROD enet30","continuous"
75,0,0.326,0.295,21.71,12.44,17.79,0.41,"women_iron","ghana","ridge_all","continuous"
75,0,-0.064,-0.039,35.51,24.43,25.77,-0.04,"women_iron","ghana","curated16_ridge","continuous"
75,0,0.014,0.105,25.25,18.85,16.8,0.01,"women_iron","ghana","centered_own ridge_all","continuous"
75,0,0,0.095,22.09,20.44,8.38,0,"women_iron","ghana","centered_own decorr20","continuous"
75,0,0.255,0.21,31.55,17.05,26.54,0.19,"women_iron","ghana","spatial_tps","logit"
75,0,0.456,0.455,25.18,11.02,22.64,0.61,"women_iron","ghana","PROD enet30","logit"
75,0,0.258,0.284,24.55,14.09,20.11,0.27,"women_iron","ghana","ridge_all","logit"
75,0,-0.038,0.018,31.17,24.04,19.84,-0.02,"women_iron","ghana","curated16_ridge","logit"
75,0,0.097,0.099,53.2,20.18,49.23,0.07,"women_iron","ghana","centered_own ridge_all","logit"
75,0,0.203,0.196,11.84,11.69,1.85,0.53,"women_iron","ghana","centered_own decorr20","logit"
14,0.231,0.201,0.165,12.87,7.34,-10.57,0.28,"women_iron","sierraleone","spatial_tps","continuous"
14,0.231,0.082,0.09,8.38,6.9,4.75,0.22,"women_iron","sierraleone","PROD enet30","continuous"
14,0.231,-0.106,-0.09,9.35,7.02,6.19,-0.42,"women_iron","sierraleone","ridge_all","continuous"
14,0.231,-0.217,-0.065,16.8,8.02,-14.77,-0.44,"women_iron","sierraleone","curated16_ridge","continuous"
14,0.231,0.478,0.512,6.17,5.87,1.88,1.27,"women_iron","sierraleone","centered_own ridge_all","continuous"
14,0.231,0.3,0.31,6.62,6.56,0.87,6.69,"women_iron","sierraleone","centered_own decorr20","continuous"
14,0.231,0.08,0.081,14.54,6.71,-12.9,0.33,"women_iron","sierraleone","spatial_tps","logit"
14,0.231,-0.108,-0.156,12.72,8.06,-9.84,-0.18,"women_iron","sierraleone","PROD enet30","logit"
14,0.231,-0.112,-0.156,7.1,6.99,-1.26,-0.48,"women_iron","sierraleone","ridge_all","logit"
14,0.231,-0.065,0.037,15.91,6.88,-14.35,-0.3,"women_iron","sierraleone","curated16_ridge","logit"
14,0.231,0.06,0.055,9.36,6.97,-6.24,0.16,"women_iron","sierraleone","centered_own ridge_all","logit"
14,0.231,0.085,0.209,9.33,6.62,-6.57,0.68,"women_iron","sierraleone","centered_own decorr20","logit"
97,0.397,0.087,0.022,19,16.89,-8.7,0.25,"women_iron","malawi","spatial_tps","continuous"
97,0.397,0.092,0.056,19.24,16.34,10.16,0.62,"women_iron","malawi","PROD enet30","continuous"
97,0.397,-0.003,0.034,19.07,16.48,9.6,-0.03,"women_iron","malawi","ridge_all","continuous"
97,0.397,0.164,0.179,22.58,16.16,-15.77,1.03,"women_iron","malawi","curated16_ridge","continuous"
97,0.397,0.081,0.083,17.13,16.56,4.41,0.33,"women_iron","malawi","centered_own ridge_all","continuous"
97,0.397,0.312,0.234,16.65,16.19,3.89,7.79,"women_iron","malawi","centered_own decorr20","continuous"
