"n_test","r_max","pearson","spearman","rmse_pp","pattern_rmse_pp","level_bias_pp","calib","outcome","held_out","variant","n_features"
30,0.671,0.578,0.592,12.3,12.17,1.76,3.67,"child_vitA","gambia","locked_published",8
30,0.671,0.368,0.432,13.24,12.78,-3.46,3.25,"child_vitA","gambia","selected_in_fold",8
30,0.671,0.601,0.617,13.03,13.03,-0.07,20.49,"child_vitA","gambia","spatial_only",0
75,0.03,0.356,0.326,16.36,11.32,11.81,0.53,"child_vitA","ghana","locked_published",8
75,0.03,0.303,0.242,13.87,11.11,8.31,0.63,"child_vitA","ghana","selected_in_fold",8
75,0.03,0.346,0.298,15.34,11.01,10.68,0.62,"child_vitA","ghana","spatial_only",0
14,0,0.137,0.095,6.77,6.28,-2.54,0.21,"child_vitA","sierraleone","locked_published",8
14,0,0.156,0.095,8.64,8.15,2.84,0.13,"child_vitA","sierraleone","selected_in_fold",8
14,0,0.136,0.099,6.01,5.95,0.84,0.27,"child_vitA","sierraleone","spatial_only",0
97,0,-0.013,-0.138,22.37,12.57,18.51,-0.02,"child_vitA","malawi","locked_published",8
97,0,-0.119,-0.078,15.26,12.85,8.24,-0.21,"child_vitA","malawi","selected_in_fold",8
97,0,-0.089,-0.014,15.89,11.21,11.26,-0.34,"child_vitA","malawi","spatial_only",0
30,0.565,0.562,0.599,53.66,13.47,-51.94,2.18,"child_iron","gambia","locked_published",8
30,0.565,0.49,0.493,43.82,14.4,-41.38,3.67,"child_iron","gambia","selected_in_fold",8
30,0.565,0.574,0.539,47.24,14.39,-45,5.23,"child_iron","gambia","spatial_only",0
75,0.672,0.592,0.544,20.25,16.82,11.27,0.58,"child_iron","ghana","locked_published",8
75,0.672,0.492,0.481,18.51,16.82,7.74,0.64,"child_iron","ghana","selected_in_fold",8
75,0.672,0.6,0.585,18.21,15.1,10.19,0.77,"child_iron","ghana","spatial_only",0
14,0,0.21,0.244,12.43,8.08,9.44,0.13,"child_iron","sierraleone","locked_published",8
14,0,0.233,0.231,31.21,13.01,28.37,0.08,"child_iron","sierraleone","selected_in_fold",8
14,0,0.3,0.314,10.86,6.3,8.85,0.24,"child_iron","sierraleone","spatial_only",0
97,0.199,NA,NA,24.75,14.89,-19.77,NA,"child_iron","malawi","locked_published",8
97,0.199,NA,NA,24.75,14.89,-19.77,NA,"child_iron","malawi","selected_in_fold",8
97,0.199,NA,NA,24.75,14.89,-19.77,NA,"child_iron","malawi","spatial_only",0
30,0.706,0.693,0.744,28.49,15.04,-24.2,6.15,"women_iron","gambia","locked_published",8
30,0.706,-0.394,-0.476,33.19,17.14,-28.42,-3.17,"women_iron","gambia","selected_in_fold",8
30,0.706,0.768,0.773,31.45,15.76,-27.22,19.41,"women_iron","gambia","spatial_only",0
75,0,0.274,0.213,42.61,18.01,38.61,0.19,"women_iron","ghana","locked_published",8
75,0,0.296,0.261,36.72,13.72,34.06,0.31,"women_iron","ghana","selected_in_fold",8
75,0,0.269,0.219,32.6,13.78,29.55,0.29,"women_iron","ghana","spatial_only",0
14,0.167,0.025,0.015,13.22,8.22,-10.35,0.03,"women_iron","sierraleone","locked_published",8
14,0.167,0.28,0.218,15.78,6.71,-14.28,0.47,"women_iron","sierraleone","selected_in_fold",8
14,0.167,0.201,0.165,12.87,7.34,-10.57,0.28,"women_iron","sierraleone","spatial_only",0
97,0,NA,NA,23.78,16.38,-17.24,NA,"women_iron","malawi","locked_published",8
97,0,0.148,0.077,20.56,16.59,-12.15,0.4,"women_iron","malawi","selected_in_fold",8
97,0,0.087,0.022,19,16.89,-8.7,0.25,"women_iron","malawi","spatial_only",0
30,0.275,0.542,0.579,4.86,4.48,-1.88,3.61,"women_vitA","gambia","locked_published",8
30,0.275,-0.335,-0.304,5.09,5.02,-0.86,-3.3,"women_vitA","gambia","selected_in_fold",8
30,0.275,0.522,0.598,4.96,4.81,-1.22,64.39,"women_vitA","gambia","spatial_only",0
75,0,0.267,0.204,4.17,4.08,0.83,0.55,"women_vitA","ghana","locked_published",8
75,0,0.2,0.184,4.41,4.06,1.73,0.73,"women_vitA","ghana","selected_in_fold",8
75,0,0.239,0.215,5.3,4.01,3.46,1.18,"women_vitA","ghana","spatial_only",0
14,0,0.285,0.286,1.55,1.52,0.28,0.51,"women_vitA","sierraleone","locked_published",8
14,0,0.186,0.096,1.6,1.52,-0.49,0.5,"women_vitA","sierraleone","selected_in_fold",8
14,0,-0.052,-0.073,1.81,1.65,-0.74,-0.14,"women_vitA","sierraleone","spatial_only",0
97,0,0.145,0.127,4.62,4.4,1.4,0.4,"women_vitA","malawi","locked_published",8
97,0,-0.165,-0.197,5.16,4.6,2.34,-0.75,"women_vitA","malawi","selected_in_fold",8
97,0,-0.211,-0.249,4.64,4.62,-0.39,-1.01,"women_vitA","malawi","spatial_only",0
