"outcome","country","variable","imp","rel"
"child_iron","ghana","MAP_202106_Insecticide_Treated_Net_Use",0.080010023652025,0.179755200724884
"child_iron","ghana","MAP_201201_Sickle_Haemoglobin_HbS_Allele_Frequency",0.223206130040084,0.501467952101577
"child_iron","ghana","MAP_201201_G6PDd_Allele_Frequency",0.182391658526403,0.409771772241291
"child_iron","ghana","lon",0.0724821436598796,0.162842625059288
"child_iron","ghana","lat",0.388483132926761,0.872788937561003
"women_iron","gambia","gee_ndvi",-0.00199259656807349,-0.0298334406545107
"women_iron","gambia","gee_elevation",0.00663032159928533,0.0992701227744479
"women_iron","gambia","gee_popdensity",0.0191062246589688,0.286061126787042
"women_iron","gambia","gee_ccnl",0.00697457075658901,0.104424270367262
"women_iron","gambia","gee_globalhumanmodification",0.0218779029706551,0.327559090674952
"women_iron","gambia","gee_ghsl_smod",0.0318164937238437,0.476361092131468
"women_iron","gambia","gee_wsf",0.0122363634831535,0.183204583231128
"women_iron","gambia","gee_trmm",0.0300203094294601,0.449468364115346
"women_iron","gambia","gee_soiltotalcarbon_mean_0_20",0.00664372475840935,0.0994707967888051
"women_iron","gambia","gee_soilzinc_mean_0_20",0.0628004621681026,0.940257496769326
"women_iron","gambia","gee_soiliron_mean_0_20",0.00952606176174504,0.142625558426507
"women_iron","gambia","gee_soilnitrogen_mean_0_20",-0.000999671176281462,-0.0149672197520908
"women_iron","gambia","MAP_202206_Pf_Parasite_Rate",0.00986344620195525,0.147676926493701
"women_iron","gambia","MAP_202106_Insecticide_Treated_Net_Use",-0.00273803829171488,-0.0409943007001309
"women_iron","gambia","MAP_201201_Sickle_Haemoglobin_HbS_Allele_Frequency",0.00428913422048423,0.0642175306714307
"women_iron","gambia","MAP_201201_G6PDd_Allele_Frequency",0.000296307104560174,0.00443635232592642
"women_iron","gambia","lon",0.0667907061457969,1
"women_iron","gambia","lat",-0.000459633721449019,-0.00688170178116831
"women_folate","ghana","gee_ndvi",0.0200566457926193,0.0254471340228706
"women_folate","ghana","gee_elevation",0.100213352728359,0.127147013719422
"women_folate","ghana","gee_popdensity",0.158288438245618,0.200830544845609
"women_folate","ghana","gee_ccnl",0.114573692808285,0.145366884699163
"women_folate","ghana","gee_globalhumanmodification",0.332635985475627,0.422036296135959
"women_folate","ghana","gee_ghsl_smod",0.0828237821413609,0.105083766559204
"women_folate","ghana","gee_wsf",0.412370012297779,0.523199894860585
"women_folate","ghana","gee_trmm",0.788169142135746,1
"women_folate","ghana","gee_soiltotalcarbon_mean_0_20",0.251398282444396,0.318964888378107
"women_folate","ghana","gee_soilzinc_mean_0_20",0.265828584904886,0.337273525051431
"women_folate","ghana","gee_soiliron_mean_0_20",0.386971771570529,0.490975541775119
"women_folate","ghana","gee_soilnitrogen_mean_0_20",0.0526564057843308,0.0668085097085186
"women_folate","ghana","MAP_202206_Pf_Parasite_Rate",-0.195302657962384,-0.247792824561948
"women_folate","ghana","MAP_202106_Insecticide_Treated_Net_Use",0.22548036569933,0.286081189487237
"women_folate","ghana","MAP_201201_Sickle_Haemoglobin_HbS_Allele_Frequency",-0.00663052714550884,-0.0084125688142798
"women_folate","ghana","MAP_201201_G6PDd_Allele_Frequency",0.199697326004476,0.253368617633704
"women_folate","ghana","lon",0.427644865817129,0.542580066834786
"women_folate","ghana","lat",0.515329622433023,0.653831258905424
"women_folate","malawi","gee_ndvi",0.0451957341924404,0.111675141512182
"women_folate","malawi","gee_elevation",0.273510105113717,0.675822181879616
"women_folate","malawi","gee_popdensity",-0.0224449735186861,-0.0554597826260274
"women_folate","malawi","gee_ccnl",0.0397183158898478,0.0981408672052554
"women_folate","malawi","gee_globalhumanmodification",0.017851067644009,0.0441085987628825
"women_folate","malawi","gee_ghsl_smod",0.0298490360594627,0.0737546448908066
"women_folate","malawi","gee_wsf",-0.0247719707483762,-0.0612096116655911
"women_folate","malawi","gee_trmm",0.0823049269905073,0.203369068631086
"women_folate","malawi","gee_soiltotalcarbon_mean_0_20",-0.0223504448917444,-0.0552262097462125
"women_folate","malawi","gee_soilzinc_mean_0_20",0.167544169395113,0.41398860226658
"women_folate","malawi","gee_soiliron_mean_0_20",-0.00720937350611596,-0.0178138008131826
"women_folate","malawi","gee_soilnitrogen_mean_0_20",0.105145920302256,0.259807385342732
"women_folate","malawi","MAP_202206_Pf_Parasite_Rate",0.404707203236543,1
"women_folate","malawi","MAP_202106_Insecticide_Treated_Net_Use",0.122913883032536,0.303710638332017
"women_folate","malawi","MAP_201201_Sickle_Haemoglobin_HbS_Allele_Frequency",0.0738877599549432,0.182570904011702
"women_folate","malawi","MAP_201201_G6PDd_Allele_Frequency",0.181597047210771,0.448712169584566
"women_folate","malawi","lon",0.391276458512016,0.966813675128295
"women_folate","malawi","lat",0.158180255738178,0.390851100433032
"women_b12","ghana","gee_ndvi",0.0903025165008847,0.338103225245013
"women_b12","ghana","gee_elevation",0.201260835371588,0.753544199999929
"women_b12","ghana","gee_popdensity",0.0641670862340925,0.240249105462183
"women_b12","ghana","gee_ccnl",0.027992684361694,0.104807897195884
"women_b12","ghana","gee_globalhumanmodification",0.132219271584238,0.49504447820941
