"outcome","country","n_areas","median_n","min_n","pct_n_lt_25","mean_prev_pp","sd_obs_pp","sd_samp_pp_d15","pct_se_degenerate","lambda_d10","lambda_d15","lambda_d20","lambda_d15_lo","lambda_d15_hi","r_max_d15","r_max_d15_hi"
"child_iron","gambia",30,22,9,57,63.8,15.55,12.83,57,0.546,0.319,0.092,0,0.567,0.565,0.753
"child_iron","ghana",75,14,1,87,21.3,18.55,13.75,85,0.634,0.451,0.268,0.134,0.623,0.672,0.79
"child_iron","malawi",97,12,1,88,19.8,14.96,14.67,78,0.36,0.039,0,0,0.291,0.199,0.54
"child_iron","sierraleone",14,36,14,14,5.9,4.81,5.68,7,0.072,0,0,0,0.072,0,0.269
"child_vitA","gambia",30,22,9,57,18.8,13.48,9.99,60,0.634,0.451,0.268,0,0.678,0.671,0.823
"child_vitA","ghana",75,14,1,87,13.5,11.53,11.53,84,0.334,0.001,0,0,0.248,0.03,0.498
"child_vitA","malawi",97,12,1,88,8.1,10.67,10.96,82,0.297,0,0,0,0.324,0,0.569
"child_vitA","sierraleone",14,36,14,14,11.2,5.84,6.55,0,0.162,0,0,0,0.173,0,0.416
"child_vitA","tanzania",167,31,6,38,22.4,15.67,10.06,31,0.725,0.587,0.45,0.449,0.692,0.766,0.832
"child_zinc","malawi",97,12,1,88,57.6,23.32,17.3,78,0.633,0.449,0.266,0.236,0.603,0.67,0.777
"women_b12","ghana",75,6,1,100,9.5,16.51,15.36,95,0.423,0.135,0,0,0.619,0.367,0.787
"women_b12","malawi",97,9,2,99,2.7,5.77,6.86,98,0.058,0,0,0,0,0,0
"women_b12","sierraleone",14,47,27,0,0.4,0.71,0.92,71,0,0,0,0,0.007,0,0.085
"women_folate","ghana",75,6,1,100,53.6,29.42,22.92,84,0.595,0.393,0.191,0.08,0.569,0.627,0.755
"women_folate","malawi",97,9,2,100,21.2,20.9,16.72,82,0.573,0.36,0.146,0,0.581,0.6,0.762
"women_folate","sierraleone",14,47,27,0,80.8,10.6,6.72,0,0.732,0.598,0.464,0,0.738,0.773,0.859
"women_iron","gambia",30,25.5,11,50,51.5,16.53,11.7,57,0.666,0.499,0.332,0.202,0.633,0.706,0.796
"women_iron","ghana",75,12,2,93,13,11.83,13.78,84,0.094,0,0,0,0.109,0,0.33
"women_iron","malawi",97,8,2,100,17.2,16.47,17.05,79,0.285,0,0,0,0.242,0,0.492
"women_iron","sierraleone",14,54,23,7,17.4,6.89,6.8,0,0.352,0.028,0,0,0.388,0.167,0.623
"women_vitA","gambia",30,25.5,11,50,3.5,4.91,4.72,70,0.384,0.076,0,0,0.41,0.275,0.64
"women_vitA","ghana",75,12,2,93,1.6,4.16,4.85,96,0.093,0,0,0,0.003,0,0.055
"women_vitA","malawi",97,9,2,99,1.4,4.37,5.6,100,0,0,0,0,0,0,0
"women_vitA","sierraleone",14,54,23,7,1.3,1.58,1.84,43,0.096,0,0,0,0.193,0,0.439
"women_vitA","tanzania",168,44.5,10,18,7.4,8.5,5.37,36,0.734,0.601,0.468,0.388,0.712,0.775,0.844
"women_zinc","malawi",97,9,2,99,64.5,24.96,17.81,78,0.661,0.491,0.321,0.338,0.609,0.701,0.78
