"panel","source","model","n_cov_pool","n_mi_added","n_cov_used","n_mi_selected","n_surveys","n_countries","mean_prev_pp","mae_pp","rmse_pp","pearson","spearman"
"Vitamin A | Preschool-age children","panel","null",1580,1439,60,0,36,27,39.9,19.31,23.54,-0.859,-0.85
"Vitamin A | Preschool-age children","panel","ridge",1580,1439,60,0,36,27,39.9,18.58,22.99,0.15,0.192
"Vitamin A | Preschool-age children","panel","rf",1580,1439,60,0,36,27,39.9,18.64,24.16,0.069,0.181
