"n_test","r_max","pearson","spearman","rmse_pp","pattern_rmse_pp","level_bias_pp","calib","outcome","pool","held_out","variant","n_pred_pool"
30,0.698,-0.322,-0.486,18.85,14.16,-12.44,-1.87,"child_vitA","with_tanzania_pool","gambia","PROD enet30",237
30,0.698,0.389,0.47,13.37,12.66,-4.29,2.82,"child_vitA","with_tanzania_pool","gambia","PROD ridge_all",237
30,0.698,0.444,0.448,18.11,12.68,-12.94,4.04,"child_vitA","with_tanzania_pool","gambia","centered_own enet30",237
30,0.698,0.077,0.276,18.54,13.22,-13,1.49,"child_vitA","with_tanzania_pool","gambia","centered_own ridge_all",237
30,0.698,0.141,0.236,18.46,13.15,-12.96,1.74,"child_vitA","with_tanzania_pool","gambia","centered_own decorr20",237
75,0.326,0.313,0.249,12.49,10.92,-6.06,1.36,"child_vitA","with_tanzania_pool","ghana","PROD enet30",237
75,0.326,0.2,0.186,16.53,16.53,-0.51,0.16,"child_vitA","with_tanzania_pool","ghana","PROD ridge_all",237
75,0.326,0.177,0.163,13.44,11.32,-7.24,0.67,"child_vitA","with_tanzania_pool","ghana","centered_own enet30",237
75,0.326,0.084,0.087,21.05,20.22,-5.83,0.05,"child_vitA","with_tanzania_pool","ghana","centered_own ridge_all",237
75,0.326,0.069,0.146,13.79,11.71,-7.28,0.23,"child_vitA","with_tanzania_pool","ghana","centered_own decorr20",237
14,0,-0.072,-0.09,7.68,5.83,-5,-0.35,"child_vitA","with_tanzania_pool","sierraleone","PROD enet30",237
14,0,0.041,0.138,7.36,5.7,-4.66,0.2,"child_vitA","with_tanzania_pool","sierraleone","PROD ridge_all",237
14,0,0.049,0.059,7.45,5.89,-4.55,0.14,"child_vitA","with_tanzania_pool","sierraleone","centered_own enet30",237
14,0,0.08,0.073,7.4,5.76,-4.64,0.26,"child_vitA","with_tanzania_pool","sierraleone","centered_own ridge_all",237
14,0,0.075,0.037,7.84,7.05,-3.43,0.09,"child_vitA","with_tanzania_pool","sierraleone","centered_own decorr20",237
97,0.429,-0.214,-0.096,12.57,11.58,-4.87,-0.79,"child_vitA","with_tanzania_pool","malawi","PROD enet30",237
97,0.429,-0.082,0.008,14.62,14,-4.21,-0.1,"child_vitA","with_tanzania_pool","malawi","PROD ridge_all",237
97,0.429,-0.205,-0.083,22.55,20.26,9.91,-0.14,"child_vitA","with_tanzania_pool","malawi","centered_own enet30",237
97,0.429,-0.145,-0.009,28.71,25.05,14.03,-0.07,"child_vitA","with_tanzania_pool","malawi","centered_own ridge_all",237
97,0.429,0.246,0.091,22.36,20.93,7.86,0.13,"child_vitA","with_tanzania_pool","malawi","centered_own decorr20",237
30,0.698,-0.055,-0.024,15.82,13.4,-8.41,-0.52,"child_vitA","four_country_pool","gambia","PROD enet30",366
30,0.698,0.457,0.474,15.76,12.86,-9.11,6.61,"child_vitA","four_country_pool","gambia","PROD ridge_all",366
30,0.698,0.012,0.07,18.48,13.26,-12.87,0.3,"child_vitA","four_country_pool","gambia","centered_own enet30",366
30,0.698,0.281,0.387,18.33,13.03,-12.89,4.08,"child_vitA","four_country_pool","gambia","centered_own ridge_all",366
30,0.698,0.158,0.167,18.36,13.1,-12.86,1.25,"child_vitA","four_country_pool","gambia","centered_own decorr20",366
75,0.326,0.435,0.43,13.5,10.67,-8.27,2.22,"child_vitA","four_country_pool","ghana","PROD enet30",366
75,0.326,0.09,0.197,20.78,20.68,2.12,0.06,"child_vitA","four_country_pool","ghana","PROD ridge_all",366
75,0.326,0.266,0.245,13.1,11.04,-7.04,0.92,"child_vitA","four_country_pool","ghana","centered_own enet30",366
75,0.326,0.073,0.215,22.5,21.31,-7.22,0.04,"child_vitA","four_country_pool","ghana","centered_own ridge_all",366
75,0.326,0.22,0.211,13.49,11.2,-7.53,1.4,"child_vitA","four_country_pool","ghana","centered_own decorr20",366
14,0,-0.022,-0.033,6.83,6.03,-3.21,-0.06,"child_vitA","four_country_pool","sierraleone","PROD enet30",366
14,0,-0.026,0.116,6.5,5.76,-3.01,-0.13,"child_vitA","four_country_pool","sierraleone","PROD ridge_all",366
14,0,0.061,0.011,7.19,5.67,-4.42,0.32,"child_vitA","four_country_pool","sierraleone","centered_own enet30",366
14,0,0.004,-0.002,7.38,5.84,-4.51,0.02,"child_vitA","four_country_pool","sierraleone","centered_own ridge_all",366
14,0,0.073,0.178,7.31,6.03,-4.14,0.16,"child_vitA","four_country_pool","sierraleone","centered_own decorr20",366
97,0.429,-0.207,-0.017,12.78,11.16,-6.23,-1.17,"child_vitA","four_country_pool","malawi","PROD enet30",366
97,0.429,-0.126,0.038,11.19,11.17,-0.7,-0.56,"child_vitA","four_country_pool","malawi","PROD ridge_all",366
97,0.429,-0.17,0.004,25.38,23.77,8.9,-0.09,"child_vitA","four_country_pool","malawi","centered_own enet30",366
97,0.429,-0.103,0.057,18.05,16.68,6.91,-0.09,"child_vitA","four_country_pool","malawi","centered_own ridge_all",366
97,0.429,0.218,-0.039,10.72,10.37,2.7,1.24,"child_vitA","four_country_pool","malawi","centered_own decorr20",366
30,0.358,NA,NA,5.51,4.83,-2.64,NA,"women_vitA","with_tanzania_pool","gambia","PROD enet30",237
30,0.358,NA,NA,5.51,4.83,-2.64,NA,"women_vitA","with_tanzania_pool","gambia","PROD ridge_all",237
30,0.358,0.137,0.076,5.53,4.83,-2.7,16.57,"women_vitA","with_tanzania_pool","gambia","centered_own enet30",237
30,0.358,NA,NA,5.54,4.83,-2.7,NA,"women_vitA","with_tanzania_pool","gambia","centered_own ridge_all",237
30,0.358,NA,NA,5.54,4.83,-2.7,NA,"women_vitA","with_tanzania_pool","gambia","centered_own decorr20",237
75,0,0.042,0.148,4.2,4.13,-0.78,1.81,"women_vitA","with_tanzania_pool","ghana","PROD enet30",237
75,0,0.234,0.244,4.12,4.09,-0.46,5.73,"women_vitA","with_tanzania_pool","ghana","PROD ridge_all",237
75,0,0.21,0.223,4.17,4.1,-0.72,6.44,"women_vitA","with_tanzania_pool","ghana","centered_own enet30",237
75,0,0.213,0.241,4.18,4.11,-0.74,8.67,"women_vitA","with_tanzania_pool","ghana","centered_own ridge_all",237
75,0,0.15,0.157,4.19,4.12,-0.75,7.77,"women_vitA","with_tanzania_pool","ghana","centered_own decorr20",237
14,0,-0.292,-0.327,1.87,1.54,-1.06,-6.57,"women_vitA","with_tanzania_pool","sierraleone","PROD enet30",237
14,0,0.05,-0.217,1.71,1.53,-0.77,0.37,"women_vitA","with_tanzania_pool","sierraleone","PROD ridge_all",237
14,0,-0.087,0.082,1.61,1.54,-0.45,-0.86,"women_vitA","with_tanzania_pool","sierraleone","centered_own enet30",237
14,0,0.029,-0.204,1.6,1.53,-0.44,0.18,"women_vitA","with_tanzania_pool","sierraleone","centered_own ridge_all",237
14,0,0.122,0.117,1.58,1.51,-0.45,0.73,"women_vitA","with_tanzania_pool","sierraleone","centered_own decorr20",237
97,0,0.161,0.082,4.54,4.29,1.49,0.98,"women_vitA","with_tanzania_pool","malawi","PROD enet30",237
97,0,-0.166,-0.259,4.52,4.38,-1.14,-3.83,"women_vitA","with_tanzania_pool","malawi","PROD ridge_all",237
97,0,0.094,0.07,4.35,4.33,-0.41,2.16,"women_vitA","with_tanzania_pool","malawi","centered_own enet30",237
97,0,-0.115,-0.202,4.42,4.4,-0.36,-1.33,"women_vitA","with_tanzania_pool","malawi","centered_own ridge_all",237
97,0,0.043,0.051,4.36,4.34,-0.44,2.03,"women_vitA","with_tanzania_pool","malawi","centered_own decorr20",237
30,0.358,0.09,0.477,5.23,4.82,-2.03,3.11,"women_vitA","four_country_pool","gambia","PROD enet30",366
30,0.358,NA,NA,5.51,4.83,-2.64,NA,"women_vitA","four_country_pool","gambia","PROD ridge_all",366
30,0.358,0.147,0.129,5.52,4.82,-2.69,7.66,"women_vitA","four_country_pool","gambia","centered_own enet30",366
30,0.358,NA,NA,5.54,4.83,-2.7,NA,"women_vitA","four_country_pool","gambia","centered_own ridge_all",366
30,0.358,NA,NA,5.54,4.83,-2.7,NA,"women_vitA","four_country_pool","gambia","centered_own decorr20",366
75,0,0.178,0.244,4.16,4.12,-0.61,10.26,"women_vitA","four_country_pool","ghana","PROD enet30",366
75,0,-0.028,0.235,5.42,5.42,0.01,-0.03,"women_vitA","four_country_pool","ghana","PROD ridge_all",366
75,0,0.213,0.222,4.17,4.11,-0.73,8.06,"women_vitA","four_country_pool","ghana","centered_own enet30",366
