"n_test","r_max","pearson","spearman","rmse_pp","pattern_rmse_pp","level_bias_pp","calib","outcome","scheme","held_out","n_train"
30,0.671,0.153,0.121,15.36,13.24,-7.78,18.35,"child_vitA","admin2","gambia",337
75,0.03,NA,NA,11.54,11.45,-1.42,NA,"child_vitA","admin2","ghana",292
14,0,-0.169,-0.081,5.64,5.64,0.15,-16.88,"child_vitA","admin2","sierraleone",353
86,0,-0.08,-0.06,12.79,11.06,6.42,-1.85,"child_vitA","admin2","malawi",281
162,0.748,0.01,0.011,21.85,15.45,-15.44,0.08,"child_vitA","admin2","tanzania",205
6,0.848,NA,NA,8.43,6.42,-5.47,NA,"child_vitA","admin1","gambia",74
16,0.66,NA,NA,6.81,6.81,0,NA,"child_vitA","admin1","ghana",64
27,0.388,-0.332,-0.404,11.39,6.95,9.02,-30.3,"child_vitA","admin1","malawi",53
31,0.887,0.015,0.067,15.68,8.29,-13.3,0.24,"child_vitA","admin1","tanzania",49
30,0.671,NA,NA,14.66,13.26,-6.26,NA,"child_vitA","mixed","gambia",88
16,0.66,NA,NA,6.85,6.81,-0.73,NA,"child_vitA","mixed","ghana",102
14,0,-0.121,0.029,5.98,5.63,2.01,-44.91,"child_vitA","mixed","sierraleone",104
27,0.388,-0.306,-0.373,9.18,6.96,6,-19.71,"child_vitA","mixed","malawi",91
31,0.887,-0.014,0.069,14.66,8.64,-11.84,-0.05,"child_vitA","mixed","tanzania",87
30,0.565,0.2,0.134,38.58,15.82,-35.18,3.67,"child_iron","admin2","gambia",175
75,0.672,0.285,0.218,22.62,18.41,-13.15,77.74,"child_iron","admin2","ghana",130
14,0,-0.084,0.081,7.76,5.37,5.61,-0.17,"child_iron","admin2","sierraleone",191
86,0,0.124,0.136,13.65,11.42,7.49,0.28,"child_iron","admin2","malawi",119
6,0.851,0.721,0.543,30.74,7.96,-29.69,8.01,"child_iron","admin1","gambia",43
16,0.909,-0.334,-0.234,31.01,30.77,-3.85,-0.2,"child_iron","admin1","ghana",33
27,0.483,0.122,0.15,16.88,8.96,14.3,0.19,"child_iron","admin1","malawi",22
30,0.565,0.301,0.265,37.54,15.77,-34.07,6.63,"child_iron","mixed","gambia",57
16,0.909,0.403,0.397,14.11,13.19,-5.03,2.03,"child_iron","mixed","ghana",71
14,0,0.062,0.073,16.09,4.92,15.32,0.15,"child_iron","mixed","sierraleone",73
27,0.483,0.061,0.153,16.79,10.03,13.47,0.07,"child_iron","mixed","malawi",60
30,0.712,-0.532,-0.742,36.02,16.18,-32.18,-44.77,"women_iron","admin2","gambia",175
75,0,-0.003,0.112,16.96,16.94,0.77,0,"women_iron","admin2","ghana",130
14,0.707,-0.07,0.015,8.16,7.67,-2.78,-0.14,"women_iron","admin2","sierraleone",191
86,0.202,-0.023,0.039,13.01,12.89,-1.75,-0.69,"women_iron","admin2","malawi",119
6,0.922,NA,NA,26.44,9.3,-24.76,NA,"women_iron","admin1","gambia",43
16,0.692,-0.15,-0.125,24.98,23.61,8.17,-0.04,"women_iron","admin1","ghana",33
27,0,0.236,0.327,8.81,8.21,3.21,0.14,"women_iron","admin1","malawi",22
30,0.712,-0.429,-0.493,33.5,16.08,-29.39,-923.77,"women_iron","mixed","gambia",57
16,0.692,-0.278,-0.455,42.16,40.03,13.24,-0.04,"women_iron","mixed","ghana",71
14,0.707,-0.105,-0.002,11.36,10,5.39,-0.1,"women_iron","mixed","sierraleone",73
27,0,-0.002,-0.108,9.52,4.7,8.28,-0.41,"women_iron","mixed","malawi",60
30,0.275,-0.265,-0.519,5.11,4.88,-1.5,-7.28,"women_vitA","admin2","gambia",338
75,0,-0.009,0.083,4.21,4.13,0.8,-1.98,"women_vitA","admin2","ghana",293
14,0,0.066,-0.007,1.68,1.52,0.7,12.16,"women_vitA","admin2","sierraleone",354
86,0,0.137,0.068,4.66,4.57,0.92,8.05,"women_vitA","admin2","malawi",282
163,0.769,-0.017,-0.013,10.84,8.51,-6.71,-1.13,"women_vitA","admin2","tanzania",205
6,0.573,NA,NA,1.56,1.53,-0.29,NA,"women_vitA","admin1","gambia",74
16,0,NA,NA,2.07,1.49,1.44,NA,"women_vitA","admin1","ghana",64
27,0,0.098,0.006,3.03,2.67,1.44,76.42,"women_vitA","admin1","malawi",53
31,0.792,0.03,0.12,6.79,3.35,-5.91,0.13,"women_vitA","admin1","tanzania",49
30,0.275,NA,NA,5.03,4.83,-1.42,NA,"women_vitA","mixed","gambia",88
16,0,NA,NA,1.68,1.49,0.76,NA,"women_vitA","mixed","ghana",102
14,0,NA,NA,1.72,1.52,0.79,NA,"women_vitA","mixed","sierraleone",104
27,0,0.004,0.039,2.69,2.67,0.38,4.87,"women_vitA","mixed","malawi",91
31,0.792,0.038,0.152,6.93,3.28,-6.1,0.48,"women_vitA","mixed","tanzania",87
