"route","rho","r","mae_pp","bias_pp","country","outcome","n_areas"
"indicator",0.575,0.482,9.15,-3.03,"gambia","child_vitA",30
"loc_scale",0.54,0.465,10.49,5.88,"gambia","child_vitA",30
"loc_scale_emp",0.541,0.464,10.56,6.24,"gambia","child_vitA",30
"mean_pooled_sd",0.575,0.492,10.06,5.6,"gambia","child_vitA",30
"indicator",0.369,0.281,3.21,-1.34,"gambia","women_vitA",30
"loc_scale",0.116,0.05,6.13,4.5,"gambia","women_vitA",30
"loc_scale_emp",0.127,0.065,3.48,-1.37,"gambia","women_vitA",30
"mean_pooled_sd",0.309,0.284,6.61,5.65,"gambia","women_vitA",30
"indicator",0.251,0.268,12.03,-0.94,"gambia","child_iron",30
"loc_scale",0.194,0.285,21.54,20.11,"gambia","child_iron",30
"loc_scale_emp",0.194,0.289,22.33,21.12,"gambia","child_iron",30
"mean_pooled_sd",0.169,0.276,21.21,19.73,"gambia","child_iron",30
"indicator",0.697,0.621,9.34,-2.38,"gambia","women_iron",30
"loc_scale",0.692,0.598,16.45,13.28,"gambia","women_iron",30
"loc_scale_emp",0.692,0.592,15.69,11.83,"gambia","women_iron",30
"mean_pooled_sd",0.692,0.595,16.39,13.15,"gambia","women_iron",30
"indicator",0.164,0.256,10.16,-4.73,"ghana","child_vitA",72
"loc_scale",0.36,0.371,9.6,5.42,"ghana","child_vitA",72
"loc_scale_emp",0.361,0.373,9.46,4.69,"ghana","child_vitA",72
"mean_pooled_sd",0.321,0.378,9.58,5.37,"ghana","child_vitA",72
"indicator",-0.065,-0.067,2.33,-0.7,"ghana","women_vitA",73
"loc_scale",0.008,0,4.03,1.83,"ghana","women_vitA",73
"loc_scale_emp",0.008,-0.02,2.38,-0.61,"ghana","women_vitA",73
"mean_pooled_sd",0.234,0.169,3.77,1.88,"ghana","women_vitA",73
"indicator",0.55,0.537,12.25,-3.88,"ghana","child_iron",72
"loc_scale",0.547,0.573,11.82,-2.21,"ghana","child_iron",72
"loc_scale_emp",0.547,0.574,11.74,-2.03,"ghana","child_iron",72
"mean_pooled_sd",0.537,0.548,11.81,-1.64,"ghana","child_iron",72
"indicator",0.429,0.413,5.78,-2.63,"ghana","women_iron",73
"loc_scale",0.441,0.461,6.04,2.07,"ghana","women_iron",73
"loc_scale_emp",0.441,0.454,6.25,2.8,"ghana","women_iron",73
"mean_pooled_sd",0.459,0.496,5.87,2.52,"ghana","women_iron",73
"indicator",0.056,0.248,22.33,2.59,"ghana","women_folate",61
"loc_scale",0.083,0.266,21.47,-3.43,"ghana","women_folate",61
"loc_scale_emp",0.084,0.273,21.04,-2.37,"ghana","women_folate",61
"mean_pooled_sd",0.079,0.224,21.59,-5.39,"ghana","women_folate",61
"indicator",0.221,0.226,8.98,-5.42,"ghana","women_b12",61
"loc_scale",0.269,0.312,8.75,-3.4,"ghana","women_b12",61
"loc_scale_emp",0.265,0.3,8.64,-3.77,"ghana","women_b12",61
"mean_pooled_sd",0.276,0.386,8.8,-3.46,"ghana","women_b12",61
"indicator",0.167,0.107,7.96,-3.97,"malawi","child_vitA",83
"loc_scale",-0.018,-0.03,15.12,12.86,"malawi","child_vitA",83
"loc_scale_emp",-0.017,-0.027,15.8,13.65,"malawi","child_vitA",83
"mean_pooled_sd",0.051,0.018,15.08,12.91,"malawi","child_vitA",83
"indicator",-0.049,-0.081,2.37,-0.82,"malawi","women_vitA",82
"loc_scale",0.194,0.174,3.59,1.15,"malawi","women_vitA",82
"loc_scale_emp",0.187,0.169,2.24,-0.81,"malawi","women_vitA",82
"mean_pooled_sd",0.166,0.163,3.64,1.09,"malawi","women_vitA",82
"indicator",0.069,0.106,9.15,-5.52,"malawi","child_iron",83
"loc_scale",0.23,0.28,10.92,7.38,"malawi","child_iron",83
"loc_scale_emp",0.23,0.274,11.09,7.63,"malawi","child_iron",83
"mean_pooled_sd",0.207,0.271,11.44,8.32,"malawi","child_iron",83
"indicator",0.138,0.09,8.61,-4.78,"malawi","women_iron",78
"loc_scale",0.109,0.113,10.18,3.34,"malawi","women_iron",78
"loc_scale_emp",0.108,0.118,10.47,3.82,"malawi","women_iron",78
"mean_pooled_sd",0.102,0.119,10.7,5.1,"malawi","women_iron",78
"indicator",0.363,0.346,15.49,-9.66,"malawi","women_folate",82
"loc_scale",0.396,0.431,14.65,-5.31,"malawi","women_folate",82
"loc_scale_emp",0.396,0.423,14.74,-4.64,"malawi","women_folate",82
"mean_pooled_sd",0.431,0.464,14.37,-4.33,"malawi","women_folate",82
"indicator",0.295,0.209,3.67,-1.85,"malawi","women_b12",82
"loc_scale",0.342,0.338,3.65,-1.14,"malawi","women_b12",82
"loc_scale_emp",0.355,0.327,3.3,-2.06,"malawi","women_b12",82
"mean_pooled_sd",0.354,0.348,3.76,-0.59,"malawi","women_b12",82
"indicator",-0.07,-0.052,20.47,0.58,"malawi","child_zinc",83
"loc_scale",-0.018,-0.038,20.46,0.7,"malawi","child_zinc",83
"loc_scale_emp",-0.018,-0.03,20.37,5.17,"malawi","child_zinc",83
"mean_pooled_sd",-0.029,-0.039,20.67,1.51,"malawi","child_zinc",83
"indicator",-0.052,-0.026,23.74,8.74,"malawi","women_zinc",81
"loc_scale",0.043,0.052,22.77,-0.21,"malawi","women_zinc",81
"loc_scale_emp",0.043,0.049,22.74,3.12,"malawi","women_zinc",81
"mean_pooled_sd",0.033,0.034,22.95,-0.29,"malawi","women_zinc",81
