"outcome","country","n_areas","mean_gamma_as_coded","mean_gamma_correct","pct_gamma_gt_95_as_coded","pct_gamma_gt_95_correct"
"child_iron","gambia",30,0.827,0.394,50,0
"child_iron","ghana",75,0.909,0.499,76,0
"child_iron","malawi",97,0.717,0.063,63,0
"child_iron","sierraleone",14,0.2,0.052,0,0
"child_vitA","gambia",30,0.835,0.519,57,0
"child_vitA","ghana",75,0.686,0.011,0,0
"child_vitA","malawi",97,0.695,0.018,0,0
"child_vitA","sierraleone",14,0.083,0.023,0,0
"child_vitA","tanzania",167,0.791,0.654,38,3
"child_zinc","malawi",97,0.838,0.5,66,0
"women_b12","ghana",75,0.862,0.151,83,0
"women_b12","malawi",97,0.843,0.017,0,0
"women_b12","sierraleone",14,0.759,0.216,0,0
"women_folate","ghana",75,0.872,0.411,69,0
"women_folate","malawi",97,0.825,0.436,66,0
"women_folate","sierraleone",14,0.688,0.618,14,0
"women_iron","gambia",30,0.91,0.549,70,0
"women_iron","ghana",75,0.661,0.009,0,0
"women_iron","malawi",97,0.569,0.005,0,0
"women_iron","sierraleone",14,0.091,0.034,0,0
"women_vitA","gambia",30,0.777,0.173,0,0
"women_vitA","ghana",75,0.86,0.026,0,0
"women_vitA","malawi",97,0.853,0.018,0,0
"women_vitA","sierraleone",14,0.593,0.169,0,0
"women_vitA","tanzania",168,0.857,0.668,52,6
"women_zinc","malawi",97,0.826,0.511,60,0
