"outcome","country","model","n","n_pred","reliability","r_max","pearson","pearson_sd","spearman","pearson_w","r_share","rmse_pp","mae_pp","calib","secs"
"women_folate","ghana","gam_decorr12",75,487,0.393,0.627,0.166,0.091,0.138,0.247,0.265,30.93,26.1,0.3,6.1
"women_folate","ghana","gam_decorr12_spatial",75,487,0.393,0.627,0.382,0.062,0.334,0.526,0.609,28.32,23.22,0.57,8.4
"women_folate","ghana","gam_decorr20_spatial",75,487,0.393,0.627,0.367,0.076,0.301,0.463,0.586,30.06,24.08,0.46,9.2
"women_folate","ghana","gam_curated",75,487,0.393,0.627,0.486,0.033,0.421,0.634,0.774,26.26,21.18,0.7,3.7
"women_folate","ghana","gam_curated_spatial",75,487,0.393,0.627,0.482,0.043,0.406,0.64,0.768,26.46,21.03,0.68,6.3
"women_folate","ghana","gam_d40s12_spatial",75,487,0.393,0.627,0.293,0.044,0.246,0.378,0.467,30.82,24.34,0.4,8
"women_folate","malawi","gam_spatial_only",97,487,0.36,0.6,0.276,0.101,0.272,0.341,0.46,20.16,15.79,0.7,6.3
"women_folate","malawi","gam_decorr12",97,487,0.36,0.6,0.1,0.082,0.083,0.124,0.166,22.73,17.51,0.18,6.9
"women_folate","malawi","gam_decorr12_spatial",97,487,0.36,0.6,0.258,0.097,0.257,0.314,0.43,21.91,16.77,0.38,10.6
"women_folate","malawi","gam_decorr20_spatial",97,487,0.36,0.6,0.31,0.03,0.27,0.336,0.517,22.26,16.87,0.39,11.2
"women_folate","malawi","gam_curated",97,487,0.36,0.6,0.271,0.041,0.302,0.272,0.452,21.73,16,0.41,4
"women_folate","malawi","gam_curated_spatial",97,487,0.36,0.6,0.367,0.063,0.362,0.346,0.612,20.69,15.29,0.51,6.2
"women_folate","malawi","gam_d40s12_spatial",97,487,0.36,0.6,0.424,0.061,0.396,0.462,0.707,19.84,14.91,0.6,9.3
"women_vitA","gambia","gam_spatial_only",30,237,0.076,0.275,0.123,0.054,0.056,0.319,0.446,4.83,3.84,0.55,1.8
"women_vitA","gambia","gam_decorr12",30,237,0.076,0.275,0.242,0.301,0.195,0.056,0.88,17.21,8.29,0.04,2.9
