"panel","surveys","countries","pct_with_samplesize","legacy_by_country_year","legacy_by_country_year_method","sd_country","sd_method","sd_resid","sd_sampling","r_max_report","r_max_standardised"
"Vitamin A / Preschool-age children",528,70,84,0.663,0.572,1.411,0.564,0.55,0.479,0.837,0.888
"Zinc / Preschool-age children",219,30,85,0.767,0.767,1.13,0.468,0.256,0.205,0.892,0.96
