"country","outcome","level","n_units","median_n","lambda_prev","r_max_prev","lambda_cont","r_max_cont"
"gambia","child_vitA","Admin1",6,158,0.719,0.848,0.857,0.926
"gambia","child_vitA","Admin2",30,22,0.451,0.671,0.572,0.756
"gambia","child_vitA","cluster",70,12,0,0,0.414,0.643
"gambia","women_vitA","Admin1",6,213.5,0.328,0.573,0.853,0.924
"gambia","women_vitA","Admin2",30,25.5,0.076,0.275,0.619,0.787
"gambia","women_vitA","cluster",70,19,0,0,0.606,0.779
"gambia","child_iron","Admin1",6,156.5,0.724,0.851,0.765,0.875
"gambia","child_iron","Admin2",30,22,0.319,0.565,0.396,0.629
"gambia","child_iron","cluster",70,12,0,0,0,0
"gambia","women_iron","Admin1",6,212.5,0.851,0.922,0.857,0.926
"gambia","women_iron","Admin2",30,25.5,0.507,0.712,0.62,0.788
"gambia","women_iron","cluster",70,19,0.462,0.679,0.38,0.616
"ghana","child_vitA","Admin1",16,63.5,0.436,0.66,0.8,0.894
"ghana","child_vitA","Admin2",75,14,0.001,0.03,0.538,0.734
"ghana","child_vitA","cluster",90,12,0,0,0.5,0.707
"ghana","women_vitA","Admin1",16,45,0,0,0.558,0.747
"ghana","women_vitA","Admin2",75,12,0,0,0.485,0.697
"ghana","women_vitA","cluster",90,10,0,0,0.438,0.662
"ghana","child_iron","Admin1",16,63.5,0.826,0.909,0.825,0.909
"ghana","child_iron","Admin2",75,14,0.451,0.672,0.646,0.803
"ghana","child_iron","cluster",90,12,0.355,0.596,0.574,0.758
"ghana","women_iron","Admin1",16,45,0.479,0.692,0.546,0.739
"ghana","women_iron","Admin2",75,12,0,0,0.326,0.571
"ghana","women_iron","cluster",90,10,0,0,0.293,0.541
"ghana","women_folate","Admin1",16,22.5,0.833,0.913,0.717,0.847
"ghana","women_folate","Admin2",75,6,0.393,0.627,0.301,0.548
"ghana","women_folate","cluster",90,5,0.334,0.578,0.263,0.513
"ghana","women_b12","Admin1",16,22.5,0.655,0.809,0.538,0.734
"ghana","women_b12","Admin2",75,6,0.135,0.367,0.445,0.667
"ghana","women_b12","cluster",90,5,0.103,0.321,0.279,0.528
"sierraleone","child_vitA","Admin2",14,36,0,0,0,0
"sierraleone","child_vitA","cluster",60,8,0,0,0.158,0.397
"sierraleone","women_vitA","Admin2",14,54,0,0,0.477,0.691
"sierraleone","women_vitA","cluster",60,13,0,0,0.36,0.6
"sierraleone","child_iron","Admin2",14,36,0,0,0.26,0.51
"sierraleone","child_iron","cluster",60,8,0,0,0.069,0.263
"sierraleone","women_iron","Admin2",14,54,0.5,0.707,0,0
"sierraleone","women_iron","cluster",60,13,0.25,0.5,0,0
"sierraleone","women_folate","Admin2",14,47,0.598,0.773,0.792,0.89
"sierraleone","women_folate","cluster",59,13,0.302,0.549,0.659,0.812
"sierraleone","women_b12","Admin2",14,47,0,0,0.813,0.902
"sierraleone","women_b12","cluster",59,13,0,0,0.601,0.775
"malawi","child_vitA","Admin1",27,37,0.15,0.388,0.096,0.309
"malawi","child_vitA","Admin2",87,12,0,0,0.116,0.34
"malawi","child_vitA","cluster",103,10,0,0,0.104,0.323
"malawi","women_vitA","Admin1",27,27,0,0,0.241,0.491
"malawi","women_vitA","Admin2",87,8,0,0,0.265,0.515
"malawi","women_vitA","cluster",103,8,0,0,0.289,0.537
"malawi","child_iron","Admin1",27,37,0.233,0.483,0.651,0.807
"malawi","child_iron","Admin2",87,12,0,0,0.312,0.558
"malawi","child_iron","cluster",103,10,0,0,0.244,0.494
"malawi","women_iron","Admin1",27,24,0,0,0.096,0.31
"malawi","women_iron","Admin2",87,8,0.038,0.194,0.061,0.246
"malawi","women_iron","cluster",103,7,0.006,0.077,0.015,0.123
"malawi","women_folate","Admin1",27,27,0.702,0.838,0.797,0.893
"malawi","women_folate","Admin2",87,8,0.331,0.575,0.723,0.85
"malawi","women_folate","cluster",103,8,0.288,0.537,0.685,0.828
"malawi","women_b12","Admin1",27,27,0.125,0.354,0.887,0.942
"malawi","women_b12","Admin2",87,9,0,0,0.827,0.91
"malawi","women_b12","cluster",103,8,0,0,0.812,0.901
"malawi","child_zinc","Admin1",27,37,0.443,0.666,0.455,0.674
"malawi","child_zinc","Admin2",87,11,0.453,0.673,0.78,0.883
"malawi","child_zinc","cluster",103,10,0.538,0.733,0.782,0.884
"malawi","women_zinc","Admin1",27,27,0.552,0.743,0.541,0.735
"malawi","women_zinc","Admin2",87,8,0.499,0.706,0.792,0.89
"malawi","women_zinc","cluster",103,8,0.501,0.708,0.802,0.896
