"panel","variable","imp","rel"
"Vitamin A / Preschool-age children","gdp_pc",0.0692555855835867,0.160256214342653
"Vitamin A / Preschool-age children","undernourish",0.0883616809789335,0.204467385082555
"Vitamin A / Preschool-age children","food_prod_idx",0.0230145426834982,0.0532552494388109
"Vitamin A / Preschool-age children","cereal_yield",0.0229828373401757,0.0531818838286224
"Vitamin A / Preschool-age children","ag_land_pct",0.0184481157785435,0.0426886174091494
"Vitamin A / Preschool-age children","urban_pct",0.0426987837155189,0.0988042390750715
"Vitamin A / Preschool-age children","electricity",0.126760458795765,0.293321485679005
"Vitamin A / Preschool-age children","water_basic",0.157562507706448,0.364596888389529
"Vitamin A / Preschool-age children","sanitation",0.0830391342488589,0.192151104995743
"Vitamin A / Preschool-age children","u5_mortality",0.432155382352334,1
"Vitamin A / Preschool-age children","life_exp",0.424778708283619,0.982930505160986
"Vitamin A / Preschool-age children","dtp3",0.0925233837512449,0.214097492544501
"Vitamin A / Preschool-age children","health_exp_pc",0.117113099817789,0.270997665655145
"Vitamin A / Preschool-age children","fertility",0.0975336163826217,0.225691083266674
"Vitamin A / Preschool-age children","female_school",0.101955547044584,0.235923353516074
"Vitamin A / Preschool-age children","pop_total",0.0767307739844438,0.177553669624056
"Vitamin A / Preschool-age children","rural_pop_pct",0.0440791153469069,0.101998302339711
"Vitamin A / Preschool-age children","year",0.0104074262004754,0.0240826022895402
"Vitamin A / Preschool-age children","adj_infl",-0.000505590233741015,-0.00116992696235543
"Vitamin A / Preschool-age children","adj_unadj",-0.00194365865537415,-0.00449759215029166
"Vitamin A / Preschool-age children","adj_unspec",-0.00590786719062711,-0.0136707014001979
"Vitamin A / Preschool-age children","bio_retinol",0.100660637316078,0.232926955041393
"Vitamin A / Preschool-age children","log_n",0.0492092006691973,0.113869230093442
"Zinc / Preschool-age children","gdp_pc",0.0131262178450044,0.136078294318975
"Zinc / Preschool-age children","undernourish",-0.0123369986434745,-0.127896531372778
"Zinc / Preschool-age children","food_prod_idx",0.0418937295814477,0.43430844523683
"Zinc / Preschool-age children","cereal_yield",-0.0137840409027254,-0.142897885515416
"Zinc / Preschool-age children","ag_land_pct",-0.00168900690577022,-0.0175097794005951
"Zinc / Preschool-age children","urban_pct",0.0181014203453853,0.18765576150241
"Zinc / Preschool-age children","electricity",0.0964607758400897,1
"Zinc / Preschool-age children","water_basic",0.0165551939295141,0.171626174321456
"Zinc / Preschool-age children","sanitation",0.0575225838632843,0.596331341545954
"Zinc / Preschool-age children","u5_mortality",0.0232943556991564,0.241490445170928
"Zinc / Preschool-age children","life_exp",0.00371532438368271,0.0385164265093812
"Zinc / Preschool-age children","dtp3",0.019932887883765,0.206642417191515
"Zinc / Preschool-age children","health_exp_pc",0.0114758584184801,0.118969169784664
"Zinc / Preschool-age children","fertility",0.00758246260192679,0.0786066930925043
"Zinc / Preschool-age children","female_school",0.015194330503635,0.157518228225987
"Zinc / Preschool-age children","pop_total",-0.00768271321914352,-0.0796459820298328
"Zinc / Preschool-age children","rural_pop_pct",0.0282364384208701,0.292724562652075
"Zinc / Preschool-age children","year",0.0091998741254922,0.095374249744202
"Zinc / Preschool-age children","adj_infl",0.000376002887423852,0.00389798738553772
"Zinc / Preschool-age children","adj_unadj",-0.00555492542040627,-0.0575874014284842
"Zinc / Preschool-age children","adj_unspec",-0.00217514472949759,-0.0225495255512302
"Zinc / Preschool-age children","bio_retinol",0,0
"Zinc / Preschool-age children","log_n",0.0212383030186147,0.220175535948654
"Folate / Non-pregnant women (NPW)","gdp_pc",0.230219767319613,0.642824106110588
"Folate / Non-pregnant women (NPW)","undernourish",-0.0129910538083683,-0.0362738727826326
"Folate / Non-pregnant women (NPW)","food_prod_idx",0.358138042943907,1
"Folate / Non-pregnant women (NPW)","cereal_yield",0.0828415505158295,0.231311786468896
"Folate / Non-pregnant women (NPW)","ag_land_pct",0.31052593475365,0.867056546691092
"Folate / Non-pregnant women (NPW)","urban_pct",0.0602612013438786,0.168262496909095
"Folate / Non-pregnant women (NPW)","electricity",0.073467253195843,0.20513669140519
"Folate / Non-pregnant women (NPW)","water_basic",0.0646183520451385,0.180428617730675
"Folate / Non-pregnant women (NPW)","sanitation",0.0347809834571024,0.0971161375965578
"Folate / Non-pregnant women (NPW)","u5_mortality",0.115436465296269,0.322323940644165
"Folate / Non-pregnant women (NPW)","life_exp",0.090764523291032,0.253434464948053
"Folate / Non-pregnant women (NPW)","dtp3",0.000490196752749509,0.00136873689463447
"Folate / Non-pregnant women (NPW)","health_exp_pc",0.270117476939427,0.754227265886225
"Folate / Non-pregnant women (NPW)","fertility",0.0848480312166435,0.236914320855695
"Folate / Non-pregnant women (NPW)","female_school",0.0339322860469295,0.0947463882027303
"Folate / Non-pregnant women (NPW)","pop_total",0.0487042775524721,0.13599302981644
"Folate / Non-pregnant women (NPW)","rural_pop_pct",0.0716758946638116,0.20013482531661
"Folate / Non-pregnant women (NPW)","year",0.279977144893367,0.781757622261922
"Folate / Non-pregnant women (NPW)","adj_infl",0,0
"Folate / Non-pregnant women (NPW)","adj_unadj",0,0
"Folate / Non-pregnant women (NPW)","adj_unspec",0,0
"Folate / Non-pregnant women (NPW)","bio_retinol",0,0
"Folate / Non-pregnant women (NPW)","log_n",-0.0109468381098703,-0.030565974002334
