"cell","natprev","n","strategy","pearson","spearman","mae"
"child_vitA",0.237740533829919,63,"S1b",0.126058085496751,0.0939286845029319,0.127777090969014
"child_vitA",0.237740533829919,63,"S2",0.197187635685118,0.139796911046554,0.136602111932601
"child_vitA",0.237740533829919,63,"S3",0.193675141525485,0.13832739328439,0.136864262750569
"child_iron",0.220360024829299,63,"S1b",0.502061787765099,0.50056527853571,0.124136756753866
"child_iron",0.220360024829299,63,"S2",0.51217668660211,0.452664639935736,0.11843553783004
"child_iron",0.220360024829299,63,"S3",0.512366139988546,0.451991675620232,0.118467219324159
"women_iron",0.122918056480059,62,"S1b",0.0222536205518492,0.151484241354019,0.0884192084167082
"women_iron",0.122918056480059,62,"S2",0.168588231858055,0.185315974776098,0.0863335739471729
"women_iron",0.122918056480059,62,"S3",0.173972233955623,0.187996216736293,0.0859302709170754
