"holdout","n","strategy","spearman","pearson","mae"
"gambia",30,"S1b",0.519021134593993,0.506334270816652,0.453706474308836
"gambia",30,"S2",0.532680369906852,0.537694051707729,0.512141630522262
"gambia",30,"S3",0.53891575885225,0.545602475538934,0.507105997448199
"ghana",63,"S1b",0.538948278959272,0.575868589882327,0.163126829479667
"ghana",63,"S2",0.522294635501892,0.548100407244191,0.139189266172066
"ghana",63,"S3",0.521568848121571,0.547444255666842,0.139495047659428
"sierraleone",14,"S1b",-0.221978021978022,-0.261454008183545,0.145933580315983
"sierraleone",14,"S2",-0.349450549450549,-0.3875311641159,0.171646603645543
"sierraleone",14,"S3",-0.340659340659341,-0.376491077831141,0.167542415737818
