"country","outcome","target","predictor","r","p_perm","q_bh"
"Malawi","women_b12","continuous","lst_night_m08_t0",-0.546,0.000499750124937531,0.0034
"Malawi","child_zinc","binary","dhs_c_excl_breastfed",0.369,0.000499750124937531,0.2944
"Malawi","child_zinc","binary","map_interventions202406africainsecticidetreatednetuserate",0.293,0.00549725137431284,0.8609
"Malawi","child_zinc","binary","dhs_hh_improved_water.x",-0.277,0.00949525237381309,0.8609
"Malawi","child_zinc","continuous","dhs_c_excl_breastfed",0.388,0.000499750124937531,0.2944
"Malawi","child_zinc","continuous","map_interventions202406africainsecticidetreatednetuserate",0.297,0.00749625187406297,0.932
"Malawi","child_zinc","continuous","map_malaria202206globalpfincidencerate",0.277,0.0124937531234383,0.932
"Malawi","women_zinc","binary","dhs_c_zinc_diarrhea.x",-0.35,0.00199900049975012,0.5887
"Malawi","women_zinc","binary","dhs_c_zinc_diarrhea.y",-0.35,0.00199900049975012,0.5887
"Malawi","women_zinc","binary","dhs_w_anc4plus.x",0.271,0.0144927536231884,1
"Malawi","women_zinc","continuous","dhs_c_fg_flesh",-0.307,0.0079960019990005,0.9737
"Malawi","women_zinc","continuous","lcover_water_seasonal_frac_t0",-0.289,0.0109945027486257,0.9737
"Malawi","women_zinc","continuous","dhs_c_early_initiation.x",0.282,0.0144927536231884,0.9737
