"country","outcome","target","predictor","r","p_perm","q_bh"
"Gambia","women_vitA","binary","soil_zinc_mean_20_50.x",-0.596,0.000499750124937531,0.0185
"Gambia","women_vitA","binary","tclim_vap_t0",-0.556,0.000499750124937531,0.0185
"Gambia","women_vitA","binary","tclim_vpd_t0",0.588,0.000499750124937531,0.0185
"Gambia","women_vitA","binary","precip_y2019",-0.627,0.000499750124937531,0.0185
"Gambia","women_vitA","binary","aef_A06.x",-0.592,0.000499750124937531,0.0185
"Gambia","women_vitA","binary","aef_A21.x",-0.597,0.000499750124937531,0.0185
"Gambia","women_vitA","binary","dhs_w_edu_years_mean.x",-0.562,0.000499750124937531,0.0185
"Gambia","women_vitA","binary","aef_A06.y",-0.592,0.000499750124937531,0.0185
"Gambia","women_vitA","continuous","ntl_ccnl",-0.676,0.000499750124937531,0.003
"Gambia","women_vitA","continuous","built_surface",-0.658,0.000499750124937531,0.003
"Gambia","women_vitA","continuous","ghs_pop",-0.641,0.000499750124937531,0.003
"Gambia","women_vitA","continuous","lst_night_m03_t0",0.699,0.000499750124937531,0.003
"Gambia","women_vitA","continuous","lst_night_m05_t0",0.655,0.000499750124937531,0.003
"Gambia","women_vitA","continuous","lst_night_m07_t0",0.741,0.000499750124937531,0.003
"Gambia","women_vitA","continuous","lst_night_m08_t0",0.595,0.000499750124937531,0.003
"Gambia","women_vitA","continuous","lst_night_annual_mean_t0",0.637,0.000499750124937531,0.003
"Gambia","women_vitA","continuous","popdens_y2010",-0.607,0.000499750124937531,0.003
"Gambia","women_vitA","continuous","popdens_y2015",-0.604,0.000499750124937531,0.003
"Gambia","child_iron","binary","npp_gpp_t0",-0.624,0.000499750124937531,0.0141
"Gambia","child_iron","binary","tclim_vpd_t0",0.596,0.000499750124937531,0.0141
"Gambia","child_iron","binary","aef_A30.x",-0.585,0.000499750124937531,0.0141
"Gambia","child_iron","binary","aef_A60.x",-0.622,0.000499750124937531,0.0141
"Gambia","child_iron","binary","dhs_w_no_education.x",0.641,0.000499750124937531,0.0141
"Gambia","child_iron","binary","dhs_w_primary_edu.x",-0.641,0.000499750124937531,0.0141
"Gambia","child_iron","binary","dhs_w_secondary_plus.x",-0.631,0.000499750124937531,0.0141
"Gambia","child_iron","binary","dhs_w_edu_years_mean.x",-0.635,0.000499750124937531,0.0141
"Gambia","child_iron","binary","dhs_w_literate.x",-0.608,0.000499750124937531,0.0141
