"group","n_pred","n_absz_gt2","n_absz_gt3","exp_gt2","exp_gt3","sd_metaz","n_fwer_05","n_perm_01"
"all",373,37,0,17,1,1.28378777112699,14,97
"child_iron",373,49,8,17,1,1.39810087961051,2,27
"child_vitA",373,61,14,17,1,1.46578587461712,4,32
"iron",373,54,10,17,1,1.38690050506464,4,35
"vitA",373,63,12,17,1,1.44981731795956,8,53
"women_b12",373,75,13,17,1,1.52986542274248,3,42
"women_folate",373,8,0,17,1,0.977975799501467,0,3
"women_iron",373,48,13,17,1,1.34105821154764,1,24
"women_vitA",373,59,3,17,1,1.38392934470518,0,28
