"unit","min_n","spatial","n_cells","pooled_Qz","p_global","n_cells_p05"
"admin2",0,"S0_none",23,3.21602099315262,0.000499750124937531,13
"admin2",0,"S1_latlon",23,0.786666422175681,0.000999500249875062,3
"admin2",0,"S2_mem",23,0.974065307551424,0.000499750124937531,4
"admin2",0,"S3_blockperm",23,0.823167618874332,0.000499750124937531,6
"admin2",15,"S0_none",18,2.17014432282205,0.000499750124937531,7
"admin2",15,"S1_latlon",18,0.595198542268112,0.0134932533733133,1
"admin2",15,"S2_mem",18,0.600210077243239,0.0144927536231884,3
"admin2",15,"S3_blockperm",18,0.438524352346855,0.0499750124937531,2
"admin1",0,"S0_none",14,1.42857103379789,0.000999500249875062,6
"admin1",0,"S1_latlon",14,0.844235356916583,0.0129935032483758,2
"admin1",0,"S2_mem",14,1.04722101960202,0.00449775112443778,4
"admin1",15,"S0_none",9,1.40714259977079,0.000999500249875062,4
"admin1",15,"S1_latlon",9,1.18792861544385,0.00249875062468766,3
"admin1",15,"S2_mem",8,1.12365831935623,0.00399800099950025,2
