"country","outcome","target","model","scheme","n_areas","oof_spearman"
"Gambia","child_vitA","binary","enet","random10",30,-0.0552400459076156
"Gambia","child_vitA","binary","enet","loro",30,-0.588869935860156
"Gambia","child_vitA","binary","hal","random5",30,0.461298931752709
"Gambia","child_vitA","continuous","enet","random10",30,0.5559510567297
"Gambia","child_vitA","continuous","enet","loro",30,0.52035595105673
"Gambia","women_vitA","binary","enet","random10",30,0.222225784702309
"Gambia","women_vitA","binary","enet","loro",30,0.173885223299273
"Gambia","women_vitA","binary","hal","random5",30,0.395172356323853
"Gambia","women_vitA","continuous","enet","random10",30,0.571078976640712
"Gambia","women_vitA","continuous","enet","loro",30,0.432703003337041
"Gambia","child_iron","binary","enet","random10",30,0.267630700778643
"Gambia","child_iron","binary","enet","loro",30,0.477641824249166
"Gambia","child_iron","binary","hal","random5",30,0.495439377085651
"Gambia","child_iron","continuous","enet","random10",30,0.0763750024604562
"Gambia","child_iron","continuous","enet","loro",30,0.314349276974416
"Gambia","women_iron","binary","enet","random10",30,0.726220941194235
"Gambia","women_iron","binary","enet","loro",30,0.504394262771854
"Gambia","women_iron","binary","hal","random5",30,0.718211151401651
"Gambia","women_iron","continuous","enet","random10",30,0.50166852057842
"Gambia","women_iron","continuous","enet","loro",30,0.600444938820912
"Ghana","child_vitA","binary","enet","random10",75,0.011547099871614
"Ghana","child_vitA","binary","enet","loro",75,0.0918846626721912
"Ghana","child_vitA","binary","hal","random5",75,0.188361219215628
"Ghana","child_vitA","continuous","enet","random10",71,0.0716805915315008
"Ghana","child_vitA","continuous","enet","loro",71,-0.0679057982711343
"Ghana","women_vitA","binary","enet","random10",75,-0.266335244546477
"Ghana","women_vitA","binary","enet","loro",75,-0.28132483538133
"Ghana","women_vitA","binary","hal","random5",75,-0.236276526828339
"Ghana","women_vitA","continuous","enet","random10",72,0.361534503826613
"Ghana","women_vitA","continuous","enet","loro",72,0.356132227152872
"Ghana","child_iron","binary","enet","random10",75,0.5529481998793
"Ghana","child_iron","binary","enet","loro",75,0.396904621746003
"Ghana","child_iron","binary","hal","random5",75,0.504921612794175
"Ghana","child_iron","continuous","enet","random10",71,0.532662642521797
"Ghana","child_iron","continuous","enet","loro",71,0.500167672702884
"Ghana","women_iron","binary","enet","random10",75,0.0794239072620983
"Ghana","women_iron","binary","enet","loro",75,-0.14681848847437
"Ghana","women_iron","binary","hal","random5",75,0.138305580676471
"Ghana","women_iron","continuous","enet","random10",72,0.231268891890154
"Ghana","women_iron","continuous","enet","loro",72,0.0881728728535597
"Ghana","women_folate","binary","enet","random10",75,0.18421338504495
"Ghana","women_folate","binary","enet","loro",75,-0.0134341572123823
"Ghana","women_folate","continuous","enet","random10",52,0.204048532443767
"Ghana","women_folate","continuous","enet","loro",52,0.0942542474173995
"Ghana","women_b12","binary","enet","random10",75,0.15564566475073
"Ghana","women_b12","binary","enet","loro",75,-0.317645344857412
"Ghana","women_b12","continuous","enet","random10",51,0.469230769230769
"Ghana","women_b12","continuous","enet","loro",51,0.29737556561086
"SierraLeone","child_vitA","binary","enet","random10",14,NA
"SierraLeone","child_vitA","binary","enet","loro",14,NA
"SierraLeone","child_vitA","binary","hal","random5",14,-0.23956043956044
"SierraLeone","child_vitA","continuous","enet","random10",14,NA
"SierraLeone","child_vitA","continuous","enet","loro",14,NA
"SierraLeone","women_vitA","binary","enet","random10",14,NA
"SierraLeone","women_vitA","binary","enet","loro",14,NA
"SierraLeone","women_vitA","binary","hal","random5",14,-0.629074889948557
"SierraLeone","women_vitA","continuous","enet","random10",14,NA
"SierraLeone","women_vitA","continuous","enet","loro",14,NA
"SierraLeone","child_iron","binary","enet","random10",14,NA
"SierraLeone","child_iron","binary","enet","loro",14,NA
"SierraLeone","child_iron","binary","hal","random5",14,-0.208791208791209
"SierraLeone","child_iron","continuous","enet","random10",14,NA
"SierraLeone","child_iron","continuous","enet","loro",14,NA
"SierraLeone","women_iron","binary","enet","random10",14,NA
"SierraLeone","women_iron","binary","enet","loro",14,NA
"SierraLeone","women_iron","binary","hal","random5",14,-0.0549450549450549
"SierraLeone","women_iron","continuous","enet","random10",14,NA
"SierraLeone","women_iron","continuous","enet","loro",14,NA
"SierraLeone","women_folate","binary","enet","random10",14,NA
"SierraLeone","women_folate","binary","enet","loro",14,NA
"SierraLeone","women_folate","continuous","enet","random10",14,NA
"SierraLeone","women_folate","continuous","enet","loro",14,NA
"Malawi","child_vitA","binary","enet","random10",87,-0.0566484761595851
"Malawi","child_vitA","binary","enet","loro",87,-0.232975630290081
"Malawi","child_vitA","binary","hal","random5",87,0.0140214832968798
"Malawi","child_vitA","continuous","enet","random10",83,-0.209894574913851
"Malawi","child_vitA","continuous","enet","loro",83,-0.460140429450325
"Malawi","women_vitA","binary","enet","random10",87,-0.323538455448739
"Malawi","women_vitA","binary","enet","loro",87,-0.428977328822289
"Malawi","women_vitA","binary","hal","random5",87,-0.0122795706912135
"Malawi","women_vitA","continuous","enet","random10",79,0.0940597799539984
"Malawi","women_vitA","continuous","enet","loro",79,0.237171372930867
"Malawi","child_iron","binary","enet","random10",87,0.280140720397178
"Malawi","child_iron","binary","enet","loro",87,0.239629437394142
"Malawi","child_iron","binary","hal","random5",87,0.261791170329166
"Malawi","child_iron","continuous","enet","random10",83,0.60079341757273
"Malawi","child_iron","continuous","enet","loro",83,0.477603794970824
"Malawi","women_iron","binary","enet","random10",87,-0.184359434405609
"Malawi","women_iron","binary","enet","loro",87,-0.224293853806107
"Malawi","women_iron","binary","hal","random5",87,-0.0929378934925595
"Malawi","women_iron","continuous","enet","random10",75,0.404694167852063
"Malawi","women_iron","continuous","enet","loro",75,0.339743954480797
"Malawi","women_folate","binary","enet","random10",87,0.0781912664372449
"Malawi","women_folate","binary","enet","loro",87,-0.179333390909007
"Malawi","women_folate","continuous","enet","random10",80,0.301734646038444
"Malawi","women_folate","continuous","enet","loro",80,0.170112517580872
"Malawi","women_b12","binary","enet","random10",87,0.180632835427716
"Malawi","women_b12","binary","enet","loro",87,0.164318885185365
"Malawi","women_b12","continuous","enet","random10",80,0.71615096108767
"Malawi","women_b12","continuous","enet","loro",80,0.713244256915143
"Malawi","child_zinc","binary","enet","random10",87,-0.0681862962913021
"Malawi","child_zinc","binary","enet","loro",87,0.101605304857901
"Malawi","child_zinc","continuous","enet","random10",83,0.214306704168591
"Malawi","child_zinc","continuous","enet","loro",83,0.226419054718782
"Malawi","women_zinc","binary","enet","random10",87,-0.0826383797966269
"Malawi","women_zinc","binary","enet","loro",87,-0.340983711926453
"Malawi","women_zinc","continuous","enet","random10",79,-0.318203002774544
"Malawi","women_zinc","continuous","enet","loro",79,-0.573836817621897
