"unit","min_n","spatial","country","outcome","n_areas","p_used","n_basis","Q_obs","Q_null_mean","Q_ratio","Q_z","p_perm_Q","Tmax_obs","p_perm_Tmax","q_bh_Q","q_bh_Tmax"
"admin2",0,"S0_none","Malawi","child_vitA",87,369,0,0.0202983474071627,0.0118728866190344,1.70963878107121,2.16752662202401,0.0389805097451274,0.338289679533685,0.261869065467266,0.0689655172413793,0.394185260311021
"admin2",0,"S0_none","Malawi","child_zinc",87,369,0,0.0107985859387291,0.0117109721259901,0.922091336445406,-0.238554483572078,0.521239380309845,0.289358505318618,0.656671664167916,0.630973986690865,0.686520376175549
"admin2",0,"S0_none","Gambia","child_vitA",30,371,0,0.131279750176317,0.0340762732547544,3.85252663032921,6.85169818961325,0.000499750124937531,0.713937265675258,0.00399800099950025,0.0028735632183908,0.0229885057471264
"admin2",0,"S0_none","Malawi","women_folate",87,369,0,0.0366746745619428,0.0115531357827844,3.17443465146428,6.97211154112798,0.000499750124937531,0.429554149321276,0.00849575212393803,0.0028735632183908,0.0301724137931034
"admin2",0,"S0_none","Malawi","women_b12",87,369,0,0.0252882996937862,0.0115118265959058,2.19672347243139,3.76241118303811,0.00649675162418791,0.386118076053446,0.0584707646176912,0.0204342273307791,0.112068965517241
"admin2",0,"S0_none","Malawi","child_iron",87,369,0,0.0226632058850193,0.0116368292164252,1.94754133308329,2.92593884576668,0.0164917541229385,0.427352141225684,0.0104947526236882,0.0316091954022989,0.0301724137931034
"admin2",0,"S0_none","Malawi","women_iron",87,369,0,0.0164142846454135,0.0116080880651932,1.41403860422387,1.30711237809819,0.103448275862069,0.321387890664015,0.36431784107946,0.169950738916256,0.46551724137931
"admin2",0,"S0_none","Gambia","child_iron",30,371,0,0.110507028840335,0.0347326337503364,3.18164840693271,5.1191207299454,0.00199900049975012,0.685856717638466,0.00649675162418791,0.00766283524904215,0.0298850574712644
"admin2",0,"S0_none","Malawi","women_vitA",87,369,0,0.0102866275248674,0.0115961164084107,0.887075220925381,-0.364406588477357,0.567716141929036,0.317111611928944,0.389305347326337,0.652873563218391,0.471264367816092
"admin2",0,"S0_none","Malawi","women_zinc",87,369,0,0.00751729063142261,0.0116337918974747,0.646159970684569,-1.16111626777989,0.907546226886557,0.340550483874581,0.229385307346327,0.907546226886557,0.394185260311021
"admin2",0,"S0_none","Gambia","women_iron",30,371,0,0.175032994438077,0.0340121957817724,5.14618331498254,9.96356917298393,0.000499750124937531,0.789017230660114,0.000499750124937531,0.0028735632183908,0.00574712643678161
"admin2",0,"S0_none","Gambia","women_vitA",30,371,0,0.0930145174429667,0.0344426327606298,2.70056351642458,3.95904054345616,0.0079960019990005,0.631350085787624,0.0444777611194403,0.0204342273307791,0.0929989550679206
"admin2",0,"S0_none","Ghana","women_iron",75,360,0,0.0361702591239953,0.0135046556748002,2.67835478334256,3.71762944373555,0.00899550224887556,0.456833010706404,0.00999500249875063,0.0206896551724138,0.0301724137931034
"admin2",0,"S0_none","Ghana","women_vitA",75,360,0,0.0180884635057437,0.0136156757711449,1.32850280880496,0.797417552625745,0.187406296851574,0.279786025745499,0.831584207896052,0.269396551724138,0.831584207896052
"admin2",0,"S0_none","Ghana","women_folate",75,360,0,0.0347481709666544,0.013560913949469,2.56237677608854,3.47166228308914,0.00999500249875063,0.479462436462006,0.00349825087456272,0.0208986415882968,0.0229885057471264
"admin2",0,"S0_none","Ghana","women_b12",75,360,0,0.0348503172671846,0.0135037591969168,2.58078633949143,3.64765817283541,0.0079960019990005,0.432352739461755,0.0284857571214393,0.0204342273307791,0.0655172413793103
