"group","predictor","meta_z","mu","tau2","k_countries","sign_agree","p_perm","p_fwer","domain","q_bh_perm"
"child_iron","dhs_w_unmet_fp",1.44513536762242,0.722567683811211,0,4,3,0.104947526236882,1,"Fertility, reproductive health",0.281621779038538
"child_iron","dhs_w_watches_tv",-0.996597756882655,-0.530324187584767,0.132669096085267,4,2,0.267866066966517,1,"Fertility, reproductive health",0.44787119714479
"child_iron","dhs_WS_TLET_H_IMP",-0.815401540278106,-0.600259983548961,1.16768274371874,4,2,0.374812593703148,1,"Water and sanitation",0.54611366191904
"child_iron","elevation",0.954386202799432,0.966069966788139,3.09853689252858,4,2,0.294852573713143,1,"Built environment",0.472017210278981
"child_iron","evi_t0",0.243372154739626,0.175694866470285,1.08466541495887,4,2,0.780609695152424,1,"Ecosystem productivity/greenness",0.897620420558951
"child_iron","ghs_pop",-1.54399622830303,-0.778186581185175,0.0160965961374549,4,3,0.0889555222388806,1,"Ruralness, population density, built environment",0.252279875100044
"child_iron","grassland_frac",0.996093361738805,0.952209643572391,2.65531703723817,4,2,0.270364817591204,1,"Ecosystem productivity/greenness",0.44787119714479
"child_iron","human_modification",-0.6707612054885,-0.356462178969008,0.129668537134613,4,2,0.473263368315842,1,"Ruralness, population density, built environment",0.644259986794924
"child_iron","lai_t0",-1.04351280304518,-1.0009098109073,2.68005508972192,4,2,0.247376311844078,1,"Ecosystem productivity/greenness",0.428045236640939
"child_iron","lcover_bare_frac_t0",-0.114311150042754,-0.057155575021377,0,4,1,0.900049975012494,1,"Built environment",0.949410887776451
"child_iron","lcover_crops_frac_t0",1.0907381909624,0.942648053406287,1.98757008365072,4,2,0.228885557221389,1,"Built environment",0.412057129330072
"child_iron","lcover_shrub_frac_t0",-0.4544043714729,-0.22720218573645,0,4,2,0.621189405297351,1,"Built environment",0.780031125376909
"child_iron","lcover_tree_frac_t0",-1.38975638090568,-0.887875842601059,0.632627537753931,4,3,0.11544227886057,1,"Built environment",0.294931301472551
"child_iron","lcover_urban_frac_t0",-1.19212982673271,-0.596064913366355,0,4,3,0.199900049975012,1,"Built environment",0.390020374428171
"child_iron","lcover_water_permanent_frac_t0",0.161209988346585,0.0830273902254725,0.0610085224477738,4,2,0.847576211894053,1,"Built environment",0.931493673453129
"child_iron","lcover_water_seasonal_frac_t0",0.378730285881754,0.217593935269018,0.320363448286908,4,2,0.71264367816092,1,"Built environment",0.849252689948955
"child_iron","lst_night_annual_max_t0",1.490774595711,0.875700827660092,0.380217549011541,4,3,0.0924537731134433,1,"Climate and weather",0.255446350898625
"child_iron","lst_night_annual_mean_t0",1.06998459021352,0.636404072054463,0.415046934488776,4,3,0.230884557721139,1,"Climate and weather",0.412057129330072
