"group","n_pred","n_absz_gt2","n_absz_gt3","exp_gt2","exp_gt3","sd_metaz","n_fwer_05","n_perm_01"
"all",373,35,0,17,1,1.28280278616445,7,87
"child_iron",373,58,9,17,1,1.46061226058065,1,31
"child_vitA",373,66,14,17,1,1.55863228064208,2,46
"iron",373,49,8,17,1,1.35326695623199,2,21
"vitA",373,77,10,17,1,1.53068944627996,1,66
"women_folate",373,13,3,17,1,1.0544027588913,0,6
"women_iron",373,43,1,17,1,1.22315770420813,0,21
"women_vitA",373,74,15,17,1,1.53632290763118,4,43
