"group","predictor","meta_z","mu","tau2","k_countries","sign_agree","p_perm","p_fwer","domain","q_bh_perm"
"women_b12","dhs_CN_BRFS_C_EXB",5.73576743951918,3.31154687521549,0,3,3,0.000499750124937531,0.00199900049975012,"Adult nutrition",0.0372813593203398
"all","lst_night_m05_t0",2.73708792023058,1.62623336459895,0.412043998962698,4,4,0.000499750124937531,0.00199900049975012,"Climate and weather",0.00776694985840413
"women_iron","lst_night_m04_t0",4.98564005035058,2.49282002517529,0,4,4,0.000499750124937531,0.00299850074962519,"Climate and weather",0.0266295423716713
"vitA","lst_night_m07_t0",3.70564605570692,1.85282302785346,0,4,4,0.000499750124937531,0.00299850074962519,"Climate and weather",0.0186406796601699
"vitA","lst_night_m05_t0",3.6869524887261,2.58213426905231,0.961925680883149,4,4,0.000499750124937531,0.00349825087456272,"Climate and weather",0.0186406796601699
"child_vitA","dhs_c_fg_legumes",4.87025627568833,2.43512813784417,0,4,4,0.000499750124937531,0.00399800099950025,"Dietary diversity",0.0310677994336165
"vitA","lst_night_annual_mean_t0",3.66675802678814,1.83337901339407,0,4,4,0.000499750124937531,0.00399800099950025,"Climate and weather",0.0186406796601699
"all","lst_night_m04_t0",2.69623627940833,1.34811813970417,0,4,4,0.000499750124937531,0.00399800099950025,"Climate and weather",0.00776694985840413
"all","lst_night_m08_t0",2.67523854616005,1.57705152579446,0.390038184462201,4,4,0.000499750124937531,0.00399800099950025,"Climate and weather",0.00776694985840413
"women_b12","spam_prod_vegetables",5.24116377992378,3.02598731920591,0,3,3,0.000499750124937531,0.00499750124937531,"Agricultural production, land use",0.0372813593203398
"iron","dhs_hh_cattle",3.79394493773936,2.19043513109444,0,3,3,0.000499750124937531,0.00649675162418791,"Agricultural production, land use",0.0266295423716713
"iron","lst_night_m04_t0",3.78210201779144,1.89105100889572,0,4,4,0.000499750124937531,0.00749625187406297,"Climate and weather",0.0266295423716713
"women_b12","soilgrids_organic_carbon",-5.06824507050795,-2.93268774665951,0.00447166582819659,3,3,0.000499750124937531,0.00899550224887556,"Soil characteristics",0.0372813593203398
"all","soil_aluminium_stdev_20_50",2.54972416328347,1.46277195821991,0.316518130172207,4,4,0.000499750124937531,0.00899550224887556,"Soil characteristics",0.00776694985840413
"vitA","lst_night_m04_t0",3.52226204170923,1.81993805343816,0.067898257613706,4,4,0.000499750124937531,0.00949525237381309,"Climate and weather",0.0186406796601699
"vitA","lst_night_m08_t0",3.49297766382028,1.97530718646668,0.279197676339179,4,4,0.000499750124937531,0.0109945027486257,"Climate and weather",0.0186406796601699
"child_vitA","lst_night_annual_mean_t0",4.40440161797311,2.27295440994467,0.0652894207354506,4,4,0.000499750124937531,0.0119940029985007,"Climate and weather",0.0310677994336165
"child_iron","dhs_hh_cattle",4.40128599996025,2.54108365685758,0,3,3,0.000499750124937531,0.0124937531234383,"Agricultural production, land use",0.0266295423716713
"iron","soil_aluminium_stdev_0_20",3.64951043173243,1.91377906959373,0.0999536207665755,4,4,0.000499750124937531,0.0124937531234383,"Soil characteristics",0.0266295423716713
"vitA","lst_night_m03_t0",3.39613516786339,1.6980675839317,0,4,4,0.000499750124937531,0.0139930034982509,"Climate and weather",0.0186406796601699
"all","lst_night_m03_t0",2.47691472641763,1.23845736320881,0,4,4,0.000499750124937531,0.0154922538730635,"Climate and weather",0.00776694985840413
"all","soil_aluminium_stdev_0_20",2.46578528582066,1.51862338696567,0.517223796067189,4,4,0.000499750124937531,0.015992003998001,"Soil characteristics",0.00776694985840413
"all","aef_A03",2.45753269328228,1.22876634664114,0,4,4,0.000499750124937531,0.0164917541229385,"Agricultural production, land use",0.00776694985840413
"all","dhs_w_edu_years_mean",-2.44318240889422,-1.22159120444711,0,4,4,0.000499750124937531,0.0179910044977511,"Education, employment, SES",0.00776694985840413
"child_iron","spam_share_cereals",4.26874645479788,2.13437322739894,0,4,4,0.000499750124937531,0.0199900049975013,"Agricultural production, land use",0.0266295423716713
"all","lst_night_m06_t0",2.41580647533388,1.20790323766694,0,4,4,0.000999500249875062,0.0214892553723138,"Climate and weather",0.0100760430595513
"all","tclim_tmmx_t0",2.40367694784973,1.38594000755068,0.32983162768341,4,3,0.000499750124937531,0.0229885057471264,"Climate and weather",0.00776694985840413
"vitA","lst_night_m06_t0",3.34182160059861,1.67091080029931,0,4,4,0.000999500249875062,0.023488255872064,"Climate and weather",0.0207118662890777
"iron","soil_aluminium_stdev_20_50",3.48254015778908,1.74127007889454,0,4,4,0.000499750124937531,0.0249875062468766,"Soil characteristics",0.0266295423716713
"all","lst_night_m07_t0",2.38692100059298,1.19346050029649,0,4,4,0.000499750124937531,0.0264867566216892,"Climate and weather",0.00776694985840413
"child_vitA","lst_night_m03_t0",3.97983478168762,1.98991739084381,0,4,4,0.000499750124937531,0.0294852573713143,"Climate and weather",0.0310677994336165
"vitA","precip_y2011",-3.27543673531125,-1.63771836765562,0,4,4,0.000499750124937531,0.0304847576211894,"Climate and weather",0.0186406796601699
"child_vitA","lst_night_m06_t0",3.88142612545373,2.29776950004053,0.401813579609859,4,4,0.00149925037481259,0.0354822588705647,"Climate and weather",0.0430169530619306
"all","aef_A15",2.34445439016039,1.22535937220725,0.0927061025674984,4,3,0.000999500249875062,0.0369815092453773,"Agricultural production, land use",0.0100760430595513
