"group","predictor","meta_z","mu","tau2","k_countries","sign_agree","p_perm","p_fwer","q_bh_perm"
"vitA","Climate and weather",3.06522592402961,1.53261296201481,0,4,4,0.000499750124937531,0.00199900049975012,0.00899550224887556
"all","Soil characteristics",-2.19964070724637,-1.41300485366629,0.650607454249478,4,3,0.000499750124937531,0.00299850074962519,0.00299850074962519
"all","Water and sanitation",-2.19322355993802,-1.09661177996901,0,4,4,0.000499750124937531,0.00349825087456272,0.00299850074962519
"all","Education, employment, SES",-2.16603763134733,-1.08301881567367,0,4,4,0.000499750124937531,0.00399800099950025,0.00299850074962519
"iron","Soil characteristics",-2.94658981536682,-1.47329490768341,0,4,4,0.000999500249875062,0.0119940029985007,0.0179910044977511
"all","Climate and weather",1.96821917789923,0.984109588949613,0,4,4,0.00149925037481259,0.0164917541229385,0.00674662668665667
"women_iron","Soil characteristics",-3.13730339212079,-1.5686516960604,0,4,4,0.00299850074962519,0.0174912543728136,0.0269865067466267
"women_vitA","Soil characteristics",-3.21157188222077,-1.60578594111039,0,4,4,0.000999500249875062,0.0174912543728136,0.0179910044977511
"all","Adult nutrition",1.9375218932433,1.0994332151973,0.287966185034686,4,3,0.00199900049975012,0.0199900049975013,0.00719640179910045
"women_vitA","Adult nutrition",3.00687049303422,1.52755260412548,0.0323403312108837,4,3,0.00199900049975012,0.0239880059970015,0.0179910044977511
"child_vitA","Climate and weather",2.98196175028102,1.49098087514051,0,4,4,0.00249875062468766,0.0249875062468766,0.0314842578710645
"women_iron","Climate and weather",3.02176013905435,1.51088006952718,0,4,4,0.00149925037481259,0.0249875062468766,0.0269865067466267
"all","Fertility, reproductive health",-1.83168622146486,-1.28304781549965,0.962652977276603,4,3,0.00349825087456272,0.0389805097451274,0.0104947526236882
"child_vitA","Agricultural production, land use",2.83528321695859,1.41764160847929,0,4,4,0.00349825087456272,0.0424787606196902,0.0314842578710645
"women_vitA","Climate and weather",2.60966595482401,1.57424504888911,0.45557579071312,4,3,0.00749625187406297,0.0784607696151924,0.0449775112443778
"vitA","Agricultural production, land use",2.37794987279419,1.1889749363971,0,4,3,0.00699650174912544,0.0794602698650675,0.0359820089955022
"women_b12","Household assets and characteristics",-2.58190295865282,-1.4906623681997,0,3,3,0.00649675162418791,0.0829585207396302,0.0292353823088456
"women_b12","Agricultural production, land use",2.57983358687985,1.63604055051522,0.206496307875754,3,3,0.00599700149925037,0.0844577711144428,0.0292353823088456
"women_b12","Soil characteristics",-2.57568295179164,-1.48707124556403,0,3,3,0.00599700149925037,0.0849575212393803,0.0292353823088456
"women_b12","Education, employment, SES",-2.56510400652231,-2.15953891288452,1.12634321033406,3,3,0.00399800099950025,0.0864567716141929,0.0292353823088456
"vitA","Education, employment, SES",-2.34502100068265,-1.54732517424716,0.741524952205108,4,3,0.00749625187406297,0.0869565217391304,0.0359820089955022
"iron","Climate and weather",2.45913440732112,1.22956720366056,0,4,4,0.00349825087456272,0.0889555222388806,0.0314842578710645
"all","Household assets and characteristics",-1.6790706690569,-1.04374225839229,0.545640808057577,4,3,0.00449775112443778,0.0934532733633183,0.0115656457485543
