"country","outcome","domain","n","r_partial","p_perm"
"Ghana","child_iron","Built environment",16,-0.198179751435543,0.454772613693153
"Ghana","child_iron","Climate and weather",16,0.0052745653818778,0.983508245877061
"Ghana","child_iron","Dietary diversity",16,0.0108212070399797,0.968515742128936
"Ghana","child_iron","Ecosystem productivity/greenness",16,-0.0656487638578931,0.788105947026487
"Ghana","child_iron","Education, employment, SES",16,0.144890671508644,0.59720139930035
"Ghana","child_iron","Fertility, reproductive health",16,0.323711871876322,0.229885057471264
"Ghana","child_iron","Food fortification and supplementation",16,0.14140433661328,0.595702148925537
"Ghana","child_iron","Healthcare access",16,-0.00665902764410835,0.985007496251874
"Ghana","child_iron","Household assets and characteristics",16,0.266360390941328,0.31584207896052
"Ghana","child_iron","Infant and child morbidity/mortality",16,0.0997529909252757,0.72263868065967
"Ghana","child_iron","Malaria",16,-0.113325661800131,0.67416291854073
"Ghana","child_iron","Malaria incidence and treatment",16,-0.347411436476982,0.178410794602699
"Ghana","child_iron","Ruralness, population density, built environment",16,0.29522681619839,0.27336331834083
"Ghana","child_iron","Soil characteristics",16,-0.284363626088284,0.286356821589205
"Ghana","child_iron","Water and sanitation",16,0.245906471093325,0.361819090454773
"Ghana","child_vitA","Adult nutrition",16,0.128769468725075,0.664167916041979
"Ghana","child_vitA","Agricultural production, land use",16,0.144189972520805,0.609695152423788
"Ghana","child_vitA","Built environment",16,-0.173790015492636,0.498750624687656
"Ghana","child_vitA","Climate and weather",16,0.1572937143244,0.531734132933533
"Ghana","child_vitA","Dietary diversity",16,0.00499063641054134,0.984507746126936
"Ghana","child_vitA","Ecosystem productivity/greenness",16,-0.220820960296845,0.390304847576212
"Ghana","child_vitA","Education, employment, SES",16,-0.108357698345811,0.72063968015992
"Ghana","child_vitA","Fertility, reproductive health",16,-0.113655988671196,0.68615692153923
"Ghana","child_vitA","Food fortification and supplementation",16,-0.0029125496584451,0.990004997501249
"Ghana","child_vitA","Healthcare access",16,0.365970134005012,0.178410794602699
"Ghana","child_vitA","Household assets and characteristics",16,-0.009917412536893,0.96151924037981
"Ghana","child_vitA","Infant and child morbidity/mortality",16,0.121497778223814,0.644177911044478
"Ghana","child_vitA","Malaria",16,-0.300061220652954,0.28135932033983
"Ghana","child_vitA","Malaria incidence and treatment",16,-0.268600752711238,0.291354322838581
"Ghana","child_vitA","Ruralness, population density, built environment",16,0.013658115508248,0.969015492253873
"Ghana","child_vitA","Soil characteristics",16,-0.12026127629584,0.602198900549725
"Ghana","child_vitA","Water and sanitation",16,-0.130456945137907,0.608195902048976
"Malawi","child_vitA","Adult and maternal mortality",27,-0.0908890076189509,0.649175412293853
"Malawi","child_vitA","Adult nutrition",27,0.485191001006877,0.00749625187406297
"Malawi","child_vitA","Agricultural production, land use",27,0.316797015155271,0.095952023988006
"Malawi","child_vitA","Built environment",27,-0.196488031931697,0.31984007996002
"Malawi","child_vitA","Climate and weather",27,0.0723157043671092,0.711144427786107
"Malawi","child_vitA","Dietary diversity",27,-0.422024512207332,0.0304847576211894
"Malawi","child_vitA","Ecosystem productivity/greenness",27,-0.403178899881578,0.0414792603698151
"Malawi","child_vitA","Education, employment, SES",27,-0.347391987348717,0.0814592703648176
"Malawi","child_vitA","Fertility, reproductive health",27,-0.389101648151264,0.0474762618690655
"Malawi","child_vitA","Food fortification and supplementation",27,-0.287928041853226,0.134932533733133
"Malawi","child_vitA","Healthcare access",27,0.416937915720519,0.023488255872064
"Malawi","child_vitA","Household assets and characteristics",27,-0.448955583159134,0.015992003998001
"Malawi","child_vitA","Infant and child morbidity/mortality",27,0.117475057117525,0.560219890054973
"Malawi","child_vitA","Malaria",27,-0.226966585409301,0.276361819090455
"Malawi","child_vitA","Malaria incidence and treatment",27,0.169843637792118,0.379810094952524
"Malawi","child_vitA","Ruralness, population density, built environment",27,0.13001523245235,0.498250874562719
"Malawi","child_vitA","Soil characteristics",27,-0.400131046876957,0.0444777611194403
"Malawi","child_vitA","Water and sanitation",27,-0.0651442897608134,0.741129435282359
"Malawi","child_zinc","Adult and maternal mortality",27,0.33994477540531,0.0779610194902549
"Malawi","child_zinc","Adult nutrition",27,-0.233446271470368,0.228385807096452
"Malawi","child_zinc","Agricultural production, land use",27,-0.123459339906291,0.546726636681659
"Malawi","child_zinc","Built environment",27,-0.244063393080949,0.208395802098951
"Malawi","child_zinc","Climate and weather",27,-0.368583667156667,0.0569715142428786
"Malawi","child_zinc","Dietary diversity",27,0.323623410517133,0.104447776111944
"Malawi","child_zinc","Ecosystem productivity/greenness",27,-0.131463726569169,0.529735132433783
"Malawi","child_zinc","Education, employment, SES",27,0.161995881204332,0.422788605697151
"Malawi","child_zinc","Fertility, reproductive health",27,0.225368838772545,0.263868065967017
"Malawi","child_zinc","Food fortification and supplementation",27,0.134719661699699,0.48575712143928
"Malawi","child_zinc","Healthcare access",27,-0.0493035432156102,0.819590204897551
"Malawi","child_zinc","Household assets and characteristics",27,0.0590872089574067,0.770614692653673
"Malawi","child_zinc","Infant and child morbidity/mortality",27,0.0196071043723451,0.915542228885557
"Malawi","child_zinc","Malaria",27,0.105166629085925,0.610194902548726
"Malawi","child_zinc","Malaria incidence and treatment",27,0.113636273825445,0.580709645177411
"Malawi","child_zinc","Ruralness, population density, built environment",27,0.185209223816603,0.355822088955522
"Malawi","child_zinc","Soil characteristics",27,0.0876068729681929,0.668665667166417
"Malawi","child_zinc","Water and sanitation",27,0.00705967944541475,0.975512243878061
"Malawi","women_folate","Adult and maternal mortality",27,-0.116264808780972,0.551224387806097
"Malawi","women_folate","Adult nutrition",27,0.263199232473021,0.185907046476762
"Malawi","women_folate","Agricultural production, land use",27,0.0176117450156337,0.930034982508746
"Malawi","women_folate","Built environment",27,0.149792131754613,0.43528235882059
"Malawi","women_folate","Climate and weather",27,0.609601399390291,0.00199900049975012
"Malawi","women_folate","Dietary diversity",27,0.0362762242944593,0.855072463768116
"Malawi","women_folate","Ecosystem productivity/greenness",27,0.24230497209488,0.231384307846077
"Malawi","women_folate","Education, employment, SES",27,-0.0519180847067463,0.797101449275362
"Malawi","women_folate","Fertility, reproductive health",27,-0.227021170895943,0.241379310344828
"Malawi","women_folate","Food fortification and supplementation",27,0.128945779455797,0.51824087956022
"Malawi","women_folate","Healthcare access",27,-0.0769371509661231,0.707146426786607
"Malawi","women_folate","Household assets and characteristics",27,0.0523858072361927,0.797101449275362
"Malawi","women_folate","Infant and child morbidity/mortality",27,0.0372763956698547,0.851574212893553
"Malawi","women_folate","Malaria",27,-0.00599000173132711,0.977511244377811
"Malawi","women_folate","Malaria incidence and treatment",27,0.00901501569269889,0.96751624187906
"Malawi","women_folate","Ruralness, population density, built environment",27,-0.283456898751355,0.149925037481259
"Malawi","women_folate","Soil characteristics",27,0.0739105678755417,0.709645177411294
"Malawi","women_folate","Water and sanitation",27,-0.109733862786352,0.59320339830085
"Malawi","women_b12","Adult and maternal mortality",27,-0.254030981869202,0.193903048475762
"Malawi","women_b12","Adult nutrition",27,-0.267700131776242,0.164417791104448
"Malawi","women_b12","Agricultural production, land use",27,-0.182831788555915,0.360819590204898
"Malawi","women_b12","Built environment",27,0.380025113148267,0.0519740129935032
"Malawi","women_b12","Climate and weather",27,0.0500182289585876,0.7936031984008
"Malawi","women_b12","Dietary diversity",27,-0.0575003068857205,0.805097451274363
"Malawi","women_b12","Ecosystem productivity/greenness",27,0.263630389424663,0.189905047476262
"Malawi","women_b12","Education, employment, SES",27,0.120338717742662,0.56071964017991
"Malawi","women_b12","Fertility, reproductive health",27,-0.0111612172324694,0.95752123938031
"Malawi","women_b12","Food fortification and supplementation",27,-0.302963290383866,0.11944027986007
"Malawi","women_b12","Healthcare access",27,-0.361484184695534,0.0679660169915042
"Malawi","women_b12","Household assets and characteristics",27,0.189590888216191,0.351324337831084
"Malawi","women_b12","Infant and child morbidity/mortality",27,-0.371496702709328,0.0614692653673163
"Malawi","women_b12","Malaria",27,0.216753103253252,0.264367816091954
"Malawi","women_b12","Malaria incidence and treatment",27,0.284256990115991,0.169915042478761
"Malawi","women_b12","Ruralness, population density, built environment",27,-0.249796312581609,0.197401299350325
"Malawi","women_b12","Soil characteristics",27,-0.090825457678997,0.634682658670665
"Malawi","women_b12","Water and sanitation",27,0.303752440015207,0.120439780109945
"Malawi","child_iron","Adult and maternal mortality",27,0.0994949987797834,0.622688655672164
"Malawi","child_iron","Adult nutrition",27,-0.051829817467315,0.792603698150925
"Malawi","child_iron","Agricultural production, land use",27,0.228626798347809,0.255372313843078
"Malawi","child_iron","Built environment",27,-0.0696119115445121,0.741629185407296
"Malawi","child_iron","Climate and weather",27,0.235410669475003,0.238380809595202
"Malawi","child_iron","Dietary diversity",27,0.0763297055565128,0.715642178910545
"Malawi","child_iron","Ecosystem productivity/greenness",27,0.0223854085969635,0.909545227386307
"Malawi","child_iron","Education, employment, SES",27,0.228407925157757,0.258870564717641
"Malawi","child_iron","Fertility, reproductive health",27,0.198878002470581,0.330834582708646
"Malawi","child_iron","Food fortification and supplementation",27,0.188450618240275,0.353323338330835
"Malawi","child_iron","Healthcare access",27,0.0567055513882059,0.791104447776112
"Malawi","child_iron","Household assets and characteristics",27,0.163839274328427,0.43328335832084
"Malawi","child_iron","Infant and child morbidity/mortality",27,0.210035628486016,0.28135932033983
"Malawi","child_iron","Malaria",27,0.107261169629394,0.608695652173913
"Malawi","child_iron","Malaria incidence and treatment",27,0.10427846756478,0.60119940029985
