"method","n","pearson_r","spearman","calib_slope","calib_int","mae_pp","pi95_width_pp","pi95_cover_pct","country","outcome"
"raw_SL_oof",75,0.531,0.547,0.726,6.1,11.8,NA,NA,"Ghana","child_iron"
"FH_synthetic_oof",75,0.507,0.545,0.855,6.09,12.07,NA,NA,"Ghana","child_iron"
"FH_eblup_insample",75,0.893,0.901,1.243,-0.76,5.94,51,100,"Ghana","child_iron"
"BYM2_insample",75,0.884,0.899,1.228,-0.41,6.12,25.8,93.3,"Ghana","child_iron"
"raw_SL_oof",87,0.253,0.322,0.528,9.45,11.13,NA,NA,"Malawi","child_iron"
"FH_synthetic_oof",87,0.148,0.263,0.654,10.73,11.65,NA,NA,"Malawi","child_iron"
"FH_eblup_insample",87,0.827,0.914,1.879,-6.69,7.25,57.1,98.9,"Malawi","child_iron"
"BYM2_insample",87,0.83,0.904,1.842,-6.33,7.21,26.4,89.7,"Malawi","child_iron"
