"recipe","pooled_pearson","pooled_spearman","mean_country_spearman","iron_child","iron_women","vitA_child","med_selected","n_null"
"ridge_all_C",0.264,0.216,0.163,0.3,-0.014,0.344,1144,0
"ridge_all",0.264,0.216,0.163,0.3,-0.014,0.344,1144,0
"enet_c30",0.222,0.179,0.149,0.303,-0.004,0.27,8,0
"ridge_c60_C",0.152,0.178,0.102,0.277,-0.141,0.28,60,0
"ridge_c30_C",0.164,0.166,0.116,0.332,-0.078,0.219,30,0
"ridge_c120_C",0.122,0.154,0.065,0.144,-0.185,0.307,120,0
"rf_c60_C",0.194,0.118,0.079,0.306,-0.187,0.189,60,0
"rf_c120_C",0.182,0.117,0.094,0.298,-0.198,0.188,120,0
"enet_all_C",0.081,0.107,0.067,0.28,-0.111,0.139,13,1
"enet_c120_C",0.037,0.103,-0.014,0.229,-0.282,0.173,14,1
"lasso_all_C",0.076,0.1,0.069,0.285,-0.009,0.048,7,1
"enet_c30_C",0.042,0.084,0.081,0.305,-0.007,0.074,9,0
"enet_c60_C",0.041,0.081,0.047,0.268,-0.105,0.048,12,0
"lasso_c60_C",0.043,0.079,0.022,0.266,-0.179,0.025,8,0
"rf_c30_C",0.136,0.072,0.053,0.246,-0.144,0.19,30,0
"enet_c15_C",0.074,0.056,0.092,0.26,-0.055,0.141,6,0
