"method","model_type","n_train","n_test","n_eval","n_vars","obs_prev","pred_prev","mae_pp","rmse_pp","pearson_r","spearman_r","mean_bias_pp","calib_slope","calib_intercept","held_out","outcome","eval_type"
"sl_prescreened","continuous",179,30,30,86,0.187537154205692,0.109611109862452,12.811,16.324,-0.188,-0.073,-7.793,-0.707,0.265,"Gambia","child_vitA","loco_sl_only"
"sl_prescreened","continuous",134,75,75,86,0.135284014936936,0.113346635216324,9.9,11.951,0.041,0.088,-2.194,0.152,0.118,"Ghana","child_vitA","loco_sl_only"
"sl_prescreened","continuous",195,14,14,86,0.112174043377561,0.128231634234137,4.963,6.134,-0.13,-0.103,1.606,-0.589,0.188,"SierraLeone","child_vitA","loco_sl_only"
"sl_prescreened","continuous",119,90,90,86,0.0862396891711027,0.14093477388966,10.448,12.587,-0.127,-0.174,5.47,-0.638,0.176,"Malawi","child_vitA","loco_sl_only"
"sl_prescreened","continuous",179,30,30,86,0.0349366310016231,0.0155746974840496,3.446,5.204,NA,NA,-1.936,NA,0.035,"Gambia","women_vitA","loco_sl_only"
"sl_prescreened","continuous",134,75,75,86,0.0161620940300998,0.0168359565753007,2.742,4.121,0.076,0.112,0.067,1.843,-0.015,"Ghana","women_vitA","loco_sl_only"
"sl_prescreened","continuous",195,14,14,86,0.0129478109244971,0.000109684586397204,1.284,1.997,-0.14,-0.036,-1.284,-5.391,0.014,"SierraLeone","women_vitA","loco_sl_only"
"sl_prescreened","continuous",119,90,90,86,0.0154938271604938,0.0147191736445116,2.626,4.463,0.112,0.145,-0.077,1.019,0,"Malawi","women_vitA","loco_sl_only"
"sl_prescreened","continuous",179,30,30,86,0.638003095306347,0.179198802510897,45.88,48.055,0.402,0.333,-45.88,0.679,0.516,"Gambia","child_iron","loco_sl_only"
"sl_prescreened","continuous",134,75,75,86,0.213365317777174,0.246938651865972,13.801,17.404,0.376,0.371,3.357,1.029,-0.041,"Ghana","child_iron","loco_sl_only"
"sl_prescreened","continuous",195,14,14,86,0.0593675285429916,0.248183033046058,18.882,19.966,-0.136,-0.138,18.882,-0.16,0.099,"SierraLeone","child_iron","loco_sl_only"
"sl_prescreened","continuous",119,90,90,86,0.204231522307816,0,20.423,25.48,NA,NA,-20.423,NA,0.204,"Malawi","child_iron","loco_sl_only"
"sl_prescreened","continuous",179,30,30,86,0.514561786071163,0.20788154900074,30.668,34.372,0.316,0.447,-30.668,1.533,0.196,"Gambia","women_iron","loco_sl_only"
"sl_prescreened","continuous",134,75,75,86,0.129769641094183,0.252008459526358,14.051,16.588,0.335,0.235,12.224,0.686,-0.043,"Ghana","women_iron","loco_sl_only"
"sl_prescreened","continuous",195,14,14,86,0.174389054437979,0.188798934613989,7.484,9.201,-0.422,-0.279,1.441,-0.701,0.307,"SierraLeone","women_iron","loco_sl_only"
"sl_prescreened","continuous",119,90,90,86,0.174004172490481,0.216577121712549,14.313,17.716,0.03,0.114,4.257,0.163,0.139,"Malawi","women_iron","loco_sl_only"
"sl_prescreened","continuous",104,75,75,89,0.0948465608465608,0.0200852705764345,9.399,17.216,0.407,0.335,-7.476,2.498,0.045,"Ghana","women_b12","loco_sl_only"
"sl_prescreened","continuous",165,14,14,89,0.00420312661632129,0.111561278433335,10.736,10.961,-0.418,-0.504,10.736,-0.156,0.022,"SierraLeone","women_b12","loco_sl_only"
"sl_prescreened","continuous",89,90,90,89,0.0289828000374359,0.128875654733225,11.101,12.055,0.061,-0.008,9.989,0.099,0.016,"Malawi","women_b12","loco_sl_only"
"sl_prescreened","continuous",104,75,75,89,0.536319038093397,0.540854472535308,27.676,33.483,-0.3,-0.215,0.454,-0.898,1.022,"Ghana","women_folate","loco_sl_only"
"sl_prescreened","continuous",165,14,14,89,0.807745437713062,0.341339191888064,46.641,48.485,-0.613,-0.587,-46.641,-1.475,1.311,"SierraLeone","women_folate","loco_sl_only"
"sl_prescreened","continuous",89,90,90,89,0.205261963108528,0.403493020600743,25.815,29.599,0.062,0.091,19.823,0.196,0.126,"Malawi","women_folate","loco_sl_only"
