n,n_events,prevalence,roc_auc,pr_auc,brier,brier_skill,calib_int,calib_int_lo,calib_int_hi,calib_slope,calib_slope_lo,calib_slope_hi,ece,mce,model_type,country,outcome,calibrator,calib_n_train,platt_intercept,platt_slope
1020,205,0.201,0.6108,0.2534,0.1574,0.02,0,-0.6026,0.6026,1,0.5655,1.4345,0.0639,0.2239,binary_calibrated,Gambia,child_vitA,platt,1020,-0.47889832508214136,0.6288962256173292
1413,38,0.0269,0.7369,0.0617,0.0257,0.0192,0,-1.3209,1.3209,1,0.607,1.393,0.0115,0.1493,binary_calibrated,Gambia,women_vitA,platt,1413,1.2833767639240459,1.351407812995165
1013,425,0.4195,0.5238,0.3884,0.2431,0.0017,0,-0.501,0.501,1,-0.4975,2.4975,0.007,0.0249,binary_calibrated,Gambia,child_iron,platt,1013,-1.4412312550600532,-3.5126942445398552
1402,437,0.3117,0.5751,0.3748,0.2118,0.0129,-0,-0.417,0.417,1,0.4873,1.5127,0.0693,0.3418,binary_calibrated,Gambia,women_iron,platt,1402,-0.43894585152319093,0.3637192934907617
1165,174,0.1494,0.595,0.1292,0.1251,0.0154,0,-0.8077,0.8077,1,0.533,1.467,0.0032,0.0064,binary_calibrated,Ghana,child_vitA,platt,1165,-8.59931026544654,-3.9008597440743626
992,15,0.0151,0.7455,0.0137,0.0147,0.0101,0,-2.5041,2.5041,1,0.3627,1.6373,0.0032,0.0086,binary_calibrated,Ghana,women_vitA,platt,992,-16.272112647951776,-2.789142286456104
1165,278,0.2386,0.7016,0.395,0.1631,0.1022,0,-0.244,0.244,1,0.8078,1.1922,0.0265,0.1212,binary_calibrated,Ghana,child_iron,platt,1165,0.06347914152558169,1.0647765995305964
981,83,0.0846,0.5932,0.1157,0.0768,0.0079,0,-1.7105,1.7105,1,0.2759,1.7241,0.0129,0.2551,binary_calibrated,Ghana,women_iron,platt,981,-1.1030091717247903,0.5404223752526868
475,260,0.5474,0.5998,0.6193,0.2357,0.0485,0,-0.2016,0.2016,1,0.5782,1.4218,0.0421,0.2995,binary_calibrated,Ghana,women_folate,platt,475,0.05368707385131454,0.7354176229074454
473,40,0.0846,0.6982,0.2439,0.0697,0.0999,-0,-0.8431,0.8431,1,0.6297,1.3703,0.0347,0.3232,binary_calibrated,Ghana,women_b12,platt,473,0.33829126324278397,1.1320432619552498
486,61,0.1255,0.4924,0.1197,0.1097,2e-4,0,-11.0826,11.0826,1,-4.7099,6.7099,0.0273,0.1152,binary_calibrated,Sierra Leone,child_vitA,platt,486,-1.793743940979787,0.07285227611489949
774,14,0.0181,0.4758,0.0206,0.0178,4e-4,-0,-13.5148,13.5148,1,-2.391,4.391,0.0127,0.0338,binary_calibrated,Sierra Leone,women_vitA,platt,774,-3.206723838036802,0.1941323397138227
486,28,0.0576,0.496,0.0661,0.0542,0.001,0,-9.0019,9.0019,1,-2.2253,4.2253,0.0235,0.0759,binary_calibrated,Sierra Leone,child_iron,platt,486,-2.2702747581263245,0.17446473610128255
774,73,0.0943,0.6094,0.1206,0.0846,0.0096,0,-1.5121,1.5121,1,0.3257,1.6743,0.032,0.1646,binary_calibrated,Sierra Leone,women_iron,platt,774,-0.14061076011622373,0.9418678419435104
766,608,0.7937,0.5494,0.7998,0.1634,0.002,0,-1.946,1.946,1,-0.4428,2.4428,0.0587,0.1484,binary_calibrated,Sierra Leone,women_folate,platt,766,1.1189327781589677,0.17199556358200924
768,4,0.0052,0.7518,0.0052,0.0052,0.0034,0,-5.8845,5.8845,1,-0.1905,2.1905,0.0021,0.0032,binary_calibrated,Sierra Leone,women_b12,platt,768,-23.2957121320092,-3.3406190012733377
1102,103,0.0935,0.59,0.1301,0.0843,0.0046,-0,-1.9715,1.9715,1,0.129,1.871,0.0342,0.2014,binary_calibrated,Malawi,child_vitA,platt,1102,-1.4450883358456574,0.34662022274647514
807,11,0.0136,0.7668,0.0287,0.0134,0.0062,-0,-2.7304,2.7304,1,0.3167,1.6833,0.0088,0.0682,binary_calibrated,Malawi,women_vitA,platt,807,-0.8004476137685115,0.6696146992425435
1102,107,0.0971,0.5663,0.1347,0.0871,0.0064,-0,-1.9296,1.9296,1,0.1311,1.8689,0.0207,0.1705,binary_calibrated,Malawi,child_iron,platt,1102,-1.0985615562545887,0.5238469170561891
752,74,0.0984,0.5633,0.1342,0.088,0.0077,0,-1.9508,1.9508,1,0.1152,1.8848,0.0181,0.4074,binary_calibrated,Malawi,women_iron,platt,752,-0.7413452546178361,0.641588089548519
799,166,0.2078,0.6659,0.2998,0.1562,0.0509,0,-0.4242,0.4242,1,0.6899,1.3101,0.0295,0.1119,binary_calibrated,Malawi,women_folate,platt,799,-0.21979784093555516,0.8250352595445581
809,23,0.0284,0.7474,0.055,0.0272,0.0147,-0,-1.7264,1.7264,1,0.4725,1.5275,0.0182,0.0998,binary_calibrated,Malawi,women_b12,platt,809,0.45840636328734174,1.1923644985078945
1087,637,0.586,0.5516,0.486,0.2405,0.0088,0,-0.25,0.25,1,0.3649,1.6351,0.0013,0.0031,binary_calibrated,Malawi,child_zinc,platt,1087,1.7629996864706998,-4.048043593529042
814,504,0.6192,0.5172,0.6336,0.2355,0.0012,-0,-0.9784,0.9784,1,-0.9945,2.9945,0.0237,0.1244,binary_calibrated,Malawi,women_zinc,platt,814,0.4181216523475068,0.1140053760100189
