variable,drop_mean,drop_sd,n_perm,rank,country,outcome
MAP_202106_Antimalarial_Effective_Treatment,0.04063444560825972,0.010374961769399399,3,1,Gambia,child_vitA
gee_trmm_Jan_10km,0.02357524066038208,0.005242902599471297,3,2,Gambia,child_vitA
dhs2019_w_bmi_low_adm2.y,0.01148386453189687,0.004555943913847405,3,3,Gambia,child_vitA
dhs2019_CH_VACC_C_MSL_adm2.y,0.00983490448401414,0.004508259688196439,3,4,Gambia,child_vitA
mics_ec_risk_h_2_se,0.009203451543717897,0.007688579473512536,3,5,Gambia,child_vitA
gee_landcoverlayers_2017_2017_data_density_indicator,0.004166791361165156,0.0022669836784525014,3,6,Gambia,child_vitA
map2_explorer_2017_non_malarial_fever,0.0032739787520574457,0.002199411432918203,3,7,Gambia,child_vitA
dhs2019_w_any_media_adm2.y,0.00285201256920542,0.003163609590135175,3,8,Gambia,child_vitA
dhs2019_hh_improved_floor_adm2.y,0.002790164097959994,0.0018865070854966492,3,9,Gambia,child_vitA
gee_temp_10km_seasonal_sd,0.0018135567858746187,3.761606256184729e-4,3,10,Gambia,child_vitA
gee_productivity_2018_annual_min,0.0012858496683126146,0.0012088242527545491,3,11,Gambia,child_vitA
dhs2019_c_malaria_rdt_adm2.y,0.0011232480422963542,0.0013124489709255762,3,12,Gambia,child_vitA
gee_landcoverlayers_2017_2017_bare_coverfraction,9.975559878298383e-4,6.841132487915811e-4,3,13,Gambia,child_vitA
dhs2019_CN_NUTS_C_HA2_adm2.y,0,0,3,14,Gambia,child_vitA
dhs2019_FP_CUSA_W_MOD_adm2.y,0,0,3,15,Gambia,child_vitA
dhs2019_w_anemia_moderate_adm2.y,0,0,3,16,Gambia,child_vitA
dhs2019_w_bmi_overweight_adm2.y,0,0,3,17,Gambia,child_vitA
dhs2019_w_anc4plus_adm2.y,0,0,3,18,Gambia,child_vitA
dhs2019_w_delivery_facility_adm2.y,0,0,3,19,Gambia,child_vitA
dhs2019_w_unmet_fp_adm2.y,0,0,3,20,Gambia,child_vitA
dhs2019_w_teen_pregnancy_adm2.y,0,0,3,21,Gambia,child_vitA
dhs2019_c_early_initiation_adm2.y,0,0,3,22,Gambia,child_vitA
dhs2019_c_bottle_fed_adm2.y,0,0,3,23,Gambia,child_vitA
dhs2019_c_mean_birthweight_adm2.y,0,0,3,24,Gambia,child_vitA
dhs2019_c_vita_rich_food_adm2.y,0,0,3,25,Gambia,child_vitA
dhs2019_c_diet_diversity_score_adm2.y,0,0,3,26,Gambia,child_vitA
dhs2019_c_min_diet_diversity_adm2.y,0,0,3,27,Gambia,child_vitA
dhs2019_c_polio3_adm2.y,0,0,3,28,Gambia,child_vitA
dhs2019_c_ari_2wk_adm2.y,0,0,3,29,Gambia,child_vitA
dhs2019_c_severely_wasted_adm2.y,0,0,3,30,Gambia,child_vitA
gee_ndvi_50km_seasonal_cv,0.0977830940988836,0.03626840000889825,3,1,Gambia,women_vitA
dhs2019_c_anemia_moderate_adm2.y,0.024510366826156333,0.016594320518954774,3,2,Gambia,women_vitA
dhs2019_hh_mean_hhsize_adm2.y,0.007154704944178654,0.002673204214385375,3,3,Gambia,women_vitA
MAP_202106_Antimalarial_Effective_Treatment,0.00626475279106864,0.001889905718848958,3,4,Gambia,women_vitA
gee_lst_night_2014_monthly_2014_07_mean,0.004934609250398754,0.0013984503595745445,3,5,Gambia,women_vitA
gee_a2_FLDAS_Qsb_tavg,8.7719298245618e-4,4.864721407557667e-4,3,6,Gambia,women_vitA
gee_a2_SurfaceWater_occurrence,3.732057416268031e-4,9.639456320356082e-4,3,7,Gambia,women_vitA
dhs2019_CH_DIAT_C_ORT_adm2.y,0,0,3,8,Gambia,women_vitA
dhs2019_CH_VACC_C_BAS_adm2.y,0,0,3,9,Gambia,women_vitA
dhs2019_CH_VACC_C_DP1_adm2.y,0,0,3,10,Gambia,women_vitA
dhs2019_CH_VACC_C_DP3_adm2.y,0,0,3,11,Gambia,women_vitA
dhs2019_CH_VACC_C_MSL_adm2.y,0,0,3,12,Gambia,women_vitA
dhs2019_CH_VACC_C_NON_adm2.y,0,0,3,13,Gambia,women_vitA
dhs2019_CN_BRFS_C_EXB_adm2.y,0,0,3,14,Gambia,women_vitA
dhs2019_CN_NUTS_C_HA2_adm2.y,0,0,3,15,Gambia,women_vitA
dhs2019_CN_NUTS_C_WH2_adm2.y,0,0,3,16,Gambia,women_vitA
dhs2019_ML_NETP_H_IT2_adm2.y,0,0,3,17,Gambia,women_vitA
dhs2019_WS_TLET_H_IMP_adm2.y,0,0,3,18,Gambia,women_vitA
dhs2019_WS_TLET_P_BAS_adm2.y,0,0,3,19,Gambia,women_vitA
dhs2019_w_anemia_moderate_adm2.y,0,0,3,20,Gambia,women_vitA
dhs2019_w_bmi_low_adm2.y,0,0,3,21,Gambia,women_vitA
dhs2019_w_bmi_overweight_adm2.y,0,0,3,22,Gambia,women_vitA
dhs2019_w_height_low_adm2.y,0,0,3,23,Gambia,women_vitA
dhs2019_w_iron_supplement_adm2.y,0,0,3,24,Gambia,women_vitA
dhs2019_w_anc1_adm2.y,0,0,3,25,Gambia,women_vitA
dhs2019_w_skilled_attendant_adm2.y,0,0,3,26,Gambia,women_vitA
dhs2019_w_unmet_fp_adm2.y,0,0,3,27,Gambia,women_vitA
dhs2019_w_modern_fp_adm2.y,0,0,3,28,Gambia,women_vitA
dhs2019_w_teen_pregnancy_adm2.y,0,0,3,29,Gambia,women_vitA
dhs2019_w_birth_interval_short_adm2.y,0,0,3,30,Gambia,women_vitA
dhs2019_AN_NUTS_W_THN_adm2.y,0,0,3,1,Gambia,child_iron
dhs2019_CH_VACC_C_BAS_adm2.y,0,0,3,2,Gambia,child_iron
dhs2019_CH_VACC_C_DP1_adm2.y,0,0,3,3,Gambia,child_iron
dhs2019_CH_VACC_C_MSL_adm2.y,0,0,3,4,Gambia,child_iron
dhs2019_CN_NUTS_C_HA2_adm2.y,0,0,3,5,Gambia,child_iron
dhs2019_CN_NUTS_C_WH2_adm2.y,0,0,3,6,Gambia,child_iron
dhs2019_ML_NETP_H_IT2_adm2.y,0,0,3,7,Gambia,child_iron
dhs2019_w_anemia_moderate_adm2.y,0,0,3,8,Gambia,child_iron
dhs2019_w_bmi_overweight_adm2.y,0,0,3,9,Gambia,child_iron
dhs2019_w_iron_supplement_adm2.y,0,0,3,10,Gambia,child_iron
dhs2019_w_anc4plus_adm2.y,0,0,3,11,Gambia,child_iron
dhs2019_w_anc1_adm2.y,0,0,3,12,Gambia,child_iron
dhs2019_w_delivery_facility_adm2.y,0,0,3,13,Gambia,child_iron
dhs2019_w_unmet_fp_adm2.y,0,0,3,14,Gambia,child_iron
dhs2019_w_modern_fp_adm2.y,0,0,3,15,Gambia,child_iron
dhs2019_w_teen_pregnancy_adm2.y,0,0,3,16,Gambia,child_iron
dhs2019_w_any_media_adm2.y,0,0,3,17,Gambia,child_iron
dhs2019_c_early_initiation_adm2.y,0,0,3,18,Gambia,child_iron
dhs2019_c_bottle_fed_adm2.y,0,0,3,19,Gambia,child_iron
dhs2019_c_small_at_birth_adm2.y,0,0,3,20,Gambia,child_iron
dhs2019_c_iron_rich_food_adm2.y,0,0,3,21,Gambia,child_iron
dhs2019_c_diet_diversity_score_adm2.y,0,0,3,22,Gambia,child_iron
dhs2019_c_min_diet_diversity_adm2.y,0,0,3,23,Gambia,child_iron
dhs2019_c_dpt1_adm2.y,0,0,3,24,Gambia,child_iron
dhs2019_c_no_vaccination_adm2.y,0,0,3,25,Gambia,child_iron
dhs2019_c_wasted_adm2.y,0,0,3,26,Gambia,child_iron
dhs2019_c_underweight_adm2.y,0,0,3,27,Gambia,child_iron
dhs2019_c_overweight_adm2.y,0,0,3,28,Gambia,child_iron
dhs2019_c_mean_haz_adm2.y,0,0,3,29,Gambia,child_iron
dhs2019_c_mean_whz_adm2.y,0,0,3,30,Gambia,child_iron
dhs2019_hh_mean_hhsize_adm2.y,0.02308011524644001,0.0019544976958417674,3,1,Gambia,women_iron
dhs2019_w_any_media_adm2.y,0.007655035312995199,0.0013423445072093454,3,2,Gambia,women_iron
dhs2019_c_mean_birthweight_adm2.y,0.004669931192025967,0.0011262364865437778,3,3,Gambia,women_iron
map2_explorer_2015_nature_africa_act,0.004040739379423915,5.925385505991726e-4,3,4,Gambia,women_iron
gee_trmm_Apr_10km,0.003909921232457074,0.0019194423519401564,3,5,Gambia,women_iron
gee_a2_SurfaceWater_occurrence,0.0032174940618046044,0.0039756616386742456,3,6,Gambia,women_iron
mics_wq10m,0.0032020804432798164,0.0024916267333256956,3,7,Gambia,women_iron
gee_trmm_Nov_25km,0.003115131825960423,0.0015851929532931896,3,8,Gambia,women_iron
gee_temp_Oct_10km,0.0028724661394418094,2.856299566447879e-4,3,9,Gambia,women_iron
wfp_fuel_diesel,0.002376859020721378,0.003322461475587184,3,10,Gambia,women_iron
mics_hc9d_se,0.00235077443552556,0.0012471091026201224,3,11,Gambia,women_iron
gee_temp_Jul_25km,0.0015362239796381887,0.0026135616691626597,3,12,Gambia,women_iron
wfp_fonio,0.0014204242302082355,3.601898896803052e-4,3,13,Gambia,women_iron
gee_lst_night_2015_monthly_annual_min,7.663334953738795e-4,0.003411209492359683,3,14,Gambia,women_iron
gee_trmm_Oct_10km,4.932357927934783e-4,5.194922436102216e-4,3,15,Gambia,women_iron
wfp_fuel_petrol_gasoline,5.375005434282709e-5,4.0365744240735665e-4,3,16,Gambia,women_iron
dhs2019_CH_VACC_C_DP1_adm2.y,0,0,3,17,Gambia,women_iron
dhs2019_CH_VACC_C_DP3_adm2.y,0,0,3,18,Gambia,women_iron
dhs2019_CH_VACC_C_MSL_adm2.y,0,0,3,19,Gambia,women_iron
dhs2019_CN_NUTS_C_HA2_adm2.y,0,0,3,20,Gambia,women_iron
dhs2019_CN_NUTS_C_WH2_adm2.y,0,0,3,21,Gambia,women_iron
dhs2019_ML_NETP_H_IT2_adm2.y,0,0,3,22,Gambia,women_iron
dhs2019_w_bmi_low_adm2.y,0,0,3,23,Gambia,women_iron
dhs2019_w_bmi_overweight_adm2.y,0,0,3,24,Gambia,women_iron
dhs2019_w_iron_supplement_adm2.y,0,0,3,25,Gambia,women_iron
dhs2019_w_anc1_adm2.y,0,0,3,26,Gambia,women_iron
dhs2019_w_skilled_attendant_adm2.y,0,0,3,27,Gambia,women_iron
