"outcome","held_out","n_train","n_test","n_pred","n_selected","pearson_r","pearson_ci_lo","pearson_ci_hi","pearson_perm_p","spearman_r","rmse_pp","mae_pp","nat_bias_pp","calib_slope","n_boot"
"child_vitA","gambia",176,30,30,4,0.605,0.363,0.772,0.001,0.588,15.76,12.19,-10.42,3,1000
"child_vitA","ghana",131,75,30,7,0.359,0.13,0.552,0.005,0.315,11.1,8.96,-2.97,0.96,1000
"child_vitA","sierraleone",192,14,30,20,-0.12,-0.647,0.454,0.6723,-0.213,6.49,5.46,1.03,-0.28,1000
"child_vitA","malawi",119,87,30,9,-0.164,-0.315,0.013,0.9231,-0.02,13.38,8.52,-6.95,-1.01,1000
"women_vitA","gambia",176,30,30,0,NA,NA,NA,NA,NA,5.49,3.43,-2.61,NA,0
"women_vitA","ghana",131,75,30,4,0.175,0.021,0.324,0.0699,0.199,4.13,2.41,-0.42,5.83,1000
"women_vitA","sierraleone",192,14,30,12,-0.349,-0.738,0.352,0.8791,-0.192,1.75,1.24,-0.82,-8.18,1000
"women_vitA","malawi",119,87,30,12,0.069,-0.098,0.208,0.2607,0.056,4.88,4.08,1.74,0.46,1000
"child_iron","gambia",176,30,30,11,0.505,0.171,0.735,0.002,0.48,44.52,42.46,-42.46,0.76,1000
"child_iron","ghana",131,75,30,12,0.489,0.287,0.657,0.001,0.509,17.05,13.29,1.29,0.62,1000
"child_iron","sierraleone",192,14,30,16,-0.212,-0.563,0.374,0.7652,-0.253,9.47,7.57,5.53,-0.19,1000
"child_iron","malawi",119,87,30,11,0.201,-0.035,0.397,0.04,0.127,21.01,15.98,-14.96,1.64,1000
"women_iron","gambia",176,30,30,11,0.75,0.566,0.876,0.001,0.72,28.42,25.88,-25.88,1.64,1000
"women_iron","ghana",131,75,30,12,0.414,0.237,0.559,0.002,0.402,26.59,24.27,24.07,0.57,1000
"women_iron","sierraleone",192,14,30,14,-0.092,-0.405,0.237,0.6254,-0.051,12.45,10.54,-10.04,-0.23,1000
"women_iron","malawi",119,87,30,13,0.018,-0.25,0.277,0.4446,0.021,20.21,17.01,10.65,0.09,1000
