"outcome","recipe","n_folds","mean_pearson","mean_spearman","mean_rmse_pp","mean_mae_pp","mean_abs_natbias","med_npred"
"child_iron","C_enet_corr15",4,0.354,0.348,18.73,15.91,12.21,15
"child_iron","C_enet_all",4,0.275,0.343,18.86,15.84,12.14,174
"child_iron","C_lasso_corr15",4,0.342,0.33,18.64,15.87,12.14,15
"child_iron","C_enet_corr30",4,0.32,0.307,19.26,16.2,12.48,30
"child_iron","C_ridge_all",4,0.315,0.298,18.79,15.78,12.14,174
"child_iron","C_ols_corr8",4,0.215,0.265,22.28,18.2,11.04,8
"child_iron","C_rf_corr30",4,0.211,0.254,18.94,15.98,11.78,30
"child_iron","ridge_all",4,0.226,0.236,17.26,14.02,9.61,174
"child_iron","rf_corr30",4,0.158,0.225,18.76,15.33,12.39,30
"child_iron","rf_all",4,0.183,0.192,17.92,14.64,11.69,174
"child_iron","enet_all",4,0.186,0.179,18.62,15.83,12.23,174
"child_iron","enet_corr15",4,0.162,0.157,16.6,13.63,10.15,15
"child_iron","lasso_all",4,0.169,0.142,18.36,15.59,11.53,174
"child_iron","lasso_corr15",4,0.098,0.074,14.62,11.67,6.98,15
"child_iron","ols_corr8",4,0.04,0.037,17.32,14.27,9.75,8
"child_iron","enet_corr30",4,-0.034,-0.099,16.13,13.44,5.99,30
"child_iron","baseline_mean",4,NA,NA,19.98,17.57,13.57,174
"child_vitA","C_enet_all",4,0.227,0.234,13.09,10.33,3.79,174
"child_vitA","C_ridge_all",4,0.227,0.226,13.21,10.46,4.72,174
"child_vitA","enet_corr15",4,0.114,0.193,14.7,12.02,6.44,15
"child_vitA","lasso_corr15",4,0.124,0.186,14.73,11.77,6.69,15
"child_vitA","enet_all",4,0.128,0.183,13.98,11.19,6.42,174
"child_vitA","enet_corr30",4,0.128,0.174,14.7,12.1,7.03,30
"child_vitA","lasso_all",4,0.115,0.171,14.98,12.15,8.1,174
"child_vitA","ridge_all",4,0.175,0.168,13.95,11.11,5.51,174
"child_vitA","C_enet_corr30",4,0.119,0.13,13.45,10.57,3.84,30
"child_vitA","rf_corr30",4,0.092,0.096,15.93,12.8,9.84,30
"child_vitA","rf_all",4,0.161,0.095,16.14,13.03,10.62,174
"child_vitA","C_rf_corr30",4,0.074,0.09,14.48,11.23,7.24,30
"child_vitA","C_ols_corr8",4,0.055,0.058,17.89,14.2,6.48,8
"child_vitA","ols_corr8",4,0.004,0.032,18.01,14.54,8.74,8
"child_vitA","C_lasso_corr15",4,0.043,0.028,14.48,11.55,3.8,15
"child_vitA","C_enet_corr15",4,0.031,0.012,15.4,11.97,4.67,15
"child_vitA","baseline_mean",4,NA,NA,12.25,9.77,2.31,174
"women_iron","C_enet_corr15",3,0.329,0.378,19.04,15.72,10.89,15
"women_iron","C_lasso_corr15",3,0.329,0.371,19.02,15.74,11.12,15
"women_iron","C_enet_corr30",3,0.33,0.366,18.43,15.32,10.48,30
"women_iron","enet_corr30",3,0.336,0.356,19.36,16.64,13.53,30
"women_iron","C_rf_corr30",3,0.356,0.35,18.97,15.92,11.61,30
"women_iron","enet_all",3,0.328,0.35,18.56,14.98,10.82,174
"women_iron","lasso_all",3,0.306,0.337,19.33,15.8,10.8,174
"women_iron","C_enet_all",3,0.261,0.324,18.73,15.39,11.36,174
"women_iron","rf_corr30",3,0.291,0.323,18.56,15.06,11.29,30
"women_iron","C_ols_corr8",3,0.303,0.306,19.86,16.38,11.73,8
"women_iron","ridge_all",3,0.312,0.303,19.25,15.82,13.21,174
"women_iron","ols_corr8",3,0.235,0.28,17.73,14.33,10.4,8
"women_iron","enet_corr15",3,0.243,0.277,19.33,16.51,13.61,15
"women_iron","C_ridge_all",3,0.115,0.247,20.04,15.9,11,174
"women_iron","lasso_corr15",3,0.208,0.245,18.08,14.91,10.44,15
"women_iron","rf_all",3,0.204,0.194,18.85,15.42,12.35,174
"women_iron","baseline_mean",3,NA,NA,19.42,16.68,14.06,174
"women_vitA","rf_all",4,0.223,0.254,4.14,2.71,0.92,174
"women_vitA","ols_corr8",4,0.115,0.158,4.88,3.82,2.32,8
"women_vitA","rf_corr30",4,0.132,0.114,4.15,2.72,0.85,30
"women_vitA","C_rf_corr30",4,0.007,0.106,4.36,2.69,1.23,30
"women_vitA","C_enet_all",4,0.17,0.083,8.7,4.29,2.78,174
"women_vitA","enet_corr30",4,0.137,0.065,4.39,2.79,1.17,30
"women_vitA","C_enet_corr15",4,0.007,0.036,4.35,2.62,1.3,15
"women_vitA","C_lasso_corr15",4,0,0.03,4.4,2.71,1.39,15
"women_vitA","C_enet_corr30",4,-0.011,0.028,4.36,2.63,1.31,30
"women_vitA","lasso_all",4,0.027,0.028,4.3,2.95,1.05,174
"women_vitA","C_ols_corr8",4,-0.001,-0.011,4.34,2.66,1.32,8
"women_vitA","enet_all",4,-0.032,-0.013,4.34,2.76,1.1,174
"women_vitA","lasso_corr15",4,0.057,-0.014,4.36,2.95,1.17,15
"women_vitA","C_ridge_all",4,0.028,-0.017,4.36,2.63,1.3,174
"women_vitA","enet_corr15",4,0.074,-0.038,4.56,3.32,1.44,15
"women_vitA","ridge_all",4,-0.066,-0.202,4.4,2.64,1.47,174
"women_vitA","baseline_mean",4,NA,NA,4.28,3.08,1.17,174
