n,n_events,prevalence,roc_auc,pr_auc,brier,brier_skill,calib_int,calib_int_lo,calib_int_hi,calib_slope,calib_slope_lo,calib_slope_hi,ece,mce,model_type,country,outcome
1020,205,0.201,0.6108,0.2534,0.1585,0.0133,-0.4789,-0.8839,-0.0739,0.6289,0.3556,0.9022,0.0578,0.3175,binary,Gambia,child_vitA
1413,38,0.0269,0.7369,0.0617,0.0257,0.0186,1.2834,-0.5306,3.0973,1.3514,0.8203,1.8825,0.0101,0.0965,binary,Gambia,women_vitA
1013,425,0.4195,0.5238,0.3006,0.2438,-0.0011,-1.4412,-3.119,0.2365,-3.5127,-8.7731,1.7477,0.0195,0.0568,binary,Gambia,child_iron
1402,437,0.3117,0.5751,0.3748,0.2143,9e-4,-0.4389,-0.6486,-0.2293,0.3637,0.1772,0.5502,0.0634,0.4054,binary,Gambia,women_iron
1165,174,0.1494,0.595,0.1077,0.1283,-0.0095,-8.5993,-11.8279,-5.3707,-3.9009,-5.7225,-2.0792,0.0512,0.0822,binary,Ghana,child_vitA
992,15,0.0151,0.7455,0.0089,0.015,-0.0073,-16.2721,-24.2084,-8.3358,-2.7891,-4.5668,-1.0115,0.0149,0.0268,binary,Ghana,women_vitA
1165,278,0.2386,0.7016,0.395,0.1632,0.102,0.0635,-0.1906,0.3175,1.0648,0.8601,1.2694,0.0304,0.1324,binary,Ghana,child_iron
981,83,0.0846,0.5932,0.1157,0.0775,-8e-4,-1.103,-2.0278,-0.1782,0.5404,0.1491,0.9317,0.0213,0.3109,binary,Ghana,women_iron
475,260,0.5474,0.5998,0.6193,0.2373,0.0423,0.0537,-0.1401,0.2475,0.7354,0.4252,1.0456,0.0753,0.2894,binary,Ghana,women_folate
473,40,0.0846,0.6982,0.2439,0.0702,0.0928,0.3366,-0.6242,1.2974,1.1312,0.7111,1.5512,0.0294,0.3638,binary,Ghana,women_b12
486,61,0.1255,0.4924,0.1197,0.1142,-0.04,-1.7937,-2.673,-0.9145,0.0729,-0.3431,0.4888,0.0592,0.1705,binary,Sierra Leone,child_vitA
774,14,0.0181,0.4758,0.0206,0.018,-0.0137,-3.2067,-5.8899,-0.5235,0.1941,-0.4642,0.8524,0.0181,0.0765,binary,Sierra Leone,women_vitA
486,28,0.0576,0.496,0.0661,0.0549,-0.0104,-2.2703,-3.9848,-0.5557,0.1745,-0.3882,0.7372,0.0321,0.0553,binary,Sierra Leone,child_iron
774,73,0.0943,0.6094,0.1206,0.0846,0.0093,-0.1406,-1.5592,1.2779,0.9419,0.3067,1.577,0.0316,0.1574,binary,Sierra Leone,women_iron
766,608,0.7937,0.5494,0.7998,0.1753,-0.0707,1.1189,0.7509,1.487,0.172,-0.0762,0.4202,0.0712,0.4707,binary,Sierra Leone,women_folate
768,4,0.0052,0.7518,0.0031,0.0052,-0.0025,-23.2957,-45.2492,-1.3422,-3.3406,-7.3175,0.6363,0.0052,0.009,binary,Sierra Leone,women_b12
1102,103,0.0935,0.59,0.1301,0.0868,-0.0239,-1.4451,-2.1762,-0.7139,0.3466,0.0447,0.6485,0.0347,0.4427,binary,Malawi,child_vitA
807,11,0.0136,0.7668,0.0287,0.0134,4e-4,-1.0345,-3.09,1.0211,0.6005,0.1754,1.0256,0.0116,0.1429,binary,Malawi,women_vitA
1102,107,0.0971,0.5663,0.1347,0.0873,0.0041,-1.0986,-2.0837,-0.1134,0.5238,0.0687,0.979,0.0296,0.1046,binary,Malawi,child_iron
752,74,0.0984,0.5633,0.1342,0.0881,0.0065,-0.7413,-2.0437,0.5611,0.6416,0.0739,1.2093,0.0279,0.0902,binary,Malawi,women_iron
799,166,0.2078,0.6659,0.2998,0.1568,0.0471,-0.2198,-0.5831,0.1435,0.825,0.5692,1.0809,0.0457,0.1522,binary,Malawi,women_folate
809,23,0.0284,0.7474,0.055,0.0272,0.016,0.4584,-1.5034,2.4202,1.1924,0.5633,1.8214,0.0205,0.0972,binary,Malawi,women_b12
1087,637,0.586,0.4484,0.4438,0.2438,-0.0049,1.763,0.854,2.672,-4.048,-6.6188,-1.4773,0.0525,0.0823,binary,Malawi,child_zinc
814,504,0.6192,0.5172,0.6336,0.2503,-0.0615,0.4181,0.2231,0.6132,0.114,-0.1134,0.3414,0.1047,0.3055,binary,Malawi,women_zinc
