outcome,country,n_admin2,mae_pp,rmse_pp,pearson_r,mean_bias_pp
child_vitA,Gambia,30,8.53,10.68,0.601,-0.67
women_vitA,Gambia,30,3.04,4.23,0.497,-0.39
child_iron,Gambia,30,22.75,26.63,-0.157,-21.75
women_iron,Gambia,30,18.98,23.1,0.623,-18.98
child_vitA,Ghana,75,9.96,11.96,-0.326,1.44
women_vitA,Ghana,75,2.72,4.24,-0.304,-0.11
child_iron,Ghana,75,9.52,12.4,0.748,1.25
women_iron,Ghana,75,8.65,10.98,0.499,-3.89
women_folate,Ghana,75,20.53,24.97,0.52,-0.37
women_b12,Ghana,75,8.58,12.77,0.677,-1.05
child_vitA,Sierra Leone,14,4.06,5.42,0.513,1.37
women_vitA,Sierra Leone,14,1.2,1.57,0.709,0.98
child_iron,Sierra Leone,14,2.84,3.79,0.601,-0.48
women_iron,Sierra Leone,14,8.43,9.83,0.567,-8.13
women_folate,Sierra Leone,14,4.07,4.84,0.923,-2.82
women_b12,Sierra Leone,14,0.67,0.71,-0.29,0.1
child_vitA,Malawi,87,8.43,11.8,0.148,0.51
women_vitA,Malawi,87,1.98,4.57,0.19,-0.88
child_iron,Malawi,87,12.46,16.77,0.378,-9.31
women_iron,Malawi,87,13.52,18.12,0.276,-7.99
women_folate,Malawi,87,13.65,17.87,0.521,0.55
women_b12,Malawi,87,4.14,5.58,0.371,0.45
child_zinc,Malawi,87,20.12,24.11,-0.235,0.81
women_zinc,Malawi,87,21.74,26.73,0.148,-1.15
