outcome,model_type,n,rmse,mae,r2,r,prev_pred,prev_obs,auc,brier,country
child_vitA,continuous,1020,0.24033424030687592,0.18626763862493065,0.016471375012436895,0.1639801083642348,0,NA,NA,NA,Gambia
child_vitA,binary,1020,NA,NA,NA,NA,NA,NA,0.6107825826724524,0.15845232425827868,Gambia
women_vitA,continuous,1413,0.4883673966033055,0.33006498331343076,0.013733516841692328,0.16464525715665446,0,NA,NA,NA,Gambia
women_vitA,binary,1413,NA,NA,NA,NA,NA,NA,0.7369473684210526,0.025684207279679544,Gambia
child_iron,continuous,1013,0.8529320233386629,0.6939920719316884,-0.039514038777139326,0.02047007368172842,0.84106614017769,NA,NA,NA,Gambia
child_iron,binary,1013,NA,NA,NA,NA,NA,NA,0.5237895158063225,0.24380038095220002,Gambia
women_iron,continuous,1402,0.913015938200525,0.7487710660860918,0.023305745692607793,0.16293498973117004,0.3773181169757489,NA,NA,NA,Gambia
women_iron,binary,1402,NA,NA,NA,NA,NA,NA,0.5750987064417069,0.21434910596822396,Gambia
child_vitA,continuous,1165,0.29425156946670394,0.22063570770166677,0.04139295200631776,0.20748732948635107,0,NA,NA,NA,Ghana
child_vitA,binary,1165,NA,NA,NA,NA,NA,NA,0.5949609705742487,0.12825828749597998,Ghana
women_vitA,continuous,992,0.5769844900242603,0.4276622124003172,0.05636529872930396,0.24822714632333406,0,NA,NA,NA,Ghana
women_vitA,binary,992,NA,NA,NA,NA,NA,NA,0.7454793585806893,0.015000696683650061,Ghana
child_iron,continuous,1165,26.08788009876362,19.70909304885625,0.055304209706805274,0.24880014808141823,0,NA,NA,NA,Ghana
child_iron,binary,1165,NA,NA,NA,NA,NA,NA,0.701550371878371,0.1631605894475815,Ghana
women_iron,continuous,981,34.71392805313304,27.222022670087842,0.014689564593081683,0.1523351915241994,0,NA,NA,NA,Ghana
women_iron,binary,981,NA,NA,NA,NA,NA,NA,0.5931856602355972,0.07751478677986658,Ghana
women_folate,continuous,475,9.108996882419017,6.911383166326058,0.049698553531693834,0.23831396584645648,0.23578947368421052,NA,NA,NA,Ghana
women_folate,binary,475,NA,NA,NA,NA,NA,NA,0.5998389982110912,0.2372848502649248,Ghana
women_b12,continuous,473,237.11198142141396,184.63040289943527,0.08171206895274219,0.2921544652518101,0,NA,NA,NA,Ghana
women_b12,binary,473,NA,NA,NA,NA,NA,NA,0.6981524249422633,0.07023077541733153,Ghana
child_vitA,continuous,486,0.36428021230696284,0.2608784464387605,-0.022374630057483413,0.03150873792397016,0,NA,NA,NA,Sierra Leone
child_vitA,binary,486,NA,NA,NA,NA,NA,NA,0.4923625843780135,0.11415268585840173,Sierra Leone
women_vitA,continuous,774,0.5210497488722619,0.3826310768936745,-0.047914097571006176,0.02852656098503514,0,NA,NA,NA,Sierra Leone
women_vitA,binary,774,NA,NA,NA,NA,NA,NA,0.47584586466165413,0.018004892272412483,Sierra Leone
child_iron,continuous,486,44.909765529823176,35.7220397679917,-0.037394593983366864,0.12676506670654009,0,NA,NA,NA,Sierra Leone
child_iron,binary,486,NA,NA,NA,NA,NA,NA,0.49598409232688706,0.054860533575955064,Sierra Leone
women_iron,binary,774,NA,NA,NA,NA,NA,NA,0.6093643132120454,0.08462886684613152,Sierra Leone
women_folate,continuous,766,5.033129764372394,2.686868416225865,0.010391855810943151,0.1406228678742335,0.8485639686684073,NA,NA,NA,Sierra Leone
women_folate,binary,766,NA,NA,NA,NA,NA,NA,0.5493577198534311,0.17529874501325998,Sierra Leone
women_b12,continuous,768,263.72701535567575,202.70928561180042,-0.007645413189569572,0.16846313978846228,0,NA,NA,NA,Sierra Leone
women_b12,binary,768,NA,NA,NA,NA,NA,NA,0.7517997382198953,0.005194302052616047,Sierra Leone
child_vitA,continuous,1102,0.2796624833803058,0.2224373281166712,-6.734998882713672e-4,0.10564831944452723,0,NA,NA,NA,Malawi
child_vitA,binary,1102,NA,NA,NA,NA,NA,NA,0.5899880462987259,0.08675276164607172,Malawi
women_vitA,continuous,807,0.4451983653297884,0.3425094136225332,-0.004683544686258756,-0.09161808699645747,0,NA,NA,NA,Malawi
women_vitA,binary,807,NA,NA,NA,NA,NA,NA,0.7668455915943353,0.01343937987531377,Malawi
child_iron,continuous,1102,22.27398097781925,17.023186078005846,0.02735517737205706,0.18049671723586713,0,NA,NA,NA,Malawi
child_iron,binary,1102,NA,NA,NA,NA,NA,NA,0.5662706053632649,0.0873096744085378,Malawi
women_iron,continuous,752,38.26427725609182,22.70488247438616,-0.005753526525478003,-0.10156036462492019,0,NA,NA,NA,Malawi
women_iron,binary,752,NA,NA,NA,NA,NA,NA,0.5632922745754604,0.08814024871219178,Malawi
women_folate,continuous,799,13.999360853576267,10.312045087511326,0.12778075601341066,0.3614428869114835,0.012515644555694618,NA,NA,NA,Malawi
women_folate,binary,799,NA,NA,NA,NA,NA,NA,0.6658910523611031,0.15683961630818335,Malawi
women_b12,continuous,809,317.5692836899505,209.4032485188601,0.16820768492556748,0.43699977693754866,0,NA,NA,NA,Malawi
women_b12,binary,809,NA,NA,NA,NA,NA,NA,0.7474278128111517,0.027179584681522033,Malawi
child_zinc,continuous,1087,23.116317808820003,13.675345624748156,-0.004921752966288828,-0.09439563979036372,1,NA,NA,NA,Malawi
child_zinc,binary,1087,NA,NA,NA,NA,NA,NA,0.44836385836385834,0.2437922690424941,Malawi
women_zinc,continuous,814,21.176303139089363,13.132632069776172,-0.004448848390070426,-0.0908485265936742,1,NA,NA,NA,Malawi
women_zinc,binary,814,NA,NA,NA,NA,NA,NA,0.5171658986175115,0.2503035869300743,Malawi
