"outcome","recipe","held_out","n_train","n_test","n_pred","pearson_r","spearman_r","rmse_pp","mae_pp","bias_pp","nat_bias_pp","calib_slope"
"child_vitA","baseline_mean","gambia",176,30,174,NA,NA,13.68,10.97,-4.94,-4.94,NA
"child_vitA","baseline_mean","ghana",131,75,174,NA,NA,14.03,11.5,1.97,1.97,NA
"child_vitA","baseline_mean","malawi",119,87,174,NA,NA,13.14,10.35,0.06,0.06,NA
"child_vitA","baseline_mean","sierraleone",192,14,174,NA,NA,8.13,6.24,2.28,2.28,NA
"child_vitA","lasso_all","gambia",176,30,174,-0.006,0.14,15.3,11.93,-7.92,-7.92,-0.03
"child_vitA","lasso_all","ghana",131,75,174,0.161,0.145,16.31,13.34,-7.27,-7.27,0.31
"child_vitA","lasso_all","malawi",119,87,174,0.254,0.31,14.85,12.12,6.87,6.87,0.49
"child_vitA","lasso_all","sierraleone",192,14,174,0.052,0.09,13.48,11.2,-10.35,-10.35,0.1
"child_vitA","enet_all","gambia",176,30,174,-0.006,0.134,15.29,11.95,-8.04,-8.04,-0.03
"child_vitA","enet_all","ghana",131,75,174,0.212,0.205,14.56,11.73,-3.6,-3.6,0.43
"child_vitA","enet_all","malawi",119,87,174,0.253,0.298,14,11.38,5.25,5.25,0.56
"child_vitA","enet_all","sierraleone",192,14,174,0.054,0.095,12.09,9.69,-8.78,-8.78,0.13
"child_vitA","ridge_all","gambia",176,30,174,0.197,0.186,12.92,10.04,-3.19,-3.19,0.8
"child_vitA","ridge_all","ghana",131,75,174,0.222,0.252,14.22,11.49,0.46,0.46,0.42
"child_vitA","ridge_all","malawi",119,87,174,0.251,0.288,14.47,10.77,-6.65,-6.65,2.32
"child_vitA","ridge_all","sierraleone",192,14,174,0.029,-0.055,14.2,12.15,-11.74,-11.74,0.12
"child_vitA","rf_all","gambia",176,30,174,0.264,0.243,18.27,14.6,-13.48,-13.48,1.27
"child_vitA","rf_all","ghana",131,75,174,0.275,0.262,14.5,11.85,-5.63,-5.63,1.06
"child_vitA","rf_all","malawi",119,87,174,0.143,0.061,16.89,12.98,-10.73,-10.73,0.66
"child_vitA","rf_all","sierraleone",192,14,174,-0.037,-0.187,14.91,12.69,-12.63,-12.63,-0.24
"child_vitA","enet_corr30","gambia",176,30,30,-0.097,0.05,16.6,13.23,-7.87,-7.87,-0.21
"child_vitA","enet_corr30","ghana",131,75,30,0.327,0.274,13.55,11.06,2.8,2.8,0.71
"child_vitA","enet_corr30","malawi",119,87,30,0.228,0.246,14.51,12.04,5.88,5.88,0.46
"child_vitA","enet_corr30","sierraleone",192,14,30,0.052,0.125,14.16,12.07,-11.57,-11.57,0.15
"child_vitA","enet_corr15","gambia",176,30,15,-0.011,0.102,15.6,12.28,-7.56,-7.56,-0.03
"child_vitA","enet_corr15","ghana",131,75,15,0.178,0.195,13.89,11.3,-1.4,-1.4,0.55
"child_vitA","enet_corr15","malawi",119,87,15,0.243,0.283,13.36,10.7,3.25,3.25,0.57
"child_vitA","enet_corr15","sierraleone",192,14,15,0.048,0.191,15.94,13.78,-13.57,-13.57,0.11
"child_vitA","lasso_corr15","gambia",176,30,15,-0.011,0.109,15.63,12.29,-7.64,-7.64,-0.03
"child_vitA","lasso_corr15","ghana",131,75,15,0.314,0.274,13.25,10.55,-0.67,-0.67,0.81
"child_vitA","lasso_corr15","malawi",119,87,15,0.145,0.169,14.36,10.67,-5.18,-5.18,0.37
"child_vitA","lasso_corr15","sierraleone",192,14,15,0.047,0.191,15.69,13.55,-13.29,-13.29,0.11
"child_vitA","rf_corr30","gambia",176,30,30,-0.026,0.037,17.21,13.52,-10.71,-10.71,-0.08
"child_vitA","rf_corr30","ghana",131,75,30,0.218,0.202,15.13,12.36,-6.37,-6.37,0.59
"child_vitA","rf_corr30","malawi",119,87,30,0.131,0.137,16.13,12.16,-9.23,-9.23,0.43
"child_vitA","rf_corr30","sierraleone",192,14,30,0.044,0.007,15.25,13.18,-13.06,-13.06,0.23
"child_vitA","ols_corr8","gambia",176,30,8,-0.198,-0.183,18.48,14.91,-11.39,-11.39,-0.51
"child_vitA","ols_corr8","ghana",131,75,8,0.215,0.214,16.66,13.79,6.07,6.07,0.28
"child_vitA","ols_corr8","malawi",119,87,8,-0.027,0.048,19.74,14.51,-2.6,-2.6,-0.03
"child_vitA","ols_corr8","sierraleone",192,14,8,0.027,0.051,17.15,14.95,-14.9,-14.9,0.06
"child_vitA","C_enet_all","gambia",176,30,174,0.41,0.41,15.32,11.91,-8.98,-8.98,5.73
"child_vitA","C_enet_all","ghana",131,75,174,0.148,0.145,15.9,13.03,1.31,1.31,0.21
"child_vitA","C_enet_all","malawi",119,87,174,0.25,0.294,13.21,9.71,-3.33,-3.33,0.73
"child_vitA","C_enet_all","sierraleone",192,14,174,0.099,0.086,7.94,6.66,-1.54,-1.54,0.54
"child_vitA","C_ridge_all","gambia",176,30,174,0.36,0.333,15.28,11.82,-9,-9,3.53
"child_vitA","C_ridge_all","ghana",131,75,174,0.232,0.252,16.29,13.41,4.6,4.6,0.29
