"country","Admin1","Admin2","y_mod","y_nat","w","fold_rep1","fold_rep2","fold_rep3","fold_rep4","fold_rep5","fold_rep6","fold_rep7","fold_rep8","fold_rep9","fold_rep10","Adult.nutrit_PC1","Adult.nutrit_PC2","Agricultural_PC1","Agricultural_PC2","Agricultural_PC3","Agricultural_PC4","Agricultural_PC5","Anaemia.and._PC1","Anaemia.and._PC2","Anaemia.and._PC3","Built.enviro_PC1","Built.enviro_PC2","Built.enviro_PC3","Built.enviro_PC4","Child.anthro_PC1","Child.anthro_PC2","Child.anthro_PC3","Child.anthro_PC4","Child.anthro_PC5","Child.mortal_PC1","Child.mortal_PC2","Climate.and._PC1","Climate.and._PC2","Climate.and._PC3","Climate.and._PC4","Conflict.and_PC1","Conflict.and_PC2","Conflict.and_PC3","Dietary.inad_PC1","Dietary.inad_PC2","Ecosystem.pr_PC1","Ecosystem.pr_PC2","Ecosystem.pr_PC3","Education..e_PC1","Education..e_PC2","Education..e_PC3","Education..e_PC4","Education..e_PC5","Fertility..r_PC1","Fertility..r_PC2","Fertility..r_PC3","Fertility..r_PC4","Food.fortifi_PC1","Food.fortifi_PC2","Food.fortifi_PC3","Food.fortifi_PC4","Food.prices._PC1","Food.prices._PC2","Food.prices._PC3","Food.prices._PC4","Healthcare.a_PC1","Healthcare.a_PC2","Healthcare.a_PC3","Household.as_PC1","Household.as_PC2","Household.as_PC3","Household.as_PC4","Household.di_PC1","Immunisation_PC1","Immunisation_PC2","Immunisation_PC3","Immunisation_PC4","Immunisation_PC5","Infant.and.y_PC1","Infant.and.y_PC2","Infant.and.y_PC3","Infant.and.y_PC4","Infant.and.y_PC5","Infection.an_PC1","Infection.an_PC2","Infection.an_PC3","Infection.an_PC4","Infection.an_PC5","Infection.an_PC6","Infection.an_PC7","Infection.an_PC8","Livestock.de_PC1","Livestock.de_PC2","Livestock.de_PC3","Ruralness..p_PC1","Satellite.em_PC1","Satellite.em_PC2","Satellite.em_PC3","Satellite.em_PC4","Satellite.em_PC5","Soil.charact_PC1","Soil.charact_PC2","Soil.charact_PC3","Soil.charact_PC4","Soil.charact_PC5","Soil.charact_PC6","Water.and.co_PC1","Water.and.co_PC2","Water.and.sa_PC1","Water.and.sa_PC2","Water.and.sa_PC3","Water.and.sa_PC4","Water.and.sa_PC5","Water.and.sa_PC6"
"Ghana","Ahafo","Asunafo North",-3.7865491715971,-3.7865491715971,5.28410116447541,1,2,5,1,2,3,2,4,4,2,0.217511768376785,-0.842120350359174,-0.149848776977433,3.43430561028282,-0.206207515818544,-0.944768597315669,-0.0771310187887313,-1.9580315336913,-0.198027114969319,-1.4810212734955,-0.0272578685234134,-2.6389673541334,-0.114878245287919,-0.666163498977848,-1.71727945533842,-0.487515734748556,-1.27247175977869,0.696856192097087,0.201773101624027,1.91859503047068,-0.418875747855028,-2.6906437456234,-2.86943497131558,0.342023699844239,-2.00686856743269,-1.51356864282756,0.164354800741199,-0.00720920576362125,0.336537543322852,-0.293811409988845,2.79943631332051,-1.22438657297678,0.990102472336386,0.56348624926153,-2.89149159398667,1.49435522584426,0.397330454791641,0.25741166104053,0.392074593996584,0.793624244972076,1.1669982870164,-0.419301472407543,0.349656814208885,-2.11194596177901,-1.75732019120679,0.539820492320137,-2.05550091242091,-0.170571146703884,0.957397537051556,0.725649307934328,-1.78385387456537,-0.473258730298039,-0.17591622578797,-0.377817512672649,1.550069068214,-1.30741025424795,-0.309164038994256,1.04159148865206,2.35695511822113,-1.23917801386237,-0.735758696335231,-1.01919617152773,0.682087532487847,1.16231890834501,1.47025512640408,-0.907922858212255,-1.87369247139988,-1.89565994932717,3.33270914076727,3.14396219218293,0.486732603064254,-1.75841416055844,-0.723574976813366,-1.98346959806384,1.51601429426476,-0.923112429189492,-0.473185836499485,-0.203329982766301,0.107612881730462,-0.32549471010178,-4.7201495934157,-4.8053188822377,-2.49085458455192,-0.299858896827112,0.692738832492872,1.11454028566574,1.3087411776821,-3.14805591683609,-2.38227675038745,0.685934719321709,-1.42930369153014,2.72400100896895,0.17942820756843,0.0689521752120579,0.990222319389756,-0.451693727412142,-0.891337071504003,0.788378453359577,0.222073862613329
"Ghana","Ahafo","Tano North",-3.36372310601587,-3.36372310601587,9.42640533064876,3,3,1,2,3,3,4,4,4,1,0.350670348430862,-0.95000704465191,-0.475293061560952,1.71345345790651,0.0540342322114161,0.599394994351546,-0.683895127971331,-4.49886698739999,-0.307393609241181,-0.631507509130416,0.142437135834131,-1.76219096636384,1.12303624291032,-0.252213735029224,-1.48432329625498,0.104483097277084,-1.2931247932721,1.18342891603461,-0.768768348795371,-0.772551736472481,-0.133958252909294,-1.54004673953345,-4.75497811196007,-1.66680251283579,-1.94815266040064,0.716622300248532,-0.283733921745968,1.17039397478669,0.336537543322852,-0.293811409988845,2.34304058870108,0.489281971732803,0.463301081335123,0.534914718238801,-2.18731615192179,1.57529004463417,-0.244134852171371,0.311263450867382,1.46956039855075,-0.301407882049554,2.45853323349009,0.315165768830425,1.53671503050718,-2.31832501518427,-0.61436165161868,0.518003628356376,-1.01883435327426,-1.71119286227466,0.107733011193008,0.375475628103927,-0.981195002365835,-0.961382107768129,-0.827718787522055,0.184792897985856,1.06000446941368,-0.488799395203172,0.280494218066183,1.04159148865206,3.63059651369057,-3.26145870411399,-0.641140198014082,-0.232353513486067,0.433104023368592,2.15185591769165,3.67062356546377,-0.873138036228057,-1.64438708862908,-2.14979362557146,1.19073362268781,1.91249050105826,-0.760661581142996,-2.75491457861139,0.214069483713838,-1.73291146211284,-0.560176931700943,-0.646715725969279,-1.66575898230207,-0.010083520145162,0.640597793690851,0.033587927657973,-2.47285570941888,-3.52179185535818,1.76393103568264,-1.74496298395819,-0.273961408291102,0.0093584753592744,3.00510461018756,-4.3752936757381,-2.26338461712076,0.965121010312707,-0.619522345277989,1.4038802266003,0.419546152766271,-0.0374783834318263,-0.169894382536672,-0.450730148781851,-0.765085456524119,2.17698233119872,-0.130279911081769
"Ghana","Ashanti","Adansi Asokwa",-3.60771117674969,-3.60771117674969,5.0583662405037,1,1,4,2,5,4,1,3,1,3,0.807723762058579,0.487909608707187,-1.67278459849387,1.50381136743211,-0.968726898644551,-1.15997722693155,-0.386554762004879,-1.56401970688117,0.0727298189338312,-0.825792544938671,-0.562294649100667,-3.40087061443365,-0.756036086548522,-0.419040794615412,-1.04710255490179,0.786791905577161,-0.657401387129431,0.282244777715058,-0.334434885654074,0.349013687041034,-0.561700953437506,-6.766230223358,-2.29280339163557,-0.413732834210868,-0.537383342321402,-1.26001129215887,-0.428847392970854,-0.128700475272049,0.966639086034513,-0.95872914265638,5.10215911478551,-0.446216234453786,-0.00626950620330113,1.03807015505833,-0.408849761305183,0.706535923822305,-0.129250925530471,-0.294361785462081,0.508147011042251,1.18081387966062,0.509819770695313,-0.275812988553955,0.689495010156911,-0.382811625231628,-1.2356714012472,-0.10113781511906,0.469958947252484,-0.497518681616273,1.08009579770498,-0.106540929429573,-0.348004487710996,0.835691830468471,-0.257507216535978,1.1919592589801,0.883363504241117,-0.138460221604531,0.990860142973018,-1.53989768990645,-2.3622397509358,-1.77165712044277,0.0316751476534462,-1.65623766212702,-0.000148581396584996,1.96914807838088,-1.3391033256781,0.692945667590976,1.08933455058331,-0.777242635996647,-0.666807074085766,1.84256576913401,-0.144808626115389,1.4568816549344,0.746855276699879,0.808318604938676,-0.846490066864661,-0.211862499379814,-0.00875235033009419,1.44865645569864,0.391351348201277,-0.611354346960975,-6.8040553573956,-2.48722492918964,-1.65132975794658,0.154396971214739,-0.406359708683201,3.36859653726401,-1.74149581775606,-0.461518580914874,0.693087676633493,2.6767992589523,-1.32514185466979,2.08203225443011,-0.467463111783615,1.32643448237474,0.567066324170264,-1.61753965372091,-0.119275279282917,-0.0679382936123201,-0.775414274533032
"Ghana","Ashanti","Asante-Akim South",-3.13590277931194,-3.13590277931194,5.64588034828306,3,4,4,4,1,1,2,5,2,5,0.315856468452716,0.353044381066555,0.481794571942422,3.36182309240712,0.0331032773007866,-1.72636030787167,0.0778442318944714,-1.93291261329804,-0.148685385630286,0.247754741996507,0.143891188120709,-2.37961174159838,-0.0254046097241567,-0.468438957858815,-0.54453507613665,1.50695699347355,-1.78870298919605,-0.174793715369796,-0.443565584187158,-0.676670454113322,-0.326442612611373,-4.87984870416019,-1.93044038546933,-0.428416904477917,-1.53664765108724,-1.33816610487321,-0.246002737791124,-0.0912528233313026,0.966639086034513,-0.95872914265638,4.71909452957666,-0.204392963102301,0.0751221936746206,0.526621336256114,-0.91045811458033,1.4160926827427,-0.316038142789384,-1.17122105703692,-0.846945464804189,1.1185775109137,1.15450354764567,-0.160419447979245,0.0651532891122558,-0.215524836308575,-1.39557601128492,-0.523609013550206,0.041614812283538,-0.146306192200284,1.26208897954198,-0.154144118402314,0.729959176494878,1.88661648482824,0.137888006476821,-0.163875453226685,0.857251986746586,-1.02185612197057,1.69813887226838,-1.53989768990645,-3.12105928938806,-1.21764959414143,-0.348112086211545,-1.6000090759938,0.667372927550281,0.277547106250528,-2.75916441030749,0.672702121282242,1.18117941411602,-0.682490173336335,0.31684016185536,2.36702135815768,0.0746800738804544,0.370685489126496,-0.00261484064035182,0.908168966270782,0.804579209005735,-0.0173268291221104,-1.55574553731241,0.80453727103902,0.0872520506796619,-0.809641495450175,-6.23771060647834,-3.36654286027633,-1.68005809198977,-1.07061661636192,-0.0630548074777787,2.63178443960972,-0.121818692570472,-2.09724219900706,-1.05506671710415,1.82346362385522,-1.09651588643474,0.86418112601303,-0.279608503260164,-0.670726860575589,1.6167811344559,-2.69258383923092,-0.201294159636054,-0.278838892904095,-1.35060076851198
"Ghana","Ashanti","Asokore-Mampong",-2.95431380373406,-2.95431380373406,5.21514374658148,4,4,3,3,2,1,5,5,5,3,1.29183628516734,1.01126225384513,-4.28848214041972,-1.89258020909857,3.02114577557869,0.429435439127295,-1.65345790523567,-3.18891396995372,1.45703534679862,-0.611678626708634,-2.85346330546093,0.188196730849955,1.67495547532948,-0.468139230063906,-2.89002533817324,-0.950576048969059,0.904591622715997,-0.327568171619679,0.591940122164481,1.63990017867703,-1.14192461868187,-2.58490292842703,0.978649121726604,1.70544791977931,-2.92031008933778,-0.883231735877941,-1.31033025569306,-0.309233307377567,0.966639086034513,-0.95872914265638,-2.96359987416028,-1.9137118338355,1.34589313362884,3.67412184096753,2.17298001398847,2.09463335429388,0.852607501736657,1.6825780052299,2.93850820963757,0.548048429528143,-0.920097376438969,0.989401345701424,1.03246113342942,1.15342587083668,0.471354261620481,-2.10044721133965,-2.00466114001286,-2.46035086740063,-0.374768968662157,0.433615822842318,-2.4511555579258,0.702900026355142,-0.312141152862773,3.65259218494768,0.944536771845709,1.49162928445137,1.9230080348769,-1.53989768990645,-1.25875467840774,-3.28006028032001,1.36510957186258,-2.42273076968232,0.456482001901383,2.16460291307442,-0.901932781724336,0.390835959976204,1.71843238486523,-1.43793550502936,-2.96847801198471,-0.193355217877517,-0.0455226363752783,-1.25503458615675,1.19708218201497,1.18307805954901,-0.505976145761323,-2.47003774716515,0.459119019879648,2.27155797543351,0.0472824250449579,3.57449154090795,1.12220511156788,5.38129310300645,-1.40475470099401,-3.4504531408747,1.19696629311964,3.55652693658158,0.734241814107228,5.3490759133999,-2.44393270462963,-1.24551927096161,1.21792339504748,1.37370077529398,-0.0688887613513475,4.00100781063927,-0.17142420344573,0.749446520000423,-0.360815510239661,0.058720376914533,-1.67886854623995
"Ghana","Ashanti","Asokwa",-2.66218032010788,-2.66218032010788,4.96874409257914,5,5,4,5,2,3,3,2,4,3,0.793473717367637,-0.097605557484622,-4.6394071358143,-0.809991615926754,-1.51375679664359,2.65787116741074,-0.00693980980382308,-3.118472429577,0.850215864486735,-0.348756567317022,-3.24023988610083,0.268927046840288,1.36924741930675,-0.933936011786284,-0.52319630246693,-1.48014646194246,-2.24380363443747,-0.334431748107265,0.680280041787577,0.672730835696487,-0.786499147452781,-2.85470948971187,1.25357278308536,2.28440854598144,-2.9643615325387,-0.920563496710755,-1.2229918986596,-0.291345902399552,0.966639086034513,-0.95872914265638,-3.65573542158004,-2.10582839017677,1.67730065576047,4.16722408552515,2.17678720877145,2.48907380431632,0.262583935162981,2.47533709411834,3.79064478343433,0.922912514830071,-0.339375267256365,-0.340260350830823,1.44329307813949,-0.38612222810208,-0.00406691264930392,-1.18217013655485,-1.86649623996059,-2.55607072438831,-0.222240490442151,0.636206760753781,-1.78818848820696,1.11017250174039,-0.666875904964745,3.7201817969545,0.181348592089043,1.71424423640215,1.23689587730211,-1.53989768990645,-1.11456377490031,-3.80482579619059,1.19381714869623,-2.42194168261768,0.223036641899291,0.933439845316055,-3.22789516103826,-0.19077232634531,2.19719055147626,0.144325073067439,-3.77330150001802,-0.025687997040164,-0.675141847981941,-0.367877289394781,2.44622170230256,1.13423569845706,-0.717358816642704,-1.82673167233935,-0.457221699240205,1.7280292034096,-0.00487278702791066,3.88438508842631,1.39088461901085,4.97055988183644,-0.916539370372063,-3.87617872095387,0.342246701785818,3.12836806173599,0.520126867741356,4.43495015423037,-0.875838859392338,-1.33192351112154,0.364165601780035,1.57431147482653,-0.237603743822982,3.33589030311669,-0.763942383223486,-0.806552548836931,0.674470062553656,1.08877558849973,-1.15014423683579
"Ghana","Ashanti","Atwima-Mponua",-3.5697526323953,-3.5697526323953,10.1099198191273,2,4,2,4,1,4,4,1,5,1,0.192104568598711,-0.157323846397466,-1.56213976378675,2.17642073255578,-0.513173245731933,0.924962092592196,0.55416268656266,-1.10799887570665,-1.25147577195011,-1.5886759998992,0.359399161236958,-1.50832809299022,-0.692279600525402,0.032354050371677,-1.27420263906898,2.17638929713683,-0.336529318341495,-0.260393104352874,-2.03505296851162,1.10976526582405,-0.27293702378168,-4.49641392864504,-3.05552199002263,1.09819707456974,-0.958598964760514,0.890531028571144,-1.08123222446301,0.819032170799956,0.966639086034513,-0.95872914265638,4.04389698729449,-1.19995506026597,-0.422594106933533,-0.171671159249662,-0.96357119102156,1.94472264883639,-1.22732590211897,-1.00015207875296,0.809620403032736,0.121221974715904,2.12928268775547,0.658598012612068,1.73238244480777,-1.09465118075711,-0.777112663824814,0.00450904961227806,-0.360085916732441,-1.03803604440344,1.55297879725236,0.572911631980342,-0.640926280731206,0.455388570866283,-0.969036726810426,0.953727083406468,1.22029913950975,-0.865771299906385,0.628519805578933,-1.53989768990645,-0.857905376822719,-3.94557015845828,0.707041312087648,-1.40182735455766,-0.346871465718914,1.63051404186104,-0.702401840890777,0.860907940814479,0.898343185817767,-0.943845563486957,1.761800705001,2.26433007467362,-0.988195015645287,1.28647778581935,1.12431769923328,-1.10201210311961,-0.786069707221422,-0.962321611441056,-1.69939187062041,0.0615653130984079,0.306232345419207,-1.50011006123763,-5.43650031960522,-3.23683558001308,-0.992199178147294,-0.706646645890529,-0.116819950422051,2.54520557186076,0.614318597573379,-2.13727928418255,-0.560410057666481,0.696148875490858,-1.17630766255867,1.41617222147554,-0.0911807820821532,0.385854048990296,1.49058754727278,-0.965614830972192,-0.729422277936043,0.52195438429103,-0.154235987926699
"Ghana","Ashanti","Atwima-Nwabiagya South",-3.39668171423545,-3.39668171423545,4.5044102822368,4,3,5,3,5,2,1,5,2,4,0.556303343616473,-0.175568834961196,-2.28708642822035,-0.884553626223966,-0.362519577035986,-0.677454302440609,1.70046224808643,-2.92585215769489,1.28053928905671,-1.02325097395149,-0.911771852167674,0.0352631861806993,0.511524138563073,0.838305709270576,-2.54797482438374,-0.0155885208622394,1.67521263774494,-0.366106024722695,0.374248426288634,0.244202145417418,-0.666319633211309,-3.77238669771781,-3.37761613064662,0.333942106498023,-1.22863551007759,0.614294619800488,-0.358812340492249,1.02433118394451,0.966639086034513,-0.95872914265638,1.5366384416565,-1.08832569952376,-0.745404428169081,2.16089332122993,0.338406342749977,1.5206922012393,0.127471296981348,-0.98113562331597,1.2437474956362,-0.0278557914471695,0.809768875565841,1.45394709478105,2.05159981212096,0.0908878579286535,-0.94692422527313,-0.833581908986064,-0.164403842085079,-2.00755715941299,-0.0556342325600617,0.370362530376335,0.685279767608884,1.02357202791448,-0.770842870843943,1.93714895481096,1.28398054513315,0.205059014630021,0.867137183715963,-1.53989768990645,-0.955492550840041,-4.00096864453126,0.530818005772822,-1.12159752421561,-0.218824349425724,1.59553784714706,-1.18066348840155,0.214375805227195,1.64123117436827,-0.973977012233137,-0.396645128707511,0.739634642830216,-1.66471286191023,-1.18637364979175,1.7656037763414,0.621677501120013,-0.475840417774466,-1.08835411410573,-0.060746909971559,1.4025224062976,0.701750973898809,1.98096515895767,-3.6516925246357,0.699555969405567,3.06416993882659,-0.902508025702735,-0.801918793438572,-0.0556994460637264,1.50502240985906,-2.8795102817538,-1.97404097448677,0.594726571743921,-0.510875591982765,0.0137905100267858,0.032848183325516,3.22997182137998,0.0364046992233829,-0.283215099823503,0.255560204788114,0.571117862508746,-0.166819609299898
"Ghana","Ashanti","Bekwai",-3.48688879237361,-3.48688879237361,3.981217101721,5,1,2,4,1,3,5,2,5,4,0.791454985894397,0.397440351060751,-1.8102552292896,0.587810956876003,-0.871669786988184,-0.838305701297147,0.726472028378119,-1.55017079714874,0.418067165970821,-0.649370201348784,-0.625536623314578,-1.23795188160591,0.504525456297806,1.01666069801236,-1.16597962579131,0.31333508971486,-0.634534879442258,0.0488254192716503,-0.0778147788639607,0.800154481715045,-0.512696453114218,-6.02816446368611,-3.08308942675066,-0.0753034760757889,-1.17456415540584,-1.20869278066715,-0.548908016394475,-0.153289591280593,0.966639086034513,-0.95872914265638,2.63304851887213,-0.381994475787015,-0.0955533551059577,1.77399412328016,-0.463200966784536,1.03250473536091,0.345655350644477,-0.651529767908538,1.10795644671371,0.935912164246828,0.480675245783105,0.284132725759322,0.990735993481935,-0.113251108446343,-0.97688612667903,-0.485698757831655,0.252424354571755,-0.60134548719971,1.06799557214102,-0.201277856084598,-0.558386504170303,0.611113622593929,-0.49551306704123,1.67482385412178,0.0962685423564074,0.191778156645698,1.51833112863708,-1.53989768990645,-2.03030189448447,-2.35585223999743,0.275451269636162,-1.72669470128639,0.022392007516699,1.72285806031276,-2.00360659479881,0.325377757203248,1.4011017572202,-0.838356432521476,-1.27252495734876,1.39517896415009,-0.496138014675744,-0.190478827076745,0.493918974290148,0.930155715997272,0.171394584164354,-0.710308502693879,0.634625895597409,1.34055682839283,0.581372869387871,1.18730301021895,-5.55857515659786,-1.28513682258495,1.37209559318539,-1.42806477064236,-0.908989638835065,1.77006289975371,-0.648169618979732,-1.86746389490902,-2.62990801574386,1.8229694166748,-1.46593545342412,-0.125460948397202,-0.246288554704075,2.5739569561632,1.12370663100625,-1.81864282796846,-0.108912252086387,0.619963782695163,-0.21199140779232
"Ghana","Ashanti","Kumasi",-3.10300195852008,-3.10300195852008,9.15696413184279,3,1,2,2,1,4,4,2,3,5,0.443335321915317,0.0198522966619311,-6.7370977725084,-2.62642027660719,2.96717811842399,0.321845490356902,-1.58539308038489,-3.3607461032112,1.73842671323556,-1.07056479953755,-4.24089568456287,0.314322916835999,1.6834654575942,-1.49686122065172,-1.99305198529364,-0.901676124687824,-0.951506985901794,-0.376214025592122,1.02920405858141,2.40790879208806,-0.809665034655636,-2.38462422427421,2.04839265789066,2.70773798167816,-3.13715970254776,4.25798319009576,-1.07513981814506,-0.0130491791907474,0.966639086034513,-0.95872914265638,-3.63979694595246,-3.19492219995754,0.831762499420203,3.91169442592765,2.35488340991106,1.58076375191561,0.837917498424005,2.06090791541254,3.38872615926008,-0.145003818302411,-1.00596191176462,-0.00528731057815035,1.5991392133484,0.740464836807589,-1.34310055853682,-2.39568327331696,-2.72589033364154,-3.73947497296912,-0.749132097414908,1.03929022408916,-2.11782544242812,0.216710474910842,-0.257993328115661,4.04319995847054,0.120554371406931,1.92209930611341,0.837956424963468,-1.53989768990645,-1.86534457633737,-2.48641305648072,0.547544375701548,-2.32661095501213,0.227451083359146,1.05206018320304,-2.5348504402259,0.61277091334135,1.18271508080533,-0.786443617305061,-3.91685173934648,-1.3795757274765,-0.5487370975366,-0.759619720162466,2.1890439082387,0.800246866833187,-0.805789708224524,-2.38537270170129,-4.43248014443944,-0.306170161832963,0.904296504175104,4.71474794639823,0.56991304212622,5.94787024743662,-4.24693280084716,-4.88347124068715,2.63075200128923,3.56286858848685,1.20411968817884,5.31037457030815,0.527862156280893,-1.26572668982947,0.852829510469337,1.03693041066399,-0.129928964860236,4.08704672082524,-0.253940562236606,1.44032902740746,-0.76781933243885,0.474146896347137,-2.16501426277245
