estimand,cell,target,model,max_degree,n,p,spearman_median,spearman_min,spearman_max,median_lambda,seconds_per_fit
infill,Ghana child_iron,level,2,1,75,96,0.5762731152204836,0.5378662873399715,0.6101564722617353,7.38905609893065,0.06986721356709798
infill,Ghana child_iron,level,1,1,75,96,0.5624466571834993,0.5054054054054054,0.5821621621621621,0.1946867083315101,0.05624513626098633
infill,Ghana child_iron,level,ridge_pcs,1,75,96,0.5551920341394025,0.5245803698435276,0.5651493598862019,,0.0
infill,Ghana child_iron,prev,2,1,75,96,0.4848583283274948,0.45935825546336734,0.5167405582858356,7.38905609893065,0.06445767084757487
infill,Ghana child_iron,prev,1,1,75,96,0.4877709906255251,0.42717619262140577,0.5149701164968368,1.1993961020353858,0.04742309252421061
infill,Ghana child_iron,prev,ridge_pcs,1,75,96,0.5145417838059501,0.4585158678379566,0.5432829073644543,,0.0
country,Gambia child_iron,level,2,1,30,122,0.2863181312569522,,,7.38905609893065,1.7942726612091064
country,Ghana child_iron,level,2,1,75,122,0.43880512091038404,,,7.38905609893065,1.020287275314331
country,Malawi child_iron,level,2,1,87,122,-0.022107603703433693,,,7.38905609893065,1.0001850128173828
country,SierraLeone child_iron,level,2,1,14,122,-0.02857142857142857,,,7.38905609893065,3.980247735977173
country,Gambia child_iron,level,1,1,30,122,0.4634037819799778,,,0.4832250811898253,2.0658810138702393
country,Ghana child_iron,level,1,1,75,122,0.4825035561877667,,,0.4832250811898253,0.981590986251831
country,Malawi child_iron,level,1,1,87,122,-0.029634759787125462,,,1.1993961020353858,0.7721846103668213
country,SierraLeone child_iron,level,1,1,14,122,0.1824175824175824,,,0.4832250811898253,3.3818020820617676
country,Gambia child_iron,level,ridge_pcs,1,30,122,0.4682981090100112,,,,0.0
country,Ghana child_iron,level,ridge_pcs,1,75,122,0.42839260312944516,,,,0.0
country,Malawi child_iron,level,ridge_pcs,1,87,122,-0.013778523000656117,,,,0.0
country,SierraLeone child_iron,level,ridge_pcs,1,14,122,0.24395604395604395,,,,0.0
country,Gambia child_iron,prev,2,1,30,122,0.4222939173978733,,,7.38905609893065,1.6050496101379395
country,Ghana child_iron,prev,2,1,75,122,0.46831040870290147,,,7.38905609893065,0.9937782287597656
country,Malawi child_iron,prev,2,1,87,122,-0.10667448877643225,,,7.38905609893065,0.6811466217041016
country,SierraLeone child_iron,prev,2,1,14,122,-0.0989010989010989,,,7.38905609893065,2.995300531387329
country,Gambia child_iron,prev,1,1,30,122,0.5887195497548856,,,1.1993961020353858,1.6298210620880127
country,Ghana child_iron,prev,1,1,75,122,0.49288242740344085,,,0.4832250811898253,0.9496164321899414
country,Malawi child_iron,prev,1,1,87,122,-0.23484622191384694,,,0.4832250811898253,0.7613027095794678
country,SierraLeone child_iron,prev,1,1,14,122,0.1252747252747253,,,1.1993961020353858,3.1318373680114746
country,Gambia child_iron,prev,ridge_pcs,1,30,122,0.587384584789455,,,,0.0
country,Ghana child_iron,prev,ridge_pcs,1,75,122,0.5067461288318104,,,,0.0
country,Malawi child_iron,prev,ridge_pcs,1,87,122,-0.12331045556236013,,,,0.0
country,SierraLeone child_iron,prev,ridge_pcs,1,14,122,0.1164835164835165,,,,0.0
country,Gambia child_vitA,level,2,1,30,122,0.3228031145717464,,,7.38905609893065,1.4113807678222656
country,Ghana child_vitA,level,2,1,75,122,0.29194879089615927,,,7.38905609893065,0.78536057472229
country,Malawi child_vitA,level,2,1,87,122,0.1276882700298899,,,7.38905609893065,0.6969776153564453
country,SierraLeone child_vitA,level,2,1,14,122,0.14285714285714285,,,7.38905609893065,3.1355957984924316
country,Gambia child_vitA,level,1,1,30,122,0.4384872080088987,,,0.4832250811898253,1.7770230770111084
country,Ghana child_vitA,level,1,1,75,122,0.37564722617354196,,,0.4832250811898253,0.9097063541412354
country,Malawi child_vitA,level,1,1,87,122,-0.019756506524750306,,,0.4832250811898253,0.8615648746490479
country,SierraLeone child_vitA,level,1,1,14,122,0.002197802197802198,,,0.4832250811898253,3.684279441833496
country,Gambia child_vitA,level,ridge_pcs,1,30,122,0.6400444938820912,,,,0.0
country,Ghana child_vitA,level,ridge_pcs,1,75,122,0.3454054054054054,,,,0.0
country,Malawi child_vitA,level,ridge_pcs,1,87,122,0.1614784573886418,,,,0.0
country,SierraLeone child_vitA,level,ridge_pcs,1,14,122,0.054945054945054944,,,,0.0
country,Gambia child_vitA,prev,2,1,30,122,-0.2906784673767676,,,7.38905609893065,1.8743932247161865
country,Ghana child_vitA,prev,2,1,75,122,0.33817104116952534,,,7.38905609893065,0.9683904647827148
country,Malawi child_vitA,prev,2,1,87,122,-0.0840076587972105,,,0.00033546262790251185,0.7480413913726807
country,SierraLeone child_vitA,prev,2,1,14,122,-0.38461538461538464,,,7.38905609893065,3.2203586101531982
country,Gambia child_vitA,prev,1,1,30,122,0.5434907742523472,,,1.1993961020353858,2.036325454711914
country,Ghana child_vitA,prev,1,1,75,122,0.30712743444654445,,,0.4832250811898253,1.0078470706939697
country,Malawi child_vitA,prev,1,1,87,122,-0.1038363220577872,,,0.1946867083315101,0.8984339237213135
country,SierraLeone child_vitA,prev,1,1,14,122,-0.2351648351648352,,,1.1993961020353858,3.7380340099334717
country,Gambia child_vitA,prev,ridge_pcs,1,30,122,0.1046887966797554,,,,0.0
country,Ghana child_vitA,prev,ridge_pcs,1,75,122,0.3121910811409324,,,,0.0
country,Malawi child_vitA,prev,ridge_pcs,1,87,122,0.14768213241698852,,,,0.0
country,SierraLeone child_vitA,prev,ridge_pcs,1,14,122,-0.16923076923076924,,,,0.0
