"variable","description","type","units","source_derivation","role"
"country","Study country","character","","Survey metadata","id"
"admin1","First-level administrative unit (region/province)","character","","Survey cluster geolocation -> GADM Admin-1","id"
"admin2","Second-level administrative unit (district)","character","","Survey cluster geolocation -> GADM Admin-2","id"
"cluster_id","Survey cluster (primary sampling unit) identifier; cluster file only","character","","Source biomarker survey (gw_cnum)","id"
"n_clusters","Number of distinct survey clusters contributing (Admin-2 / Admin-1 files only)","integer","count","Distinct cluster_id within the area","id"
"prev_women_iron","Survey-weighted prevalence of Iron deficiency, women 15-49 y (ferritin-based) (the PRIMARY outcome to model for this nutrient; proportion 0-1)","numeric","proportion 0-1","Survey-weighted mean of the binary flag","outcome"
"n_women_iron","Number of surveyed individuals with a non-missing outcome for Iron deficiency, women 15-49 y (ferritin-based) (denominator)","integer","count","Count of survey respondents","outcome_denominator"
"ndef_women_iron","Number of those classified deficient for Iron deficiency, women 15-49 y (ferritin-based) (numerator; unweighted prevalence = ndef/n)","integer","count","Sum of the binary flag","outcome_denominator"
"var_women_iron","Design-based sampling variance of prev_women_iron: p(1-p)/effective_n, effective_n = n/deff (deff=1.5 Admin-2/Admin-1, 1 at cluster). Use as the known sampling-error variance, or 1/var as a precision weight.","numeric","variance of a proportion","Derived","weight"
"prev_women_vitA","Survey-weighted prevalence of Vitamin A deficiency, women (RBP-based) (the PRIMARY outcome to model for this nutrient; proportion 0-1)","numeric","proportion 0-1","Survey-weighted mean of the binary flag","outcome"
"n_women_vitA","Number of surveyed individuals with a non-missing outcome for Vitamin A deficiency, women (RBP-based) (denominator)","integer","count","Count of survey respondents","outcome_denominator"
"ndef_women_vitA","Number of those classified deficient for Vitamin A deficiency, women (RBP-based) (numerator; unweighted prevalence = ndef/n)","integer","count","Sum of the binary flag","outcome_denominator"
"var_women_vitA","Design-based sampling variance of prev_women_vitA: p(1-p)/effective_n, effective_n = n/deff (deff=1.5 Admin-2/Admin-1, 1 at cluster). Use as the known sampling-error variance, or 1/var as a precision weight.","numeric","variance of a proportion","Derived","weight"
"prev_women_b12","Survey-weighted prevalence of Vitamin B12 deficiency, women (serum B12) (the PRIMARY outcome to model for this nutrient; proportion 0-1)","numeric","proportion 0-1","Survey-weighted mean of the binary flag","outcome"
"n_women_b12","Number of surveyed individuals with a non-missing outcome for Vitamin B12 deficiency, women (serum B12) (denominator)","integer","count","Count of survey respondents","outcome_denominator"
"ndef_women_b12","Number of those classified deficient for Vitamin B12 deficiency, women (serum B12) (numerator; unweighted prevalence = ndef/n)","integer","count","Sum of the binary flag","outcome_denominator"
"var_women_b12","Design-based sampling variance of prev_women_b12: p(1-p)/effective_n, effective_n = n/deff (deff=1.5 Admin-2/Admin-1, 1 at cluster). Use as the known sampling-error variance, or 1/var as a precision weight.","numeric","variance of a proportion","Derived","weight"
"prev_women_folate","Survey-weighted prevalence of Folate deficiency, women (serum folate) (the PRIMARY outcome to model for this nutrient; proportion 0-1)","numeric","proportion 0-1","Survey-weighted mean of the binary flag","outcome"
"n_women_folate","Number of surveyed individuals with a non-missing outcome for Folate deficiency, women (serum folate) (denominator)","integer","count","Count of survey respondents","outcome_denominator"
"ndef_women_folate","Number of those classified deficient for Folate deficiency, women (serum folate) (numerator; unweighted prevalence = ndef/n)","integer","count","Sum of the binary flag","outcome_denominator"
"var_women_folate","Design-based sampling variance of prev_women_folate: p(1-p)/effective_n, effective_n = n/deff (deff=1.5 Admin-2/Admin-1, 1 at cluster). Use as the known sampling-error variance, or 1/var as a precision weight.","numeric","variance of a proportion","Derived","weight"
"prev_women_zinc","Survey-weighted prevalence of Zinc deficiency, women (serum zinc) (the PRIMARY outcome to model for this nutrient; proportion 0-1)","numeric","proportion 0-1","Survey-weighted mean of the binary flag","outcome"
"n_women_zinc","Number of surveyed individuals with a non-missing outcome for Zinc deficiency, women (serum zinc) (denominator)","integer","count","Count of survey respondents","outcome_denominator"
"ndef_women_zinc","Number of those classified deficient for Zinc deficiency, women (serum zinc) (numerator; unweighted prevalence = ndef/n)","integer","count","Sum of the binary flag","outcome_denominator"
"var_women_zinc","Design-based sampling variance of prev_women_zinc: p(1-p)/effective_n, effective_n = n/deff (deff=1.5 Admin-2/Admin-1, 1 at cluster). Use as the known sampling-error variance, or 1/var as a precision weight.","numeric","variance of a proportion","Derived","weight"
"prev_child_iron","Survey-weighted prevalence of Iron deficiency, children 6-59 m (ferritin-based) (the PRIMARY outcome to model for this nutrient; proportion 0-1)","numeric","proportion 0-1","Survey-weighted mean of the binary flag","outcome"
"n_child_iron","Number of surveyed individuals with a non-missing outcome for Iron deficiency, children 6-59 m (ferritin-based) (denominator)","integer","count","Count of survey respondents","outcome_denominator"
"ndef_child_iron","Number of those classified deficient for Iron deficiency, children 6-59 m (ferritin-based) (numerator; unweighted prevalence = ndef/n)","integer","count","Sum of the binary flag","outcome_denominator"
"var_child_iron","Design-based sampling variance of prev_child_iron: p(1-p)/effective_n, effective_n = n/deff (deff=1.5 Admin-2/Admin-1, 1 at cluster). Use as the known sampling-error variance, or 1/var as a precision weight.","numeric","variance of a proportion","Derived","weight"
"prev_child_vitA","Survey-weighted prevalence of Vitamin A deficiency, children (RBP-based) (the PRIMARY outcome to model for this nutrient; proportion 0-1)","numeric","proportion 0-1","Survey-weighted mean of the binary flag","outcome"
"n_child_vitA","Number of surveyed individuals with a non-missing outcome for Vitamin A deficiency, children (RBP-based) (denominator)","integer","count","Count of survey respondents","outcome_denominator"
"ndef_child_vitA","Number of those classified deficient for Vitamin A deficiency, children (RBP-based) (numerator; unweighted prevalence = ndef/n)","integer","count","Sum of the binary flag","outcome_denominator"
"var_child_vitA","Design-based sampling variance of prev_child_vitA: p(1-p)/effective_n, effective_n = n/deff (deff=1.5 Admin-2/Admin-1, 1 at cluster). Use as the known sampling-error variance, or 1/var as a precision weight.","numeric","variance of a proportion","Derived","weight"
"prev_child_zinc","Survey-weighted prevalence of Zinc deficiency, children (serum zinc) (the PRIMARY outcome to model for this nutrient; proportion 0-1)","numeric","proportion 0-1","Survey-weighted mean of the binary flag","outcome"
"n_child_zinc","Number of surveyed individuals with a non-missing outcome for Zinc deficiency, children (serum zinc) (denominator)","integer","count","Count of survey respondents","outcome_denominator"
"ndef_child_zinc","Number of those classified deficient for Zinc deficiency, children (serum zinc) (numerator; unweighted prevalence = ndef/n)","integer","count","Sum of the binary flag","outcome_denominator"
"var_child_zinc","Design-based sampling variance of prev_child_zinc: p(1-p)/effective_n, effective_n = n/deff (deff=1.5 Admin-2/Admin-1, 1 at cluster). Use as the known sampling-error variance, or 1/var as a precision weight.","numeric","variance of a proportion","Derived","weight"
"rain_annual_mean_50km","Mean annual precipitation, 50 km buffer around the cluster","numeric","mm/month (TRMM units)","TRMM precipitation (GEE cluster-buffer extraction); aggregated to this level as the mean over the area's survey clusters","predictor"
"rain_july_25km","July precipitation (wet-season peak in much of the region), 25 km buffer","numeric","mm/month","TRMM precipitation (GEE cluster-buffer extraction); aggregated to this level as the mean over the area's survey clusters","predictor"
