"vocab","target","estimand","country","outcome","arm","n_units","spearman"
"full","level","infill","Gambia","child_vitA","null_train_mean",30,-0.329503395960609
"full","level","infill","Gambia","child_vitA","region_mean_jk",30,0.585896261584499
"full","level","infill","Gambia","child_vitA","spatial",30,0.666963292547275
"full","level","infill","Gambia","child_vitA","domain_index",30,0.740600667408231
"full","level","infill","Gambia","child_vitA","spatial_plus_domain",30,0.664293659621802
"full","level","region","Gambia","child_vitA","null_train_mean",30,-0.667176297606191
"full","level","region","Gambia","child_vitA","spatial",30,0.745939933259177
"full","level","region","Gambia","child_vitA","domain_index",30,0.720133481646274
"full","level","region","Gambia","child_vitA","spatial_plus_domain",30,0.709010011123471
"full","level","infill","Gambia","women_vitA","null_train_mean",30,-0.337672901645582
"full","level","infill","Gambia","women_vitA","region_mean_jk",30,0.487052617979157
"full","level","infill","Gambia","women_vitA","spatial",30,0.612903225806452
"full","level","infill","Gambia","women_vitA","domain_index",30,0.719466073414905
"full","level","infill","Gambia","women_vitA","spatial_plus_domain",30,0.601557285873192
"full","level","region","Gambia","women_vitA","null_train_mean",30,-0.716647193142976
"full","level","region","Gambia","women_vitA","spatial",30,0.665406006674082
"full","level","region","Gambia","women_vitA","domain_index",30,0.761067853170189
"full","level","region","Gambia","women_vitA","spatial_plus_domain",30,0.667185761957731
"full","level","infill","Gambia","child_iron","null_train_mean",30,-0.307718047467345
"full","level","infill","Gambia","child_iron","region_mean_jk",30,0.143819224155244
"full","level","infill","Gambia","child_iron","spatial",30,0.371301446051168
"full","level","infill","Gambia","child_iron","domain_index",30,0.433815350389322
"full","level","infill","Gambia","child_iron","spatial_plus_domain",30,0.382647385984427
"full","level","region","Gambia","child_iron","null_train_mean",30,-0.486085588255939
"full","level","region","Gambia","child_iron","spatial",30,0.48476084538376
"full","level","region","Gambia","child_iron","domain_index",30,0.515906562847608
"full","level","region","Gambia","child_iron","spatial_plus_domain",30,0.481646273637375
"full","level","infill","Gambia","women_iron","null_train_mean",30,-0.296825373220713
"full","level","infill","Gambia","women_iron","region_mean_jk",30,0.468591170879501
"full","level","infill","Gambia","women_iron","spatial",30,0.576195773081201
"full","level","infill","Gambia","women_iron","domain_index",30,0.662291434927697
"full","level","infill","Gambia","women_iron","spatial_plus_domain",30,0.569521690767519
"full","level","region","Gambia","women_iron","null_train_mean",30,-0.634498274866296
"full","level","region","Gambia","women_iron","spatial",30,0.670745272525028
"full","level","region","Gambia","women_iron","domain_index",30,0.698776418242492
"full","level","region","Gambia","women_iron","spatial_plus_domain",30,0.670745272525028
"full","level","infill","Ghana","child_vitA","null_train_mean",75,-0.196629855673668
"full","level","infill","Ghana","child_vitA","region_mean_jk",75,0.438827415487944
"full","level","infill","Ghana","child_vitA","spatial",75,0.368307254623044
"full","level","infill","Ghana","child_vitA","domain_index",75,0.304054054054054
"full","level","infill","Ghana","child_vitA","spatial_plus_domain",75,0.373869132290185
"full","level","region","Ghana","child_vitA","null_train_mean",75,-0.577742166215411
"full","level","region","Ghana","child_vitA","spatial",75,0.252660028449502
"full","level","region","Ghana","child_vitA","domain_index",75,0.249388335704125
"full","level","region","Ghana","child_vitA","spatial_plus_domain",75,0.250156472261735
"full","level","infill","Ghana","women_vitA","null_train_mean",75,-0.162878330059694
"full","level","infill","Ghana","women_vitA","region_mean_jk",75,0.326448852275908
"full","level","infill","Ghana","women_vitA","spatial",75,0.425291607396871
"full","level","infill","Ghana","women_vitA","domain_index",75,0.494608819345661
"full","level","infill","Ghana","women_vitA","spatial_plus_domain",75,0.421166429587482
"full","level","region","Ghana","women_vitA","null_train_mean",75,-0.553827317763478
"full","level","region","Ghana","women_vitA","spatial",75,0.514935988620199
"full","level","region","Ghana","women_vitA","domain_index",75,0.47701280227596
"full","level","region","Ghana","women_vitA","spatial_plus_domain",75,0.514935988620199
"full","level","infill","Ghana","child_iron","null_train_mean",75,-0.177467699196057
"full","level","infill","Ghana","child_iron","region_mean_jk",75,0.378772943754716
"full","level","infill","Ghana","child_iron","spatial",75,0.527837837837838
"full","level","infill","Ghana","child_iron","domain_index",75,0.58352773826458
"full","level","infill","Ghana","child_iron","spatial_plus_domain",75,0.523940256045519
"full","level","region","Ghana","child_iron","null_train_mean",75,-0.556384520793882
"full","level","region","Ghana","child_iron","spatial",75,0.532517780938834
"full","level","region","Ghana","child_iron","domain_index",75,0.570156472261735
"full","level","region","Ghana","child_iron","spatial_plus_domain",75,0.532517780938834
"full","level","infill","Ghana","women_iron","null_train_mean",75,-0.175072429636356
"full","level","infill","Ghana","women_iron","region_mean_jk",75,0.37331071327822
"full","level","infill","Ghana","women_iron","spatial",75,0.588492176386913
"full","level","infill","Ghana","women_iron","domain_index",75,0.399914651493599
"full","level","infill","Ghana","women_iron","spatial_plus_domain",75,0.588492176386913
"full","level","region","Ghana","women_iron","null_train_mean",75,-0.517355030966714
"full","level","region","Ghana","women_iron","spatial",75,0.441650071123755
"full","level","region","Ghana","women_iron","domain_index",75,0.28927453769559
"full","level","region","Ghana","women_iron","spatial_plus_domain",75,0.381963015647226
"full","level","infill","Ghana","women_folate","null_train_mean",75,-0.168104372735406
"full","level","infill","Ghana","women_folate","region_mean_jk",75,0.40562207912274
"full","level","infill","Ghana","women_folate","spatial",75,0.572347083926031
"full","level","infill","Ghana","women_folate","domain_index",75,0.388691322901849
"full","level","infill","Ghana","women_folate","spatial_plus_domain",75,0.569061166429587
"full","level","region","Ghana","women_folate","null_train_mean",75,-0.628443359259562
"full","level","region","Ghana","women_folate","spatial",75,0.446799431009957
"full","level","region","Ghana","women_folate","domain_index",75,0.315846372688478
"full","level","region","Ghana","women_folate","spatial_plus_domain",75,0.434907539118065
"full","level","infill","Ghana","women_b12","null_train_mean",75,-0.232994402625498
"full","level","infill","Ghana","women_b12","region_mean_jk",75,0.477587882156241
"full","level","infill","Ghana","women_b12","spatial",75,0.563655761024182
"full","level","infill","Ghana","women_b12","domain_index",75,0.591621621621621
"full","level","infill","Ghana","women_b12","spatial_plus_domain",75,0.555405405405405
"full","level","region","Ghana","women_b12","null_train_mean",75,-0.636657838267842
"full","level","region","Ghana","women_b12","spatial",75,0.524125177809388
"full","level","region","Ghana","women_b12","domain_index",75,0.579431009957326
"full","level","region","Ghana","women_b12","spatial_plus_domain",75,0.51778093883357
"full","level","infill","Malawi","child_vitA","null_train_mean",87,-0.160662179078188
"full","level","infill","Malawi","child_vitA","region_mean_jk",87,0.0508720381710593
"full","level","infill","Malawi","child_vitA","spatial",87,0.0349019464897572
"full","level","infill","Malawi","child_vitA","domain_index",87,0.115868994678137
"full","level","infill","Malawi","child_vitA","spatial_plus_domain",87,0.0660494277174309
"full","level","region","Malawi","child_vitA","null_train_mean",87,-0.522470654632332
"full","level","region","Malawi","child_vitA","spatial",87,0.0418823357877087
"full","level","region","Malawi","child_vitA","domain_index",87,0.133356419042065
"full","level","region","Malawi","child_vitA","spatial_plus_domain",87,0.0915287599329299
"full","level","infill","Malawi","women_vitA","null_train_mean",87,-0.218418532783102
"full","level","infill","Malawi","women_vitA","region_mean_jk",87,0.137863323340736
"full","level","infill","Malawi","women_vitA","spatial",87,0.31160239119341
"full","level","infill","Malawi","women_vitA","domain_index",87,0.314436465699497
"full","level","infill","Malawi","women_vitA","spatial_plus_domain",87,0.31160239119341
"full","level","region","Malawi","women_vitA","null_train_mean",87,-0.560388086743131
"full","level","region","Malawi","women_vitA","spatial",87,0.3940912736021
"full","level","region","Malawi","women_vitA","domain_index",87,0.3502952540643
"full","level","region","Malawi","women_vitA","spatial_plus_domain",87,0.396023182911715
"full","level","infill","Malawi","child_iron","null_train_mean",87,-0.212312728240868
"full","level","infill","Malawi","child_iron","region_mean_jk",87,0.394970618996017
"full","level","infill","Malawi","child_iron","spatial",87,0.206012612087191
"full","level","infill","Malawi","child_iron","domain_index",87,0.299792228621419
"full","level","infill","Malawi","child_iron","spatial_plus_domain",87,0.305032076984763
"full","level","region","Malawi","child_iron","null_train_mean",87,-0.701285506472629
"full","level","region","Malawi","child_iron","spatial",87,0.0195924764890282
"full","level","region","Malawi","child_iron","domain_index",87,0.168987387912809
"full","level","region","Malawi","child_iron","spatial_plus_domain",87,0.162371509805351
"full","level","infill","Malawi","women_iron","null_train_mean",87,-0.196748274468698
"full","level","infill","Malawi","women_iron","region_mean_jk",87,0.128961403922565
"full","level","infill","Malawi","women_iron","spatial",87,0.221786833855799
"full","level","infill","Malawi","women_iron","domain_index",87,0.236795582124371
"full","level","infill","Malawi","women_iron","spatial_plus_domain",87,0.203989574979952
"full","level","region","Malawi","women_iron","null_train_mean",87,-0.581732034575527
"full","level","region","Malawi","women_iron","spatial",87,0.181854632937231
"full","level","region","Malawi","women_iron","domain_index",87,0.201920973973901
"full","level","region","Malawi","women_iron","spatial_plus_domain",87,0.185025880294525
"full","level","infill","Malawi","women_folate","null_train_mean",87,-0.204393318389059
"full","level","infill","Malawi","women_folate","region_mean_jk",87,0.361599269656413
"full","level","infill","Malawi","women_folate","spatial",87,0.491916964350805
"full","level","infill","Malawi","women_folate","domain_index",87,0.439482029598309
"full","level","infill","Malawi","women_folate","spatial_plus_domain",87,0.485045928410002
"full","level","region","Malawi","women_folate","null_train_mean",87,-0.683763402290563
"full","level","region","Malawi","women_folate","spatial",87,0.381315156375301
"full","level","region","Malawi","women_folate","domain_index",87,0.400543121673835
"full","level","region","Malawi","women_folate","spatial_plus_domain",87,0.388605380185172
"full","level","infill","Malawi","women_b12","null_train_mean",87,-0.204044548137217
"full","level","infill","Malawi","women_b12","region_mean_jk",87,0.581555633973079
"full","level","infill","Malawi","women_b12","spatial",87,0.63403987752424
"full","level","infill","Malawi","women_b12","domain_index",87,0.696334839979587
"full","level","infill","Malawi","women_b12","spatial_plus_domain",87,0.656849165269374
"full","level","region","Malawi","women_b12","null_train_mean",87,-0.761650569188354
"full","level","region","Malawi","women_b12","spatial",87,0.602300065612014
"full","level","region","Malawi","women_b12","domain_index",87,0.669388350222352
"full","level","region","Malawi","women_b12","spatial_plus_domain",87,0.644018371364001
"full","level","infill","Malawi","child_zinc","null_train_mean",87,-0.160987697979906
"full","level","infill","Malawi","child_zinc","region_mean_jk",87,-0.0790367027594322
"full","level","infill","Malawi","child_zinc","spatial",87,-0.172650725377269
"full","level","infill","Malawi","child_zinc","domain_index",87,-0.116871400451994
"full","level","infill","Malawi","child_zinc","spatial_plus_domain",87,-0.143389589560399
"full","level","region","Malawi","child_zinc","null_train_mean",87,-0.501683108858814
"full","level","region","Malawi","child_zinc","spatial",87,-0.179375956841875
"full","level","region","Malawi","child_zinc","domain_index",87,-0.0720274112415251
"full","level","region","Malawi","child_zinc","spatial_plus_domain",87,-0.131296930815776
