"country","outcome","cluster","Admin1","Admin2","lat","lon","urban","date_med","month_med","n_raw","n_raw_cont","n_kish","n_eff","n_eff_cont","y_prev","y_level","sd_level"
"Gambia","child_vitA","296","Maccarthy Island","Sami",13.628746,-14.587145,NA,"2018-03-09",3,18,18,18,18,18,0.388888888888889,0.227677617156182,0.227680800718366
"Gambia","child_vitA","30","Banjul","Banjul",13.457446,-16.581727,NA,"2018-01-28",1,5,5,5,5,5,0,-0.195214697416781,0.295712640341076
"Gambia","child_vitA","303","Maccarthy Island","Fulladu West",13.531004,-14.931924,NA,"2018-03-31",3,9,9,9,9,9,0.222222222222222,0.100260844753933,0.208305265938612
"Gambia","child_vitA","307","Maccarthy Island","Fulladu West",13.438636,-14.65913,NA,"2018-03-01",3,10,10,10,10,10,0.3,0.165496977343415,0.355210384447456
"Gambia","child_vitA","310","Maccarthy Island","Niamina Dankunku",13.648751,-15.311714,NA,"2018-02-25",2,34,34,34,34,34,0.382352941176471,0.244564954583023,0.267605101030965
"Gambia","child_vitA","316","Maccarthy Island","Niamina East",13.589589,-15.130846,NA,"2018-04-10",4,28,28,28,28,28,0.25,0.132527449588939,0.250565348265223
"Gambia","child_vitA","322","Maccarthy Island","Nianija",13.688269,-15.078226,NA,"2018-04-04",4,10,10,10,10,10,0.1,0.098138446724987,0.236146716320174
"Gambia","child_vitA","328","Maccarthy Island","Fulladu West",13.475902,-14.888629,NA,"2018-03-21",3,30,30,30,30,30,0.4,0.229361086363538,0.307564455501502
"Gambia","child_vitA","33","Banjul","Banjul",13.459344,-16.582235,NA,"2018-01-31",1,5,5,5,5,5,0,-0.155874371097315,0.125341084320894
"Gambia","child_vitA","334","Maccarthy Island","Fulladu West",13.4464135,-14.789094,NA,"2018-03-07",3,38,38,38,38,38,0.5,0.311644682374504,0.362769322425693
"Gambia","child_vitA","340","Maccarthy Island","Fulladu West",13.407362,-14.664095,NA,"2018-02-21",2,26,26,26,26,26,0.192307692307692,0.14527759734148,0.227930481341825
"Gambia","child_vitA","348","Upper River","Fulladu East",13.305647,-14.194341,NA,"2018-03-19",3,10,10,10,10,10,0.1,0.136311322714006,0.182439892662539
"Gambia","child_vitA","353","Upper River","Fulladu East",13.308405,-14.216943,NA,"2018-04-12",4,3,3,3,3,3,0.333333333333333,0.0676893981929921,0.511266497299392
"Gambia","child_vitA","358","Upper River","Fulladu East",13.403192,-14.080375,NA,"2018-03-13",3,43,43,43,43,43,0.162790697674419,0.124670760925825,0.279311457442896
"Gambia","child_vitA","366","Upper River","Fulladu East",13.253,-14.268058,NA,"2018-03-29",3,24,24,24,24,24,0.25,0.155903748582861,0.273872473252941
"Gambia","child_vitA","37","Banjul","Banjul",13.455295,-16.585535,NA,"2018-02-06",2,7,7,7,7,7,0.142857142857143,-0.11953613305432,0.298316147432094
"Gambia","child_vitA","372","Upper River","Fulladu East",13.295316,-14.061176,NA,"2018-03-06",3,44,44,44,44,44,0.340909090909091,0.171627153029311,0.300148996196317
"Gambia","child_vitA","378","Upper River","Kantora",13.328167,-13.907657,NA,"2018-02-21",2,16,16,16,16,16,0.5625,0.395189592748308,0.320771978512984
"Gambia","child_vitA","384","Upper River","Wuli",13.483836,-14.195657,NA,"2018-04-05",4,9,9,9,9,9,0.111111111111111,0.196193005588283,0.202510005621818
"Gambia","child_vitA","390","Upper River","Sandu",13.404735,-14.273894,NA,"2018-03-25",3,16,16,16,16,16,0.25,0.183337375855121,0.238774548276919
"Gambia","child_vitA","40","Banjul","Banjul",13.458793,-16.586655,NA,"2018-02-09",2,5,5,5,5,5,0,-0.0558671710106276,0.152646499031783
"Gambia","child_vitA","44","Banjul","Banjul",13.453943,-16.583536,NA,"2018-01-28",1,13,13,13,13,13,0,0.089034683019,0.21345430835487
"Gambia","child_vitA","46","Banjul","Kanifing",13.471821,-16.692611,NA,"2018-01-31",1,3,3,3,3,3,0,-0.092291804497976,0.269242547735199
"Gambia","child_vitA","52","Banjul","Kanifing",13.450605,-16.67719,NA,"2018-02-10",2,4,4,4,4,4,0,-0.0979884825682573,0.136687157527297
"Gambia","child_vitA","58","Banjul","Kanifing",13.436935,-16.661005,NA,"2018-02-01",2,11,11,11,11,11,0,-0.0996962095707198,0.202983747052525
"Gambia","child_vitA","6","Banjul","Banjul",13.452161,-16.576286,NA,"2018-01-31",1,9,9,9,9,9,0.111111111111111,-0.0327007242634006,0.260406018895804
"Gambia","child_vitA","64","Western","Kombo Saint Mary",13.422665,-16.689614,NA,"2018-01-26",1,10,10,10,10,10,0.1,0.116600342495479,0.184239552672353
"Gambia","child_vitA","70","Banjul","Kanifing",13.437933,-16.677267,NA,"2018-02-12",2,2,2,2,2,2,0.5,0.299824724079853,0.0825570306265245
"Gambia","child_vitA","76","Banjul","Kanifing",13.420337,-16.665596,NA,"2018-02-06",2,20,20,20,20,20,0.3,0.166227817245229,0.344014458273883
"Gambia","child_vitA","82","Western","Kombo Saint Mary",13.411266,-16.675604,NA,"2018-02-08",2,12,12,12,12,12,0.0833333333333333,0.118678791254439,0.123495072821128
"Gambia","child_vitA","88","Banjul","Kanifing",13.423498,-16.673054,NA,"2018-04-16",4,12,12,12,12,12,0,-0.153234193589389,0.201330306545854
"Gambia","child_vitA","9","Banjul","Banjul",13.451956,-16.578364,NA,"2018-02-05",2,12,12,12,12,12,0.0833333333333333,-0.0255017728742805,0.286149789358047
"Gambia","child_vitA","94","Banjul","Kanifing",13.43924,-16.684821,NA,"2018-04-12",4,12,12,12,12,12,0.166666666666667,0.0618846085850524,0.20947506107473
"Gambia","women_vitA","100","Banjul","Kanifing",13.456828,-16.699354,NA,"2018-01-27",1,14,14,14,14,14,0,-0.383971592870587,0.270763339810942
"Gambia","women_vitA","113","Western","Kombo Saint Mary",13.387244,-16.633391,NA,"2018-02-18",2,32,32,32,32,32,0,-0.292839686958247,0.318918127332138
"Gambia","women_vitA","122","Western","Kombo Saint Mary",13.406102,-16.672816,NA,"2018-03-23",3,16,16,16,16,16,0,-0.27256923528118,0.244523792343318
"Gambia","women_vitA","13","Banjul","Banjul",13.457418,-16.579449,NA,"2018-01-24",1,12,12,12,12,12,0,-0.551951801999347,0.325196276579735
"Gambia","women_vitA","132","Western","Kombo South",13.33061,-16.665974,NA,"2018-04-19",4,29,29,29,29,29,0,-0.349962536769145,0.370689029038068
"Gambia","women_vitA","141","Western","Kombo Central",13.230063,-16.741642,NA,"2018-03-17",3,16,16,16,16,16,0,-0.211381301141385,0.208715497016754
"Gambia","women_vitA","150","Western","Kombo Central",13.251225,-16.646428,NA,"2018-04-04",4,26,26,26,26,26,0,-0.376038142294857,0.287720632885243
"Gambia","women_vitA","16","Banjul","Banjul",13.457019,-16.579819,NA,"2018-01-30",1,18,18,18,18,18,0,-0.419396228101711,0.373303354989167
"Gambia","women_vitA","160","Western","Kombo East",13.283124,-16.577448,NA,"2018-03-26",3,28,28,28,28,28,0,-0.397275998394753,0.321614648346148
"Gambia","women_vitA","162","Western","Foni Brefet",13.170211,-16.414914,NA,"2018-03-22",3,17,17,17,17,17,0.0588235294117647,-0.41448166823784,0.388124525650464
"Gambia","women_vitA","164","Western","Foni Bintang Karanai",13.201031,-16.197358,NA,"2018-03-18",3,20,20,20,20,20,0,-0.284220328768717,0.235827721785002
"Gambia","women_vitA","169","Lower River","Jarra West",13.449273,-15.532021,NA,"2018-03-24",3,27,27,27,27,27,0,-0.345232726698962,0.398238570803355
"Gambia","women_vitA","174","Lower River","Jarra West",13.441454,-15.53845,NA,"2018-03-25",3,13,13,13,13,13,0,-0.236006966130706,0.206823103420413
"Gambia","women_vitA","184","Lower River","Kiang Central",13.416853,-15.693366,NA,"2018-02-23",2,20,20,20,20,20,0,-0.213063827704903,0.297953322534643
"Gambia","women_vitA","190","Lower River","Kiang East",13.411631,-15.656989,NA,"2018-02-21",2,21,21,21,21,21,0,-0.0706066963345006,0.218483054807595
"Gambia","women_vitA","196","Lower River","Jarra West",13.440922,-15.516524,NA,"2018-03-22",3,21,21,21,21,21,0,-0.17476315949215,0.20930069324025
"Gambia","women_vitA","2","Banjul","Banjul",13.448775,-16.574396,NA,"2018-01-25",1,20,20,20,20,20,0,-0.336428729222282,0.257462738977723
"Gambia","women_vitA","20","Banjul","Banjul",13.455141,-16.58078,NA,"2018-02-09",2,14,14,14,14,14,0,-0.453360604548282,0.315944573357064
"Gambia","women_vitA","202","Lower River","Jarra East",13.380103,-15.294262,NA,"2018-03-10",3,26,26,26,26,26,0.153846153846154,-0.0662860673025679,0.33465283565946
"Gambia","women_vitA","208","Lower River","Jarra East",13.535344,-15.197745,NA,"2018-03-02",3,17,17,17,17,17,0.117647058823529,-0.129213373624249,0.37636452378029
"Gambia","women_vitA","213","North Bank","Lower Nuimi",13.482123,-16.53154,NA,"2018-04-10",4,14,14,14,14,14,0,-0.474309366734592,0.276115387850611
"Gambia","women_vitA","217","North Bank","Lower Baddibu",13.497137,-16.089097,NA,"2018-03-06",3,23,23,23,23,23,0,-0.187785144414882,0.266298338067712
