"country","outcome","clusters_in_data","with_gps","gps_file_clusters","gps_unmatched","median_n"
"Gambia","child_vitA",70,70,71,1,12
"Gambia","women_vitA",70,70,71,1,19
"Gambia","child_iron",70,70,71,1,12
"Gambia","women_iron",70,70,71,1,19
"Ghana","child_vitA",90,90,92,2,12
"Ghana","women_vitA",90,90,92,2,10
"Ghana","child_iron",90,90,92,2,12
"Ghana","women_iron",90,90,92,2,10
"Ghana","women_folate",90,90,92,2,5
"Ghana","women_b12",90,90,92,2,5
"Malawi","child_vitA",103,103,105,2,11
"Malawi","women_vitA",103,103,105,2,8
"Malawi","child_iron",103,103,105,2,11
"Malawi","women_iron",103,103,105,2,8
"Malawi","women_folate",103,103,105,2,8
"Malawi","women_b12",103,103,105,2,8
"Malawi","child_zinc",103,103,105,2,10
"Malawi","women_zinc",103,103,105,2,8
"SierraLeone","child_vitA",60,60,60,0,8
"SierraLeone","women_vitA",60,60,60,0,13
"SierraLeone","child_iron",60,60,60,0,8
"SierraLeone","women_iron",60,60,60,0,13
"SierraLeone","women_folate",59,59,60,1,13
"SierraLeone","women_b12",59,59,60,1,13
