"target","estimand","cells","cluster_agg_beats_full","cluster_fitted_beats_cluster_agg","full","cluster_agg","both","cluster_fitted","vocab_gap","unit_gap"
"level","country",22,9,13,0.268,0.229,0.251,0.241,0.039,-0.012
"level","infill",18,9,8,0.398,0.416,0.417,0.418,-0.018,-0.002
"level","region",24,13,15,0.242,0.313,0.271,0.358,-0.071,-0.045
"prev","country",22,12,12,0.184,0.177,0.177,0.173,0.007,0.004
"prev","infill",18,11,7,0.295,0.325,0.313,0.3,-0.03,0.025
"prev","region",24,13,10,0.212,0.239,0.222,0.203,-0.027,0.036
